N	2gram	Kanaev_Sov	Marksizm
1	точки зрения	12	69
2	может быть	12	64
3	и в	7	63
4	и не	6	55
5	как бы	4	53
6	не может	17	47
7	с точки	5	46
8	и пр	2	42
9	в этом	7	39
10	таким образом	11	38
11	как мы	2	32
12	не только	4	29
13	в нем	3	28
14	то же	3	28
15	самом деле	2	25
16	прежде всего	5	24
17	как и	6	24
18	в самом	2	24
19	в том	4	22
20	а не	3	22
21	при этом	3	20
22	так сказать	2	20
23	если мы	4	20
24	не в	3	19
25	в его	2	19
26	но в	3	18
27	все же	3	17
28	отнюдь не	3	15
29	с помощью	4	15
30	ничего не	6	13
31	мы не	9	13
32	было бы	3	13
33	то ни	2	13
34	что в	2	13
35	в результате	6	12
36	а в	4	12
37	и все	3	11
38	все эти	5	11
39	так как	4	11
40	еще не	3	11
41	и что	2	11
42	и потому	3	10
43	в каждом	8	10
44	отличие от	2	10
45	самого начала	3	10
46	с самого	3	10
47	во всяком	2	10
48	одна из	3	10
49	совершенно не	2	10
50	в отличие	2	10
51	в таком	2	10
52	в себе	3	9
53	это не	4	9
54	мы видели	4	9
55	в нашем	2	9
56	что это	2	9
57	же самое	2	9
58	быть и	2	9
59	или иной	2	8
60	в науке	2	8
61	или же	2	8
62	и т.д	3	8
63	мы знаем	2	8
64	с этим	2	8
65	на этой	3	8
66	настоящее время	2	8
67	в настоящее	2	8
68	и даже	2	8
69	мы можем	6	8
70	у нас	3	8
71	в свою	2	8
72	у него	2	8
73	ясно что	3	8
74	свою очередь	2	7
75	могут быть	2	7
76	в этой	3	7
77	конечно в	2	7
78	той же	2	7
79	вопрос о	4	6
80	мы должны	4	6
81	она может	2	6
82	что же	5	6
83	все это	3	6
84	тот же	2	6
85	из этих	2	6
86	зависимости от	4	6
87	из одного	2	6
88	с одной	2	6
89	уже не	2	6
90	всяком случае	2	6
91	тем же	2	6
92	в конце	3	5
93	точку зрения	4	5
94	не менее	2	5
95	в первом	3	5
96	в условиях	5	5
97	значение в	2	5
98	что такое	2	5
99	еще более	2	5
100	в одном	3	5
101	вместе с	4	5
102	не могут	2	4
103	как он	3	4
104	все те	2	4
105	в области	3	4
106	и к	3	4
107	что все	2	4
108	следующим образом	3	4
109	можно назвать	2	4
110	в зависимости	4	4
111	нет и	4	4
112	не будем	2	4
113	в которой	2	4
114	что она	3	4
115	со всеми	2	4
116	но все	2	4
117	для его	2	4
118	из них	4	4
119	уже в	3	4
120	жизни и	4	4
121	если же	2	4
122	не дает	2	4
123	роль в	2	3
124	ведь это	3	3
125	в виде	2	3
126	в целом	4	3
127	говорить об	2	3
128	каждый раз	6	3
129	между собой	3	3
130	мы видим	2	3
131	и по	2	3
132	и они	2	3
133	тем не	2	3
134	друг с	2	3
135	на этот	2	3
136	в дальнейшем	4	3
137	он может	3	3
138	с другом	2	3
139	приводит к	2	3
140	из которых	2	3
141	говорить о	2	3
142	и есть	2	3
143	в живом	2	3
144	этих двух	2	3
145	в системе	3	3
146	он должен	2	2
147	же мы	2	2
148	а все	3	2
149	организма с	5	2
150	на его	2	2
151	вторая половина	2	2
152	и во	2	2
153	мы получим	3	2
154	когда мы	3	2
155	реальный момент	2	2
156	отличается от	3	2
157	который как	2	2
158	тот или	2	2
159	и наконец	5	2
160	самый вопрос	2	2
161	видели что	3	2
162	их в	4	2
163	наблюдения и	2	2
164	и именно	2	2
