N	3gram	Bakhtin_Pr	Literetu
1	в то же	13	21
2	то же время	13	21
3	в том что	6	21
4	по отношению к	12	12
5	в данном случае	2	11
6	в отличие от	4	11
7	не может быть	8	11
8	о том что	2	10
9	в этом отношении	3	10
10	с точки зрения	21	8
11	с другой стороны	6	7
12	к тому же	2	6
13	подобно тому как	3	6
14	не только в	2	6
15	тем не менее	2	5
16	этой точки зрения	2	5
17	бы то ни	3	4
18	но при этом	2	4
19	то ни было	2	4
20	а не как	5	3
21	и т п	10	3
22	во всяком случае	4	3
23	на самом деле	4	3
24	по крайней мере	2	3
25	и наконец в	2	3
26	в самом деле	6	3
27	на то что	2	3
28	к себе самому	4	3
29	но с другой	2	3
30	не в одном	2	3
31	в целом ряде	2	3
32	но и не	2	3
33	в одном из	2	3
34	то что было	4	2
35	же время не	3	2
36	в отношении к	3	2
37	только то что	2	2
38	в художественном мире	3	2
39	как и всякое	2	2
40	для него в	2	2
41	не только не	2	2
42	между тем как	5	2
43	можно было бы	3	2
44	в себе и	2	2
