N	2gram	Kanaev_Sov	VerxiiNi
1	и в	7	26
2	таким образом	11	22
3	в этом	7	15
4	вместе с	4	15
5	точки зрения	12	13
6	как бы	4	12
7	в том	4	11
8	не только	4	10
9	из этих	2	10
10	может быть	12	10
11	что в	2	9
12	так как	4	9
13	в области	3	9
14	и не	6	8
15	но все	2	7
16	из них	4	7
17	с одной	2	7
18	но в	3	7
19	все же	3	6
20	мы должны	4	6
21	в себе	3	6
22	в конце	3	6
23	всяком случае	2	6
24	с точки	5	6
25	и т.д	3	6
26	все эти	5	6
27	все это	3	6
28	и потому	3	6
29	во всяком	2	6
30	и к	3	5
31	друг с	2	5
32	в его	2	5
33	с другом	2	5
34	а не	3	5
35	на этот	2	4
36	что все	2	4
37	а в	4	4
38	в самом	2	4
39	в нем	3	4
40	не может	17	4
41	из которых	2	4
42	в виде	2	4
43	то же	3	4
44	и что	2	4
45	и по	2	4
46	в этой	3	4
47	что это	2	3
48	с самого	3	3
49	каждая из	2	3
50	уже не	2	3
51	в результате	6	3
52	в которой	2	3
53	тем не	2	3
54	и даже	2	3
55	при этом	3	3
56	не менее	2	3
57	в таком	2	3
58	ясно что	3	3
59	в одном	3	3
60	мы видели	4	2
61	или иной	2	2
62	не могут	2	2
63	он в	3	2
64	мы можем	6	2
65	в свою	2	2
66	при таком	3	2
67	отличается от	3	2
68	приводит к	2	2
69	уже в	3	2
70	еще не	3	2
71	жизни и	4	2
72	самого начала	3	2
73	можно назвать	2	2
74	не в	3	2
75	у всех	3	2
76	и наконец	5	2
77	то ни	2	2
78	и все	3	2
79	со всеми	2	2
80	прежде всего	5	2
81	тот же	2	2
82	же самое	2	2
83	быть и	2	2
