N	2gram	Vinokur_Vv	Vladivir
1	и в	35	116
2	то что	19	71
3	и не	13	67
4	не только	26	65
5	в этом	35	53
6	в том	38	52
7	том что	30	51
8	что в	13	48
9	но и	7	47
10	в конце	3	41
11	в его	12	40
12	и с	2	39
13	сказать что	6	36
14	и даже	6	36
15	также и	20	36
16	так что	5	35
17	учение о	2	35
18	потому что	18	33
19	еще и	4	32
20	что он	5	32
21	не может	19	31
22	о том	16	30
23	только в	16	30
24	никогда не	3	29
25	как мы	11	29
26	вовсе не	6	27
27	а в	6	27
28	не было	2	26
29	в то	6	25
30	но в	10	25
31	в себе	4	25
32	и то	7	25
33	и его	6	25
34	даже и	4	24
35	а также	3	24
36	философии и	2	23
37	точки зрения	12	23
38	может быть	30	23
39	что же	3	23
40	в виде	4	22
41	так как	15	22
42	об этом	6	22
43	в своей	4	21
44	вместе с	6	21
45	а именно	6	20
46	в своем	3	20
47	прежде всего	10	20
48	и что	6	20
49	и потому	2	19
50	и вообще	3	19
51	так и	2	19
52	не менее	9	19
53	как раз	4	19
54	в дальнейшем	2	19
55	таким образом	21	19
56	в течение	5	19
57	тем не	9	19
58	не в	10	18
59	как это	5	18
60	как и	7	18
61	хотя и	5	18
62	не мог	2	18
63	что и	5	17
64	в этой	3	17
65	то это	3	17
66	у нас	2	17
67	а не	5	17
68	уже не	6	16
69	все же	9	16
70	того что	12	16
71	совсем не	3	16
72	было бы	7	16
73	к тому	4	16
74	в котором	4	16
75	не есть	5	16
76	до конца	3	15
77	в связи	2	15
78	но это	2	15
79	к этому	3	15
80	несмотря на	2	15
81	иной раз	2	15
82	то же	11	15
83	в своих	2	15
84	и к	3	15
85	того же	3	14
86	уже в	5	14
87	же касается	2	14
88	в с	3	14
89	все эти	3	14
90	и как	9	14
91	и на	3	14
92	мы уже	2	14
93	так же	3	13
94	с тем	6	13
95	можно сказать	4	13
96	да и	4	13
97	что это	3	13
98	в результате	4	13
99	дело в	5	13
100	не просто	5	13
101	жизни и	2	13
102	на этот	6	13
103	во всем	2	13
104	есть только	2	12
105	только на	3	12
106	ничего не	2	12
107	в нем	13	12
108	связи с	3	12
109	во всяком	5	12
110	и это	6	12
111	по себе	11	12
112	всяком случае	5	12
113	в отношении	3	11
114	мы должны	2	11
