N	2gram	Nazirov_Tv	Hudozhes
1	в качестве	2	31
2	то есть	16	26
3	в мире	8	24
4	и в	40	23
5	не только	16	20
6	в том	13	20
7	может быть	11	19
8	при этом	14	19
9	в частности	4	18
10	и не	12	16
11	тогда как	3	15
12	но и	10	14
13	а в	10	13
14	в себе	3	13
15	но не	7	13
16	а не	9	13
17	то же	19	12
18	в этом	11	12
19	и его	14	12
20	так и	5	12
21	как бы	26	11
22	представляет собой	4	11
23	в его	19	11
24	сводится к	2	11
25	но в	11	10
26	по отношению	3	10
27	отношению к	3	10
28	не в	3	9
29	в душе	4	9
30	том что	14	9
31	не может	9	9
32	с другой	4	9
33	своего рода	7	9
34	в искусстве	3	9
35	в то	23	8
36	себя в	3	8
37	в принципе	5	8
38	в самом	6	7
39	я и	3	7
40	в своей	8	7
41	только в	7	7
42	же время	18	7
43	как это	2	7
44	что в	17	7
45	отличие от	3	7
46	в отличие	3	7
47	в основе	3	7
48	не столько	4	7
49	уже не	6	6
50	другой стороны	2	6
51	по сути	6	6
52	приводит к	4	6
53	в нем	4	6
54	с ее	3	6
55	можно сказать	2	6
56	в ее	3	6
57	с его	12	6
58	тем самым	10	5
59	ни в	2	5
60	самим собой	4	5
61	конечном счете	4	5
62	могут быть	4	5
63	в конечном	4	5
64	место в	6	5
65	как к	2	5
66	в виду	3	5
67	в их	5	5
68	не является	3	5
69	героя и	4	5
70	что он	11	5
71	то что	9	5
72	не менее	8	5
73	прежде всего	10	5
74	того что	3	5
75	для него	9	5
76	личности в	3	4
77	сказать что	3	4
78	его в	2	4
79	далеко не	3	4
80	это не	9	4
81	к тому	2	4
82	между тем	2	4
83	во времени	3	4
84	в данном	2	4
85	не знает	2	4
86	однако в	3	4
87	и как	5	4
88	еще не	5	4
89	к которому	3	4
90	и тем	2	4
91	и что	2	4
92	в этих	2	4
93	на смену	2	4
94	он не	10	4
95	и о	2	4
96	например в	3	4
97	в себя	3	4
98	в своем	4	4
99	хотя и	5	4
100	даже в	4	3
101	в жизни	3	3
102	и притом	2	3
103	как уже	2	3
104	не случайно	6	3
105	в романе	24	3
106	как и	16	3
107	авторской позиции	3	3
108	того же	2	3
109	потому что	10	3
110	по преимуществу	4	3
111	в русской	5	3
112	в целом	7	3
113	в свою	8	3
114	во всех	2	3
115	личности и	2	3
116	человека с	2	3
117	тем не	2	3
118	связи с	2	3
119	и на	12	3
120	на деле	3	3
121	если бы	4	3
122	не будет	2	3
123	как раз	2	3
124	сути дела	5	3
125	для автора	4	3
126	и того	2	3
127	или даже	2	3
128	с этой	4	3
129	в связи	2	3
130	таким образом	14	3
131	в таком	4	3
132	и сам	5	3
133	в которой	5	3
134	в момент	5	3
135	во всей	2	3
136	в рассказе	4	3
137	была бы	2	3
138	как правило	3	3
139	отношении к	2	3
140	в одном	3	3
141	с одной	2	3
142	человека к	2	3
143	но он	3	3
144	никогда не	13	2
145	о том	9	2
146	одной из	7	2
147	в литературе	4	2
148	жизни но	2	2
149	одна из	5	2
150	как в	10	2
151	начиная с	2	2
152	и др	2	2
153	не могли	2	2
154	видим в	2	2
155	и это	2	2
156	ее в	3	2
157	в повести	5	2
158	тому что	2	2
159	и потому	4	2
160	от всех	2	2
161	то в	2	2
162	слова не	2	2
163	столь же	2	2
164	в чем	4	2
165	или в	2	2
166	в творческом	4	2
167	именно в	6	2
168	о жизни	4	2
169	жизни в	9	2
170	все эти	3	2
171	жизнь на	2	2
172	времени в	13	2
173	человека и	6	2
174	не все	2	2
175	вслед за	2	2
176	времени и	4	2
177	что она	5	2
178	говорит что	2	2
179	дело не	3	2
180	но она	2	2
181	в глаза	2	2
182	так же	6	2
183	об этом	4	2
184	может служить	2	2
185	свою очередь	2	2
186	войне и	2	2
187	и по	5	2
188	между собой	2	2
189	всякий раз	2	2
190	я не	5	2
191	в известном	2	2
192	отнюдь не	9	2
193	один из	5	2
194	по себе	2	2
195	в пространстве	2	2
196	мышления и	2	2
197	и мире	2	2
198	в комедии	2	2
199	таком случае	2	2
200	ведет к	3	2
201	роль в	2	2
202	к жизни	4	2
203	это и	4	2
204	русской литературе	4	2
205	мира в	2	2
206	все это	14	2
207	с ними	3	2
208	которого он	2	2
209	что и	3	2
210	в году	22	2
211	xix века	13	2
212	в одно	2	2
213	одним из	6	2
214	и другие	4	2
215	более не	4	2
216	а затем	5	2
217	самом деле	4	2
218	в финале	4	2
219	и более	2	2
220	в этой	7	2
221	но только	3	2
222	ни к	2	2
223	человеческих отношений	3	2
224	а с	4	2
225	роман и	2	2
226	с ним	4	2
227	превращается в	2	2
228	который в	4	2
229	духовной жизни	2	2
230	вовсе не	5	2
231	у него	11	2
232	известном смысле	2	2
233	первой части	7	2
