N	2gram	Kanaev_Sov	Narrotol
1	не только	4	62
2	и не	6	50
3	при этом	3	47
4	а не	3	38
5	может быть	12	30
6	и в	7	30
7	в том	4	29
8	в этом	7	28
9	а в	4	27
10	такого рода	2	26
11	как и	6	24
12	не в	3	23
13	не может	17	20
14	в себе	3	17
15	в его	2	16
16	но в	3	15
17	то же	3	13
18	времени и	2	13
19	у него	2	13
20	уже не	2	13
21	все же	3	12
22	прежде всего	5	12
23	как бы	4	12
24	отличие от	2	11
25	в нем	3	11
26	в этой	3	11
27	в отличие	2	11
28	и т.д	3	10
29	ничего не	6	10
30	точки зрения	12	10
31	и все	3	10
32	жизни и	4	10
33	еще не	3	9
34	что в	2	9
35	отнюдь не	3	9
36	тем не	2	9
37	или иной	2	8
38	самом деле	2	8
39	не менее	2	8
40	одна из	3	8
41	у нас	3	8
42	в самом	2	8
43	и к	3	8
44	в таком	2	8
45	в свою	2	7
46	это не	4	7
47	в конце	3	7
48	в целом	4	7
49	то и	2	6
50	из этих	2	6
51	в результате	6	6
52	с одной	2	6
53	в нашем	2	6
54	таким образом	11	6
55	о жизни	2	5
56	точку зрения	4	5
57	между собой	3	5
58	было бы	3	5
59	мы не	9	5
60	свою очередь	2	5
61	что это	2	5
62	так сказать	2	5
63	и даже	2	5
64	их в	4	5
65	из них	4	5
66	в одном	3	5
67	в третьем	2	4
68	роль в	2	4
69	а на	2	4
70	как он	3	4
71	в области	3	4
72	и по	2	4
73	в первом	3	4
74	как мы	2	4
75	быть и	2	4
76	со всеми	2	4
77	для нас	3	4
78	всяком случае	2	4
79	которой он	2	4
80	во всяком	2	4
81	вместе с	4	4
82	и потому	3	3
83	не подлежит	3	3
84	к чему	2	3
85	как известно	2	3
86	в виде	2	3
87	первые два	2	3
88	все эти	5	3
89	той же	2	3
90	в зависимости	4	3
91	что она	3	3
92	жизни мы	2	3
93	в которой	2	3
94	зависимости от	4	3
95	каждого из	2	3
96	на этот	2	3
97	приводит к	2	3
98	с точки	5	3
99	и что	2	3
100	говорить о	2	3
101	же самое	2	3
102	тем же	2	3
103	она может	2	2
104	на две	3	2
105	и пространства	2	2
106	а все	3	2
107	могут быть	2	2
108	что же	5	2
109	можно назвать	2	2
110	и во	2	2
111	все те	2	2
112	и мы	3	2
113	но все	2	2
114	по мнению	2	2
115	это за	2	2
116	мы можем	6	2
117	все это	3	2
118	и наконец	5	2
119	и есть	2	2
120	он может	3	2
121	из которых	2	2
122	еще более	2	2
123	если же	2	2
124	этих двух	2	2
125	не можем	7	2
126	в системе	3	2
127	с помощью	4	2
128	ясно что	3	2
