N	2gram	Propp_Isto	Literetu
1	а не	9	50
2	и не	12	47
3	не только	30	46
4	и в	41	44
5	может быть	19	43
6	при этом	7	41
7	но и	20	41
8	тогда как	4	40
9	в том	14	39
10	в этом	19	38
11	своего рода	7	37
12	том что	18	32
13	в частности	3	30
14	то что	12	29
15	в качестве	5	27
16	то же	12	26
17	как и	8	23
18	в то	6	23
19	не в	12	22
20	так и	8	22
21	того что	7	22
22	не может	19	22
23	в себе	3	20
24	прежде всего	6	19
25	как бы	8	18
26	точки зрения	4	17
27	в его	4	17
28	с другой	20	17
29	в этой	2	16
30	в жизни	2	16
31	тем самым	3	15
32	со стороны	3	15
33	не менее	5	15
34	в целом	2	15
35	в русской	8	15
36	только в	10	15
37	по отношению	3	14
38	что он	29	14
39	однако в	2	14
40	и даже	3	14
41	в своем	3	13
42	как это	6	13
43	с одной	12	13
44	но не	8	13
45	уже не	8	13
46	и его	11	13
47	к себе	4	12
48	в данном	8	12
49	в своей	4	12
50	а также	2	12
51	еще не	13	12
52	отношению к	3	12
53	о том	15	12
54	одной стороны	12	12
55	никогда не	16	11
56	данном случае	7	11
57	это не	14	11
58	в другом	2	11
59	еще в	3	11
60	с его	4	11
61	и сам	3	11
62	не столько	4	11
63	как в	17	11
64	а в	12	11
65	или иначе	2	11
66	в основе	2	11
67	вместе с	17	11
68	даже в	2	10
69	в области	3	10
70	что в	21	10
71	так или	2	10
72	в ее	3	10
73	из них	2	10
74	и на	12	10
75	потому что	13	10
76	не случайно	3	10
77	жизни и	3	10
78	к тому	4	9
79	один из	7	9
80	связи с	3	9
81	в начале	2	9
82	с этой	7	9
83	на смену	2	9
84	что я	2	9
85	представляет собой	8	9
86	вплоть до	2	8
87	одна из	7	8
88	в конце	4	8
89	все же	14	8
90	по существу	5	8
91	но в	7	8
92	того же	3	8
93	уже в	4	8
94	на себя	3	8
95	что не	3	8
96	и как	3	8
97	а именно	12	8
98	тем что	11	8
99	в их	4	7
100	друг друга	2	7
101	и тем	4	7
102	и других	2	7
103	это как	2	7
104	так в	10	7
105	другой стороны	17	7
106	у нас	4	7
107	именно в	2	7
108	в самом	2	7
109	и с	4	7
110	в одном	2	7
111	он и	3	7
112	в нем	12	7
113	он не	8	7
114	его в	7	6
115	и он	8	6
116	и др	4	6
117	было бы	4	6
118	не было	3	6
119	например в	6	6
120	и то	3	6
121	право на	5	6
122	то и	6	6
123	во всех	8	6
124	и наконец	6	6
125	далеко не	3	6
126	в ней	4	6
127	и только	4	6
128	у него	16	6
129	как на	3	6
130	как будто	4	6
131	с собой	7	5
132	вслед за	2	5
133	в литературе	2	5
134	так как	21	5
135	как он	11	5
136	так что	6	5
137	не знает	2	5
138	к этой	2	5
139	этой точки	3	5
140	что и	13	5
141	в связи	3	5
142	обращается к	4	5
143	все еще	2	5
144	самого себя	2	5
145	мы не	10	5
146	тем не	4	5
147	а я	2	5
148	в силу	2	5
149	как у	2	5
150	не с	2	5
151	том чтобы	3	5
152	и если	4	5
153	но с	2	5
154	себе и	3	4
155	для нас	8	4
156	за собой	2	4
157	все время	2	4
158	выше и	3	4
159	не всегда	6	4
160	от своего	2	4
161	к своему	4	4
162	только на	2	4
163	знает что	2	4
164	в руках	2	4
165	с тем	8	4
166	и все	6	4
167	на том	10	4
168	на его	6	4
169	ту же	3	4
170	могут быть	3	4
171	в них	4	4
172	хотя и	3	4
173	как мы	6	4
174	во всяком	3	4
175	одной из	4	4
176	тех же	2	4
177	но при	2	4
178	то это	7	4
179	но это	5	4
180	к этому	5	4
181	сводится к	3	4
