N	3gram	Tiupa_Narr	slovoVRo
1	не может быть	5	19
2	в то же	3	18
3	то же время	3	18
4	той или иной	4	15
5	с точки зрения	2	15
6	в отличие от	5	14
7	в той или	2	13
8	с одной стороны	7	11
9	более или менее	2	9
10	в значительной степени	2	7
11	не может не	2	6
12	с другой стороны	4	6
13	но все же	4	6
14	в том что	8	5
15	в этом отношении	3	5
16	не только в	2	5
17	по отношению к	6	5
18	можно сказать что	4	4
19	в свою очередь	3	4
20	по всей вероятности	2	3
21	в данном случае	4	3
22	в связи с	2	3
23	и не в	4	3
24	того или иного	2	3
25	в первом случае	2	2
26	о том что	6	2
27	можно было бы	2	2
28	в известном смысле	2	2
29	этой точки зрения	2	2
30	то или иное	2	2
31	тем не менее	3	2
32	не только о	2	2
