N	2gram	Trubetskoy	FransuaR
1	и в	26	367
2	то есть	4	209
3	в этом	15	112
4	и не	8	101
5	таким образом	22	100
6	в его	5	98
7	прежде всего	2	92
8	не только	10	87
9	но и	9	84
10	как бы	12	82
11	все эти	6	79
12	в нем	4	75
13	но в	7	75
14	в эпоху	7	75
15	и на	2	72
16	в том	11	71
17	то же	4	66
18	и все	2	66
19	так и	6	65
20	в этой	4	65
21	в них	2	65
22	и с	10	64
23	во время	4	63
24	в то	4	63
25	все это	6	62
26	во всех	2	62
27	же время	2	55
28	что в	9	52
29	в своем	3	51
30	только в	4	48
31	так как	9	46
32	том что	7	45
33	то что	7	41
34	жизни и	2	40
35	в самом	4	38
36	точки зрения	13	37
37	с его	2	36
38	может быть	10	35
39	о том	6	35
40	сказать что	2	34
41	и даже	3	34
42	в себе	6	34
43	в конце	6	32
44	он не	4	32
45	мы видели	2	32
46	для него	3	32
47	так же	5	30
48	никогда не	5	30
49	и потому	6	30
50	один из	2	30
51	потому что	7	30
52	в этих	4	29
53	не может	4	29
54	еще не	2	29
55	не в	2	29
56	при этом	3	29
57	в одном	3	29
58	связи с	9	29
59	что он	4	29
60	из них	7	28
61	и к	5	28
62	сих пор	5	27
63	по своему	2	27
64	и другие	3	27
65	до сих	5	27
66	том числе	5	27
67	все же	6	27
68	в области	9	25
69	отношение к	5	24
70	того чтобы	5	24
71	и от	4	24
72	но не	8	24
73	и у	8	24
74	и для	5	23
75	и здесь	2	23
76	к нему	7	23
77	и о	3	22
78	связь с	2	22
79	а в	4	22
80	что и	6	22
81	вместе с	15	22
82	не было	2	22
83	именно в	2	21
84	в качестве	3	21
85	что это	3	21
86	в отношении	6	21
87	и наконец	2	21
88	одним из	2	21
89	культуры и	3	21
90	и как	3	21
91	уже в	2	21
92	в образе	2	20
93	а также	2	20
94	одной из	5	20
95	этом отношении	2	20
96	в виду	2	20
97	в значительной	3	20
98	с точки	6	20
99	и это	2	20
100	в связи	3	20
101	того же	6	19
102	к этому	3	19
103	в эту	2	19
104	далеко не	4	19
105	с другой	8	19
106	связанные с	7	18
107	со всеми	2	18
108	превращается в	2	18
109	связан с	2	18
110	числе и	4	17
111	связанных с	2	17
112	для того	5	17
113	но все	7	17
114	того что	3	17
115	в результате	3	17
116	связана с	2	17
117	конечно не	2	17
118	а не	5	17
119	между тем	2	16
120	тот же	2	16
121	в начале	2	16
122	с одной	7	16
123	одно из	2	15
124	пор еще	2	15
125	особенно в	2	15
126	как на	8	15
127	в которой	3	15
128	в самой	2	15
129	из этих	10	15
130	все что	2	14
131	по существу	2	14
132	несмотря на	6	14
133	и по	4	14
134	в котором	4	14
135	образом в	5	14
136	что все	4	13
137	в других	3	13
138	в мире	5	13
139	на все	2	13
140	одной стороны	7	13
141	одновременно и	2	13
142	из всех	3	12
143	лишь в	5	12
144	только для	2	12
145	не могут	2	12
146	начиная с	2	12
147	благодаря этому	2	12
148	те же	2	12
149	по своей	2	12
150	главным образом	8	12
151	он в	2	12
152	можно сказать	3	12
153	наконец в	2	11
154	так например	2	11
155	из этого	2	11
156	в общем	8	11
157	характер носят	2	11
158	уже не	3	11
159	и что	4	11
160	в течение	4	11
161	и особенно	2	11
162	и т.д	6	11
163	той или	2	11
164	или иной	2	10
165	на этот	4	10
166	в процессе	2	10
167	конце концов	3	10
168	к тому	6	10
169	целый ряд	4	10
170	для всех	2	10
171	к которому	2	10
172	относится к	2	9
173	вплоть до	2	9
174	связано с	2	9
175	в разных	2	9
176	некоторые из	2	9
177	народная культура	2	9
178	отношению к	3	9
179	не имеет	5	9
180	в которых	4	9
181	мы можем	2	9
182	о котором	2	9
183	к жизни	5	9
184	с этой	3	8
185	так что	3	8
186	людей и	2	8
187	с тем	18	8
188	с самого	3	8
189	для этого	2	8
190	если бы	3	8
191	в другое	2	8
192	перестает быть	2	8
193	и при	3	8
194	более или	5	8
195	но с	3	8
196	или менее	5	8
197	не менее	3	8
198	и те	3	8
199	как о	3	8
200	тому же	5	8
201	они в	2	8
202	ко всему	2	8
203	не как	2	7
204	в свою	2	7
205	его не	2	7
206	в виде	4	7
207	во всяком	6	7
208	к ним	3	7
209	к концу	3	7
210	из которых	4	7
211	в таком	3	7
212	значительной мере	2	7
213	связанный с	2	7
214	и если	3	7
215	от них	2	7
216	представление о	6	7
