N	3gram	Voloshinov	Istorich
1	с другой стороны	6	46
2	до сих пор	10	30
3	в этом случае	3	29
4	с одной стороны	2	28
5	так же как	2	27
6	в том что	9	25
7	не может быть	23	24
8	тем не менее	3	23
9	но все же	4	23
10	о том что	2	22
11	не только в	2	19
12	в связи с	12	17
13	мы уже знаем	2	15
14	по отношению к	9	14
15	на то что	2	14
16	как мы видели	4	12
17	мы не будем	3	12
18	но и в	3	12
19	можно было бы	2	10
20	более или менее	3	9
21	же как и	2	9
22	друг с другом	2	9
23	как мы увидим	2	9
24	то же самое	8	8
25	на этот вопрос	3	8
26	в зависимости от	2	8
27	во всяком случае	4	7
28	в большинстве случаев	7	7
29	смысле этого слова	6	7
30	и здесь мы	3	6
31	с самого начала	9	6
32	к тому же	2	6
33	на самом деле	5	5
34	для того чтобы	7	5
35	так и в	2	5
36	в том числе	3	5
37	со всех сторон	2	5
38	в отличие от	7	5
39	это и есть	2	4
40	можно сказать что	4	4
41	а иногда и	2	4
42	с точки зрения	31	4
43	вопрос о том	2	4
44	так или иначе	2	4
45	и то же	3	3
46	бы то ни	11	3
47	но по мере	2	3
48	то ни было	11	3
49	этот вопрос мы	3	3
50	и тот же	3	3
51	к тому что	4	3
52	один и тот	3	3
53	само по себе	2	3
54	в самом деле	13	2
55	может быть и	8	2
56	лежит в основе	2	2
57	ничего общего с	2	2
58	а не в	3	2
59	уже с самого	2	2
60	в достаточной степени	2	2
61	сама по себе	2	2
62	не могут быть	3	2
63	на самом же	5	2
64	самом же деле	5	2
65	и не может	11	2
66	и те же	5	2
67	и прежде всего	4	2
68	как если бы	6	2
69	на первый план	2	2
70	том что он	3	2
71	что во всех	2	2
72	между этими двумя	2	2
73	одно и то	3	2
74	и той же	2	2
75	в таком случае	5	2
76	том числе и	3	2
77	одной и той	2	2
78	в свою очередь	5	2
