N	2gram	Berdyaev_N	FransuaR
1	и в	16	367
2	в этом	7	112
3	и т.п	2	108
4	и не	11	101
5	прежде всего	4	92
6	не только	5	87
7	но и	3	84
8	все эти	2	79
9	как и	7	76
10	в нем	5	75
11	но в	2	75
12	в эпоху	9	75
13	и на	2	72
14	в том	8	71
15	и все	4	66
16	так и	2	65
17	в них	4	65
18	и с	2	64
19	в то	2	63
20	все это	5	62
21	во всех	3	62
22	что в	9	52
23	том что	2	45
24	то что	4	41
25	жизни и	8	40
26	у него	2	40
27	в ней	5	37
28	с его	6	36
29	может быть	7	35
30	о том	4	35
31	сказать что	3	34
32	и даже	2	34
33	в себе	2	34
34	он не	8	32
35	в своей	3	31
36	нового времени	12	31
37	связаны с	2	31
38	так же	2	30
39	никогда не	6	30
40	и потому	4	30
41	потому что	4	30
42	в духе	3	29
43	не может	16	29
44	еще не	3	29
45	не в	6	29
46	в основе	3	28
47	и к	5	28
48	роль в	2	27
49	по своему	4	27
50	средние века	7	26
51	все они	2	26
52	в средние	3	26
53	но это	6	25
54	мира и	2	25
55	того чтобы	2	24
56	в ее	3	24
57	и от	2	24
58	но не	2	24
59	как в	3	24
60	времени и	2	24
61	и для	4	23
62	это не	4	23
63	а в	2	22
64	вместе с	2	22
65	не было	4	22
66	ни в	6	21
67	культуры и	7	21
68	есть в	2	21
69	и это	2	20
70	хотя и	2	19
71	за пределы	3	19
72	с другой	3	19
73	с ее	5	19
74	на протяжении	2	19
75	средневековья и	2	18
76	это и	2	18
77	одна из	2	18
78	можно было	2	17
79	связана с	2	17
80	века и	2	17
81	такой же	2	17
82	конечно не	3	17
83	а не	17	17
84	с одной	2	16
85	в истории	3	15
86	мысли и	2	15
87	xix века	5	15
88	с их	2	15
89	мы не	2	14
90	по существу	2	14
91	что все	2	13
92	это было	3	13
93	с этим	2	13
94	в жизни	5	13
95	в мире	3	13
96	и есть	10	13
97	одной стороны	2	13
98	не знает	6	13
99	мир и	2	13
100	в новой	7	12
101	лишь в	6	12
102	жизни в	3	12
103	место в	2	12
104	другой стороны	2	12
105	все время	2	11
106	формы и	2	11
107	уже не	2	11
108	и что	2	11
109	культуры в	5	11
110	эпохи и	4	10
111	человека и	3	10
112	к тому	3	10
113	эти формы	3	9
114	в мировой	2	9
115	как это	2	9
116	не имеет	4	9
117	к жизни	3	9
118	с тем	3	8
119	для этого	2	8
120	для нового	2	8
121	ведь и	2	8
122	перестает быть	4	8
123	самой жизни	2	8
124	не менее	4	8
125	xviii века	2	8
126	большую роль	4	7
127	времени в	2	7
128	в одну	2	7
129	должен быть	5	7
130	тому как	3	7
131	старый мир	2	7
132	себя в	2	7
133	к ним	3	7
134	подобно тому	3	7
135	думать что	2	7
136	новое время	4	7
137	но она	2	7
138	в новое	3	7
139	нет и	2	7
140	такого рода	2	6
141	смысле слова	3	6
142	в центре	2	6
143	жизни как	2	6
144	могут быть	2	6
145	что она	2	6
146	старого мира	3	6
147	в новом	2	6
148	не могли	2	6
149	хотя бы	2	6
150	как будто	2	6
151	культура средневековья	2	6
152	и пр	3	6
153	стремление к	2	5
154	должна быть	3	5
155	и весь	2	5
156	совсем не	12	5
157	должно быть	4	5
158	не могла	2	5
159	не во	4	5
160	же как	2	5
161	жизнью в	2	5
162	этот мир	2	5
163	не к	2	5
164	сама жизнь	2	4
165	общества и	2	4
166	я не	2	4
167	от старого	2	4
168	это есть	7	4
169	но для	2	4
170	возвращается к	2	4
171	века но	2	4
172	который в	2	4
173	в наши	3	4
174	духа в	2	4
175	со всех	4	4
176	всех сторон	4	4
177	к новому	7	4
178	в смысле	2	4
179	сильнее и	2	3
180	должно было	2	3
181	она не	3	3
182	права на	2	3
183	xix и	4	3
184	ни к	2	3
185	мы говорим	2	3
186	духа и	3	3
187	свободы и	2	3
188	на уровне	2	3
189	равно как	2	3
190	быть в	2	3
191	права и	2	3
192	время как	2	3
193	и начало	3	3
194	не существует	3	3
195	в прошлом	3	3
196	из ее	2	3
197	и формы	2	3
198	наряду с	3	3
199	не будет	7	3
200	войны и	2	3
201	вот почему	2	3
202	том чтобы	2	3
203	этом смысле	2	3
204	века были	2	3
205	и мы	4	3
206	истории и	9	3
207	к самой	2	3
208	от всякого	2	3
209	не есть	3	3
210	я уже	2	2
211	нем нет	2	2
212	глубины и	2	2
213	что такое	3	2
214	античного мира	4	2
215	в нашу	2	2
216	лицом к	3	2
217	быть может	4	2
218	от новой	2	2
219	мира а	2	2
220	отдельных людей	3	2
221	силы и	2	2
222	xx веков	3	2
223	государство и	2	2
224	общественной жизни	6	2
225	всех сферах	3	2
226	в природе	2	2
227	и начинается	2	2
228	том и	2	2
229	наши дни	3	2
230	это связано	2	2
231	более не	2	2
232	свободы от	2	2
233	вернуться к	2	2
234	политики и	2	2
235	мысли в	2	2
236	и культуры	2	2
