N	2gram	Voloshinov	Literetu
1	а не	7	50
2	и не	14	47
3	не только	28	46
4	и в	42	44
5	может быть	13	43
6	при этом	9	41
7	но и	16	41
8	в том	3	39
9	в этом	10	38
10	том что	3	32
11	в частности	3	30
12	то что	9	29
13	в мире	2	28
14	в качестве	4	27
15	то же	16	26
16	как и	12	23
17	в то	9	23
18	не в	6	22
19	так и	7	22
20	того что	4	22
21	себя в	4	22
22	не может	13	22
23	я и	2	21
24	же время	7	21
25	в себе	10	20
26	и т.п	25	20
27	прежде всего	22	19
28	как бы	30	18
29	то есть	5	17
30	точки зрения	11	17
31	в его	6	17
32	в этой	6	16
33	в жизни	2	16
34	тем самым	8	15
35	в целом	4	15
36	только в	7	15
37	по отношению	2	14
38	что он	2	14
39	однако в	2	14
40	и даже	3	14
41	как это	5	13
42	но не	2	13
43	уже не	4	13
44	и его	7	13
45	в своей	2	12
46	еще не	3	12
47	отношению к	2	12
48	о том	4	12
49	никогда не	7	11
50	это не	3	11
51	с его	8	11
52	и сам	2	11
53	как в	3	11
54	а в	5	11
55	в основе	3	11
56	вместе с	5	11
57	этом отношении	2	10
58	в области	6	10
59	отнюдь не	10	10
60	в ее	3	10
61	из них	3	10
62	и на	7	10
63	потому что	7	10
64	жизни и	3	10
65	к тому	4	9
66	один из	4	9
67	связи с	3	9
68	в начале	3	9
69	лишь в	4	9
70	и т.д	21	9
71	представляет собой	2	9
72	на наш	2	9
73	в конце	6	8
74	ли не	2	8
75	быть может	3	8
76	все же	9	8
77	но в	5	8
78	уже в	5	8
79	не говоря	2	8
80	для него	3	8
81	и как	10	8
82	слова и	5	8
83	тем что	2	8
84	в своих	2	8
85	той же	7	8
86	с точки	5	8
87	художественного творчества	5	8
88	до конца	2	7
89	для всех	2	7
90	в их	2	7
91	по своей	2	7
92	друг друга	2	7
93	и тем	7	7
94	для этого	2	7
95	и для	3	7
96	общественного сознания	2	7
97	человека в	2	7
98	у нас	4	7
99	в самом	5	7
100	и с	5	7
101	в одном	4	7
102	в нем	6	7
103	он не	2	7
104	тому же	2	7
105	еще и	2	6
106	его в	4	6
107	в виду	3	6
108	самом деле	5	6
109	и он	2	6
110	при всем	2	6
111	было бы	7	6
112	не было	2	6
113	и то	5	6
114	во всех	6	6
115	в каждом	4	6
116	и наконец	5	6
117	в ней	8	6
118	в слове	4	6
119	тем же	4	6
120	или иной	6	5
121	с собой	2	5
122	так как	8	5
123	не знает	3	5
124	всего в	4	5
125	между тем	3	5
126	несмотря на	3	5
127	что и	3	5
128	в связи	2	5
129	эти слова	9	5
130	место в	2	5
131	хотя бы	18	5
132	в словах	4	5
133	должно быть	2	5
134	мы не	9	5
135	не с	3	5
136	в нашем	5	5
137	и к	4	5
138	не к	4	5
139	в свою	6	4
140	очевидно что	2	4
141	себе и	2	4
142	для нас	3	4
143	нуждается в	3	4
144	не является	5	4
145	каждый из	2	4
146	все время	5	4
147	не всегда	2	4
148	к своему	4	4
149	только на	3	4
150	с тем	8	4
151	и все	4	4
152	на его	6	4
153	и само	3	4
154	ту же	2	4
155	художественное творчество	3	4
156	на другого	4	4
157	хотя и	3	4
158	как мы	10	4
159	одной из	2	4
160	но при	3	4
161	нет ничего	2	4
162	но это	2	4
163	к этому	2	4
164	во второй	3	4
165	бы не	2	4
166	и вот	3	4
167	для того	9	4
168	совершенно не	3	4
169	ни к	2	4
170	в пределах	2	4
171	не должен	2	4
172	то он	3	4
173	можно сказать	4	4
174	перед ним	3	4
175	вовсе не	2	4
176	что было	3	4
177	таким образом	8	4
178	не мог	3	4
179	отношения к	3	4
180	и нет	2	4
181	на самом	3	3
182	вопрос о	2	3
183	ничего не	8	3
184	и потому	2	3
185	бытия в	2	3
186	так же	4	3
187	но как	2	3
188	о чем	2	3
189	как таковое	2	3
190	в отношении	2	3
191	общения людей	2	3
192	отношение к	2	3
193	есть не	2	3
194	в разговоре	2	3
195	том же	2	3
196	своей жизни	5	3
197	сознания не	3	3
198	а на	2	3
199	а с	5	3
200	себе в	2	3
201	в душе	2	3
202	как уже	2	3
203	в сознании	5	3
204	той или	4	3
205	из трех	2	3
206	что же	8	3
207	а к	3	3
208	такие как	2	3
209	того чтобы	7	3
210	все эти	3	3
211	и тогда	2	3
212	свою очередь	4	3
213	всех своих	4	3
214	тот же	2	3
215	да и	4	3
216	относится к	2	3
217	и от	7	3
218	как например	2	3
219	не становится	3	3
220	на два	2	3
221	ту или	4	3
222	можно было	4	3
223	в первой	2	3
224	бы и	2	3
225	не так	3	3
226	с ней	2	3
227	о своем	3	3
228	если бы	4	3
229	также и	2	3
230	был бы	2	3
231	в этих	2	3
232	вследствие этого	3	3
233	в какой	2	3
234	и является	5	3
235	он говорит	2	3
236	что такое	4	3
237	или иную	4	3
238	не есть	2	3
239	если не	3	3
240	из которых	3	3
241	мы в	3	3
242	здесь не	2	3
243	и уже	3	3
244	с появлением	4	3
245	не просто	4	3
246	же самое	5	3
247	с ним	2	3
248	первый взгляд	2	2
249	перед нами	3	2
250	не будь	2	2
251	если б	6	2
252	в будущем	3	2
253	человека и	2	2
254	должен быть	2	2
255	роль в	3	2
256	у них	3	2
257	общественной жизни	10	2
258	и при	2	2
259	его не	2	2
260	нужно было	2	2
261	человека не	4	2
262	в него	2	2
263	тому что	5	2
264	к нему	2	2
265	гораздо более	2	2
266	но мы	2	2
267	даже и	2	2
268	и без	4	2
269	этой ситуации	2	2
270	ответ на	3	2
271	в обществе	4	2
272	для них	2	2
273	между двумя	2	2
274	в нас	2	2
275	этом случае	3	2
276	своего героя	2	2
277	здесь мы	3	2
278	одно и	6	2
279	сказать что	3	2
280	все то	2	2
281	слово не	4	2
282	бы в	6	2
283	значительной степени	2	2
284	к достижению	2	2
285	с другими	2	2
286	в нашей	2	2
287	из этих	2	2
288	так сказать	4	2
289	на это	4	2
290	человек с	2	2
291	в значительной	2	2
292	с кем	2	2
293	не обладает	2	2
294	та же	3	2
295	из двух	2	2
296	аудитории и	4	2
297	но даже	2	2
298	к той	3	2
299	в живом	5	2
300	чуть ли	2	2
301	нет и	3	2
302	слово как	8	2
303	что у	3	2
304	в котором	3	2
305	еще более	2	2
306	слова в	6	2
307	как с	2	2
308	или иных	3	2
309	других как	2	2
310	в той	5	2
311	тех или	4	2
312	языка в	2	2
313	друг другу	2	2
314	на эту	2	2
315	и внешней	3	2
316	на первый	2	2
317	мы имеем	2	2
