N	2gram	Medvedev_F	Literetu
1	а не	11	50
2	и не	34	47
3	не только	14	46
4	и в	54	44
5	может быть	30	43
6	при этом	14	41
7	но и	18	41
8	в том	17	39
9	в этом	39	38
10	том что	3	32
11	в частности	4	30
12	то что	14	29
13	в мире	4	28
14	в качестве	2	27
15	в году	2	26
16	состоит в	3	26
17	то же	16	26
18	как и	18	23
19	в то	14	23
20	не в	16	22
21	так и	24	22
22	того что	7	22
23	не может	26	22
24	же время	13	21
25	в себе	4	20
26	прежде всего	34	19
27	как бы	10	18
28	точки зрения	21	17
29	в его	30	17
30	с другой	8	17
31	в этой	10	16
32	в жизни	3	16
33	тем самым	5	15
34	со стороны	7	15
35	не менее	12	15
36	произведение искусства	4	15
37	в целом	7	15
38	только в	6	15
39	по отношению	4	14
40	что он	8	14
41	и даже	7	14
42	в своем	12	13
43	как это	8	13
44	с одной	5	13
45	но не	5	13
46	уже не	9	13
47	и его	27	13
48	в данном	2	12
49	в своей	16	12
50	еще не	6	12
51	отношению к	4	12
52	одной стороны	5	12
53	никогда не	6	11
54	данном случае	2	11
55	это не	4	11
56	в другом	2	11
57	еще в	2	11
58	отличие от	2	11
59	с его	12	11
60	не столько	5	11
61	как в	12	11
62	в отличие	2	11
63	а в	11	11
64	или иначе	2	11
65	столь же	2	11
66	в основе	7	11
67	вместе с	8	11
68	даже в	2	10
69	этом отношении	7	10
70	в области	6	10
71	что в	10	10
72	отнюдь не	13	10
73	в ее	10	10
74	жизни в	2	10
75	из них	5	10
76	и на	10	10
77	потому что	2	10
78	жизни и	10	10
79	в противовес	2	10
80	к тому	6	9
81	один из	4	9
82	в поэзии	5	9
83	же в	4	9
84	связи с	12	9
85	лишь в	15	9
86	с этой	4	9
87	искусства и	5	9
88	одна из	2	8
89	в конце	2	8
90	едва ли	3	8
91	все же	8	8
92	в искусстве	6	8
93	по существу	8	8
94	но в	9	8
95	что не	4	8
96	для него	9	8
97	и как	6	8
98	слова и	5	8
99	мира в	2	8
100	а именно	3	8
101	тем что	6	8
102	в своих	3	8
103	той же	2	8
104	с точки	17	8
105	как раз	8	8
106	до конца	9	7
107	для всех	2	7
108	в их	16	7
109	не как	7	7
110	наконец в	3	7
111	друг друга	4	7
112	и тем	3	7
113	и других	4	7
114	так в	3	7
115	в художественном	5	7
116	для этого	6	7
117	другой стороны	5	7
118	и для	5	7
119	по преимуществу	6	7
120	перестает быть	3	7
121	у нас	6	7
122	именно в	12	7
123	в самом	17	7
124	и с	17	7
125	в одном	2	7
126	он и	3	7
127	в нем	25	7
128	он не	8	7
129	на фоне	7	7
130	его в	5	6
131	в виду	2	6
132	самом деле	12	6
133	одного из	4	6
134	и др	8	6
135	было бы	10	6
136	не было	7	6
137	то в	3	6
138	то и	2	6
139	во всех	9	6
140	в каждом	3	6
141	с ее	7	6
142	и наконец	7	6
143	как о	8	6
144	далеко не	2	6
145	произведения искусства	4	6
146	в ней	15	6
147	и только	5	6
148	как на	5	6
149	в слове	4	6
150	тем же	3	6
151	все более	4	5
152	в художественной	2	5
153	идет о	3	5
154	в литературе	6	5
155	так как	4	5
156	как он	2	5
157	так что	2	5
158	всего в	5	5
159	более того	6	5
160	к этой	4	5
161	во втором	7	5
162	между тем	4	5
163	несмотря на	2	5
164	что и	10	5
165	в сущности	3	5
166	в связи	11	5
167	в чужом	2	5
168	место в	8	5
169	хотя бы	10	5
170	литературного произведения	6	5
171	в россии	4	5
172	по аналогии	5	5
173	должно быть	13	5
174	мы не	6	5
175	тем не	2	5
176	ни было	2	5
177	русской литературы	2	5
178	не с	2	5
179	том чтобы	3	5
180	в нашем	2	5
181	и если	2	5
182	и к	7	5
183	об искусстве	3	5
184	не к	2	5
185	однако не	5	5
186	входит в	8	4
187	в свою	8	4
188	очевидно что	2	4
189	не является	3	4
190	каждый из	3	4
191	как к	5	4
192	и прежде	3	4
193	все время	7	4
194	только на	8	4
195	в формах	4	4
196	с тем	11	4
197	общего с	2	4
198	со всей	3	4
199	и все	9	4
200	на его	2	4
201	и само	2	4
202	могут быть	7	4
203	искусство как	2	4
204	в них	4	4
205	аналогии с	4	4
206	во всей	4	4
207	хотя и	3	4
208	как мы	10	4
209	во всяком	6	4
210	бы то	4	4
211	мышления и	2	4
212	одной из	2	4
213	тех же	2	4
214	но это	4	4
215	за пределы	2	4
216	к этому	3	4
217	сводится к	6	4
218	жизнь как	3	4
219	во второй	3	4
220	художественного целого	2	4
221	и вот	2	4
222	художественное произведение	8	4
223	для того	3	4
224	совершенно не	5	4
225	такой же	2	4
226	со всеми	3	4
227	в пределах	13	4
228	можно сказать	2	4
229	на то	2	4
230	жизни не	2	4
231	приводит к	4	4
232	в единстве	8	4
233	на этом	2	4
234	в сторону	4	4
235	жизни а	2	4
236	вовсе не	18	4
237	из этого	2	4
238	и что	2	4
239	то ни	5	4
240	что было	2	4
241	таким образом	28	4
242	отношения к	6	4
243	на самом	8	3
244	вопрос о	3	3
245	ничего не	5	3
246	в действительности	3	3
247	и потому	9	3
248	бытия в	3	3
249	исторической жизни	2	3
250	так же	5	3
251	но как	2	3
252	как таковое	3	3
253	по себе	10	3
254	в отношении	3	3
255	искусства как	2	3
256	на один	3	3
257	отношение к	4	3
258	за счет	4	3
259	нет в	2	3
260	в первом	8	3
261	литературе в	2	3
