N	2gram	Berdyaev_M	Vvedenie
1	т е	5	40
2	в том	9	38
3	в этом	34	35
4	и в	61	35
5	том что	7	30
6	может быть	42	30
7	не только	42	26
8	для того	4	23
9	того чтобы	4	22
10	также и	6	20
11	не может	39	19
12	то что	10	19
13	потому что	25	18
14	но также	2	16
15	о том	5	16
16	только в	7	16
17	так как	10	15
18	и не	26	13
19	что в	12	13
20	в самом	15	13
21	в нем	26	13
22	и именно	2	13
23	в их	4	12
24	того что	13	12
25	что такое	2	12
26	точки зрения	6	12
27	в его	10	12
28	то же	4	11
29	по себе	2	11
30	в ее	3	11
31	вопрос о	7	10
32	не в	16	10
33	прежде всего	18	10
34	но в	12	10
35	в той	3	10
36	между тем	2	10
37	и как	3	9
38	все же	2	9
39	но не	8	9
40	в истории	2	9
41	это не	10	8
42	и то	2	7
43	самом деле	2	7
44	сих пор	5	7
45	как и	14	7
46	как бы	10	7
47	смысле слова	7	7
48	но и	34	7
49	в разных	3	7
50	было бы	11	7
51	до сих	5	7
52	сказать что	5	6
53	его в	6	6
54	не могут	6	6
55	хотя бы	8	6
56	иное как	4	6
57	об этом	2	6
58	но если	4	6
59	тем что	7	6
60	как он	4	6
61	на этот	2	6
62	с тем	10	6
63	и это	16	6
64	а в	4	6
65	уже не	8	6
66	в которых	5	6
67	могут быть	2	6
68	в то	2	6
69	один из	9	6
70	и что	4	6
71	и его	13	6
72	все это	6	6
73	вместе с	7	6
74	с их	2	5
75	не что	4	5
76	есть и	6	5
77	в виду	2	5
78	а как	2	5
79	одним из	2	5
80	с этой	4	5
81	что он	16	5
82	так что	3	5
83	что иное	4	5
84	что не	3	5
85	по своему	3	5
86	одно из	3	5
87	от этого	4	5
88	на почве	3	5
89	есть не	9	5
90	не есть	21	5
91	она есть	3	5
92	в них	5	5
93	уже в	6	5
94	что и	6	5
95	а не	36	5
96	но с	2	5
97	хотя и	2	5
98	должен был	4	4
99	истории и	2	4
100	по сравнению	3	4
101	любовь к	10	4
102	о чем	3	4
103	и ее	2	4
104	этот процесс	5	4
105	по отношению	4	4
106	в каждом	4	4
107	должен быть	4	4
108	связана с	9	4
109	наук и	2	4
110	отношению к	4	4
111	в чем	3	4
112	к тому	6	4
113	и для	7	4
114	не имеет	7	4
115	только с	3	4
116	в котором	9	4
117	в более	4	4
118	в центре	4	4
119	даже и	2	4
120	тогда когда	2	4
121	в себе	12	4
122	в своей	18	4
123	сравнению с	2	4
124	той же	3	4
125	никогда не	30	3
126	до конца	16	3
127	в каком	2	3
128	отношений между	2	3
129	в отношении	6	3
130	что это	5	3
131	в своем	17	3
132	и той	2	3
133	с этим	4	3
134	так же	5	3
135	в начале	2	3
136	бы и	8	3
137	для этого	3	3
138	что она	5	3
139	к этому	3	3
140	не как	4	3
141	в значительной	2	3
142	в конце	11	3
143	от того	4	3
144	отношение к	9	3
145	и здесь	6	3
146	если бы	5	3
147	в сущности	2	3
148	и вот	7	3
149	он мог	2	3
150	в этих	6	3
151	как в	9	3
152	духовной жизни	3	3
153	вообще не	2	3
154	к нему	8	3
155	на том	3	3
156	и на	9	3
157	за собой	2	3
158	в ней	23	3
159	входит в	3	3
160	и к	9	3
161	на этом	5	3
162	что же	2	3
163	совсем не	3	3
164	вряд ли	3	3
165	он сам	11	3
166	все эти	3	3
167	и тогда	2	3
168	и есть	21	3
169	как будто	4	3
170	в этой	12	3
171	и других	2	3
172	того как	3	3
173	чем в	3	3
174	литературы и	2	2
175	ничего не	4	2
176	у нас	13	2
177	и потому	17	2
178	его к	2	2
179	во всех	3	2
180	не до	2	2
181	все время	3	2
182	и сама	2	2
183	лежит в	2	2
184	с ней	3	2
185	есть только	2	2
186	должно быть	5	2
187	бы в	3	2
188	не существует	5	2
189	которые не	2	2
190	мысли и	2	2
191	в этот	2	2
192	что нет	2	2
193	конце концов	3	2
194	и те	4	2
195	самой идеи	2	2
196	подобно тому	2	2
197	у них	4	2
198	когда мы	2	2
199	так и	5	2
200	может ли	2	2
201	том смысле	2	2
202	ни к	2	2
203	к своему	2	2
204	одной и	2	2
205	отношении к	4	2
206	проблемы и	2	2
207	лишь как	3	2
208	после того	2	2
209	не бывает	3	2
210	смысле в	2	2
211	прийти к	3	2
212	на протяжении	2	2
213	увидим что	5	2
214	и должно	3	2
215	она была	2	2
216	ни с	4	2
217	есть лишь	23	2
218	тому что	2	2
219	своему значению	3	2
220	мог бы	5	2
221	в своих	4	2
222	себе и	4	2
223	был в	4	2
224	и без	2	2
225	будто бы	3	2
226	в свою	5	2
227	и с	6	2
228	истории в	2	2
229	но это	8	2
230	он и	2	2
231	тому как	2	2
232	себя в	6	2
233	для них	3	2
234	жизни и	6	2
235	не было	25	2
236	в идеале	2	2
237	сам по	2	2
238	мы не	2	2
239	что они	4	2
240	романов достоевского	3	2
241	стоит в	3	2
242	это есть	4	2
243	к какому	2	2
244	все равно	3	2
245	должна быть	7	2
246	не мог	6	2
247	во всем	5	2
248	не к	6	2
249	учение о	3	2
250	быть и	2	2
