N	2gram	Nazirov_Vr	Dialekti
1	т е	3	159
2	и не	5	120
3	и в	8	77
4	точки зрения	2	72
5	может быть	4	71
6	не только	9	66
7	то что	7	59
8	не может	2	53
9	и даже	6	47
10	с точки	2	46
11	как бы	4	43
12	и что	8	42
13	в том	3	40
14	в этом	8	39
15	то же	5	39
16	в себе	2	38
17	том что	3	37
18	что он	4	37
19	это не	4	36
20	что в	7	34
21	в нем	6	34
22	и все	7	33
23	но и	7	32
24	все это	4	31
25	и как	3	30
26	отнюдь не	2	30
27	как и	6	28
28	никогда не	2	27
29	в виду	4	26
30	– это	6	26
31	и то	2	25
32	но это	2	24
33	в то	5	23
34	таким образом	2	23
35	я не	3	22
36	в чем	3	21
37	как раз	2	20
38	о том	4	20
39	уже не	2	20
40	и с	6	20
41	как же	2	19
42	в своем	3	19
43	не менее	2	19
44	и это	2	19
45	и его	3	19
46	же время	5	18
47	в своей	2	16
48	об этом	5	16
49	и о	3	15
50	все же	6	15
51	так же	4	15
52	на то	3	15
53	несмотря на	4	15
54	и ее	2	14
55	с ним	4	14
56	не было	5	14
57	но в	6	13
58	в ней	4	13
59	он не	3	13
60	еще не	2	12
61	но как	2	12
62	а в	2	12
63	тем более	2	12
64	в одну	2	11
65	в них	2	11
66	что я	2	11
67	из них	2	11
68	в его	3	10
69	и уже	3	10
70	в истории	4	9
71	в котором	6	9
72	же как	2	9
73	при этом	4	9
74	и он	2	9
75	в этой	2	8
76	при помощи	2	8
77	что есть	3	8
78	в конце	3	7
79	связи с	3	7
80	его с	2	7
81	на первый	2	7
82	тем что	3	7
83	в связи	3	7
84	личность и	2	7
85	с его	3	7
86	в мире	2	7
87	он сам	2	7
88	отношения к	2	7
89	но он	3	7
90	отношение к	2	6
91	одна из	2	6
92	вместе с	2	6
93	его в	3	6
94	о чем	2	6
95	о нем	6	6
96	для него	2	6
97	уже в	4	6
98	же не	2	5
99	речь идет	3	5
100	и во	3	5
101	что у	3	5
102	их в	2	5
103	в своих	4	5
104	в это	2	5
105	и у	3	5
106	после этого	2	5
107	в него	2	5
108	к этому	3	5
109	в той	2	5
110	его на	2	4
111	мы знаем	2	4
112	об этой	2	4
113	о себе	3	4
114	с нею	2	4
115	к ним	2	4
116	в этот	3	4
117	у него	5	4
118	время и	2	4
119	же в	2	4
120	для нас	4	3
121	а с	2	3
122	чувств и	2	3
123	место в	2	3
124	этот момент	2	3
125	целый ряд	4	3
126	далеко не	3	3
127	в свою	2	3
128	так в	2	3
129	у достоевского	4	3
130	во время	2	3
131	мне и	2	3
132	не мог	2	3
133	между тем	5	3
134	наряду с	3	2
135	и далее	2	2
136	ко мне	2	2
137	в нашей	2	2
138	он был	3	2
139	об их	2	2
140	на это	2	2
141	человека в	3	2
142	достоевского в	7	2
143	в меня	2	2
144	его и	2	2
145	я хотел	3	2
146	раз в	3	2
147	и образы	2	2
148	во многом	4	2
149	с которым	2	2
