N	2gram	Losev_Vesc	SlovoVZh
1	не может	44	16
2	точки зрения	10	14
3	может быть	37	14
4	и его	4	13
5	как бы	19	13
6	и в	44	12
7	таким образом	16	12
8	и не	57	10
9	так как	17	9
10	если бы	8	9
11	прежде всего	17	8
12	для нас	2	7
13	сказать что	21	7
14	слова и	7	6
15	в том	15	6
16	в нем	6	6
17	только в	23	6
18	в ней	14	6
19	никогда не	5	5
20	как в	3	5
21	что мы	17	5
22	в жизни	5	5
23	в виду	2	5
24	можно сказать	8	5
25	но в	8	5
26	том что	13	5
27	то же	12	5
28	как и	15	5
29	и следовательно	20	5
30	должна быть	8	5
31	хотя бы	9	5
32	а не	34	5
33	то что	47	5
34	отнюдь не	8	5
35	в самом	13	4
36	в этом	17	4
37	не только	48	4
38	что не	11	4
39	его в	8	4
40	жизни и	6	4
41	не в	14	4
42	ни было	12	4
43	с другой	8	4
44	все же	18	4
45	дело в	6	4
46	к нему	3	4
47	так и	4	4
48	и на	2	4
49	уже не	15	4
50	свое выражение	3	4
51	от того	7	4
52	отношение к	4	4
53	как к	5	3
54	по себе	22	3
55	в каком	6	3
56	и вообще	6	3
57	о том	11	3
58	и для	13	3
59	слово в	2	3
60	или не	7	3
61	ее и	2	3
62	из общего	2	3
63	да и	5	3
64	не к	3	3
65	из этого	3	3
66	и уже	2	3
67	ни в	11	3
68	все эти	5	3
69	в котором	4	3
70	бы то	12	3
71	то ни	13	3
72	так же	4	3
73	в своей	6	3
74	мы не	8	3
75	конечно не	2	3
76	точка зрения	5	3
77	в себе	23	3
78	нуждается в	2	3
79	еще не	12	3
80	здесь не	2	3
81	все это	7	3
82	только на	3	3
83	когда он	2	3
84	и ее	19	3
85	и с	11	3
86	этой точки	3	3
87	но для	2	3
88	не менее	11	3
89	с ним	8	3
90	отношении к	4	3
91	быть и	5	3
92	самом деле	7	3
93	и пр	10	3
94	того что	16	3
95	тем не	11	3
96	и более	4	3
97	ведь и	6	3
98	но и	19	3
99	для него	8	3
100	ясно что	10	3
101	и дает	2	2
102	в особенности	3	2
103	вещи и	40	2
104	одно и	6	2
105	и то	14	2
106	в его	5	2
107	которые мы	2	2
108	допустим что	3	2
109	данном случае	2	2
110	к его	2	2
111	и здесь	5	2
112	что в	11	2
113	не так	2	2
114	стороны и	2	2
115	в отношении	7	2
116	не есть	79	2
117	и притом	4	2
118	ничего не	12	2
119	с его	2	2
120	как не	2	2
121	что и	11	2
122	это не	9	2
123	и все	6	2
124	кроме того	5	2
125	с точки	6	2
126	от всех	5	2
127	она не	9	2
128	но все	3	2
129	в своем	9	2
130	на все	2	2
131	в данном	6	2
132	с другими	8	2
133	независимо от	5	2
134	мы имеем	8	2
135	и что	22	2
136	в то	11	2
137	себя и	8	2
138	перестает быть	3	2
139	уже в	2	2
140	по природе	2	2
141	смысл и	12	2
142	с этой	6	2
143	одной стороны	3	2
144	и другие	2	2
145	но это	14	2
146	он не	4	2
147	есть уже	4	2
148	выражение и	2	2
149	как же	6	2
150	как только	6	2
151	и потому	8	2
152	общения и	2	2
153	его как	2	2
154	оно не	6	2
155	но не	9	2
156	как это	4	2
157	на это	5	2
158	если же	5	2
159	в себя	13	2
160	мы можем	4	2
161	была бы	3	2
162	ни на	7	2
163	в чем	10	2
164	между собой	2	2
165	нет ничего	2	2
166	быть только	6	2
167	и так	2	2
168	с одной	3	2
169	выражение в	3	2
170	и самое	3	2
171	относится к	6	2
172	к этому	2	2
173	между ними	6	2
174	этих двух	2	2
175	тогда когда	5	2
176	и та	2	2
177	бы даже	2	2
178	но что	9	2
179	другой стороны	3	2
180	вместе с	4	2
181	но зато	2	2
182	на него	3	2
183	и совершенно	2	2
