N	2gram	Bakhtin_sl	Istorich
1	и в	69	181
2	и т	56	160
3	т д	7	142
4	может быть	40	115
5	не только	37	114
6	что он	2	111
7	что в	3	90
8	но и	37	85
9	в этом	21	81
10	так как	7	75
11	то что	2	73
12	таким образом	16	72
13	вместе с	3	71
14	и не	32	67
15	все же	10	65
16	мы видим	2	65
17	в этих	8	64
18	еще не	9	63
19	не может	27	61
20	этих случаях	2	60
21	так же	2	57
22	то же	17	56
23	никогда не	9	56
24	в том	7	53
25	том что	6	53
26	с другой	8	52
27	а в	10	52
28	потому что	2	52
29	что и	2	51
30	и что	2	51
31	и здесь	5	51
32	мы видели	3	49
33	о том	5	48
34	а не	29	48
35	связь с	2	47
36	его в	7	47
37	не в	14	47
38	другой стороны	5	46
39	но в	13	44
40	это не	8	43
41	и его	45	43
42	в нем	44	42
43	только в	9	42
44	как в	18	42
45	или в	10	39
46	в его	19	38
47	для нас	7	38
48	и на	17	38
49	так и	22	37
50	он не	5	37
51	уже не	5	37
52	как и	8	37
53	мы уже	4	37
54	мы увидим	2	36
55	что они	2	35
56	все эти	15	35
57	мы не	4	35
58	но не	7	34
59	а именно	2	34
60	связи с	4	34
61	у него	5	34
62	там где	10	33
63	же как	2	33
64	сих пор	4	32
65	в качестве	4	32
66	так в	2	31
67	ничего не	5	31
68	прежде всего	14	31
69	один из	9	31
70	с этим	5	30
71	до сих	4	30
72	с одной	7	30
73	к нему	7	30
74	но все	2	29
75	как мы	15	29
76	одной стороны	7	29
77	этом случае	4	29
78	но это	3	29
79	например в	6	28
80	и другие	3	28
81	и с	10	28
82	как он	2	27
83	так что	2	27
84	героя в	2	27
85	того что	4	27
86	могут быть	25	27
87	в ней	7	26
88	как это	3	26
89	и др	17	26
90	было бы	3	24
91	в виде	4	24
92	к этому	3	24
93	не менее	4	24
94	того как	2	24
95	все это	14	23
96	тем не	2	23
97	в частности	3	23
98	как бы	16	23
99	при этом	12	22
100	и по	3	22
101	с ним	12	22
102	в некоторых	3	22
103	в одном	4	21
104	сказать что	4	21
105	в другом	4	21
106	к тому	3	21
107	они не	3	21
108	здесь не	6	21
109	связано с	3	21
110	в связи	2	21
111	связан с	2	21
112	она не	8	20
113	одна из	6	20
114	в свете	3	20
115	в других	4	20
116	из них	3	20
117	из этих	3	20
118	и как	3	19
119	в другой	2	19
120	на том	2	19
121	на то	2	19
122	но он	4	19
123	не все	2	18
124	в данном	5	18
125	вовсе не	16	18
126	в то	17	18
127	по существу	3	17
128	и только	2	17
129	и этим	3	17
130	в них	11	17
131	дело не	2	17
132	всех этих	8	16
133	связана с	2	16
134	и она	2	16
135	перед нами	7	16
136	и все	9	16
137	в котором	2	16
138	во всех	25	16
139	данном случае	3	15
140	в целом	3	15
141	на его	9	15
142	в своей	8	15
143	даже в	4	15
144	и то	2	15
145	в особенности	10	15
146	его и	5	15
