N	3gram	Bakhtin_fo	KulturaY
1	и т п	18	93
2	и т д	3	42
3	для того чтобы	11	38
4	с точки зрения	9	36
5	в том что	4	33
6	до сих пор	4	14
7	по отношению к	3	13
8	в связи с	12	12
9	в этом отношении	5	11
10	не может быть	4	11
11	о том что	2	10
12	вместе с тем	3	9
13	не только в	6	8
14	с одной стороны	3	7
15	в то же	10	6
16	той или иной	3	6
17	к тому же	2	6
18	то же время	13	6
19	в отличие от	3	6
20	но все же	3	5
21	в соответствии с	2	5
22	в данном случае	2	5
23	и в этом	2	5
24	тем более что	2	5
25	одного и того	6	4
26	так же как	2	4
27	к вопросу о	2	4
28	и того же	6	4
29	в то время	3	3
30	с тем что	2	3
31	о том как	2	3
32	как раз и	2	3
33	но для того	2	3
34	и прежде всего	4	2
35	мы имеем в	2	2
36	и то же	4	2
37	прежде всего в	3	2
38	но он не	2	2
39	в строгом смысле	2	2
40	в буквальном смысле	2	2
41	друг от друга	2	2
42	а следовательно и	3	2
43	в широком смысле	3	2
44	в большинстве случаев	2	2
45	в другом месте	2	2
46	может быть и	4	2
47	так как он	2	2
48	и тех же	2	2
49	одних и тех	2	2
50	в том числе	7	2
51	может быть только	3	2
52	также и в	3	2
53	и в других	4	2
54	и в особенности	5	2
55	сами по себе	2	2
56	и в то	7	2
57	по природе своей	2	2
58	большую роль в	2	2
59	в той или	2	2
60	в ее целом	2	2
61	по сравнению с	3	2
