N	2gram	Losev_Prob	Problemy
1	и в	62	106
2	и не	56	90
3	как бы	11	70
4	может быть	39	66
5	в его	10	56
6	в этом	25	52
7	в нем	13	51
8	не может	14	49
9	что он	16	44
10	как и	15	44
11	но и	20	40
12	точки зрения	14	40
13	для него	4	39
14	и его	12	39
15	а не	28	38
16	о себе	2	37
17	не только	33	36
18	то же	23	36
19	в пределах	3	35
20	то что	42	33
21	но в	17	33
22	прежде всего	13	32
23	в то	18	29
24	все это	9	29
25	он не	10	29
26	и все	13	28
27	не в	21	27
28	в одном	4	27
29	к нему	3	25
30	с точки	9	25
31	и т	20	25
32	в самом	4	25
33	и с	11	25
34	самом деле	6	24
35	с самим	4	24
36	вовсе не	62	24
37	слова и	3	23
38	и на	4	23
39	таким образом	13	22
40	по себе	36	22
41	как мы	12	21
42	никогда не	7	20
43	все же	10	20
44	потому что	40	20
45	только в	33	20
46	что в	11	19
47	что же	9	19
48	на самом	13	18
49	в себе	23	18
50	о нем	2	18
51	все эти	14	18
52	уже не	12	18
53	еще не	12	18
54	но не	6	18
55	это не	10	17
56	в том	35	17
57	так и	16	17
58	а в	9	17
59	самим собою	2	17
60	и к	9	17
61	с ним	11	17
62	так же	11	16
63	в другом	4	16
64	если бы	9	16
65	в своей	8	16
66	этом смысле	5	16
67	и наконец	2	15
68	и для	5	15
69	в отношении	4	14
70	так как	14	14
71	в своем	7	14
72	в конце	7	14
73	и сам	6	14
74	он и	3	14
75	как раз	11	14
76	а как	2	14
77	его в	4	13
78	перед нами	8	13
79	героя в	2	13
80	и это	11	13
81	в целом	9	13
82	с другими	6	13
83	на него	3	13
84	но все	5	13
85	том что	25	12
86	даже в	2	12
87	ничего не	4	12
88	так что	21	12
89	к тому	4	12
90	что и	11	12
91	при этом	9	12
92	было бы	14	12
93	во всяком	14	12
94	но это	13	12
95	за пределы	6	12
96	и даже	21	12
97	и как	4	12
98	как в	10	12
99	себе и	4	12
100	в котором	3	12
101	и что	9	12
102	конце концов	4	11
103	она не	3	11
104	так чтобы	2	11
105	этого слова	5	11
106	бы и	7	11
107	он сам	7	11
108	бы в	3	11
109	тем что	8	11
110	сознания и	2	11
111	или как	4	11
112	с другой	14	11
113	их в	2	11
114	входит в	3	11
115	мы уже	4	11
116	как будто	11	11
117	для себя	6	10
118	в него	2	10
119	что не	4	10
120	до сих	4	10
121	сих пор	4	10
122	в самой	4	10
123	той же	2	10
124	в слове	4	10
125	и потому	13	9
126	или в	7	9
127	могут быть	2	9
128	в них	6	9
129	раз и	6	9
130	хотя и	9	9
131	да и	9	9
132	другой стороны	11	9
133	хотя бы	6	9
134	что у	3	9
135	ни в	17	9
136	зрения на	2	9
137	всяком случае	8	9
138	в той	8	9
139	мы должны	13	8
140	но как	6	8
141	уже в	5	8
142	никак не	13	8
143	одним из	2	8
144	это и	11	8
145	и о	8	8
146	того что	10	8
147	здесь не	11	8
148	несмотря на	4	8
149	же не	2	8
150	нам кажется	2	8
151	с ними	2	8
152	и до	3	8
153	не на	2	8
154	и от	11	8
155	что это	3	8
156	бы он	2	8
157	все время	2	8
158	и он	3	8
159	с их	2	8
160	он есть	2	8
161	ни было	5	8
162	в результате	8	8
163	о том	14	8
164	и у	2	8
165	из них	4	8
166	же и	7	8
167	не о	2	7
168	вопрос о	2	7
169	были бы	5	7
170	и следовательно	3	7
171	от него	2	7
172	в этих	6	7
173	но эта	4	7
174	в их	2	7
175	в виде	20	7
176	от себя	2	7
177	в виду	20	7
178	в процессе	2	7
179	он в	3	7
180	к самому	3	7
181	только на	6	7
182	что все	2	7
183	то ни	7	7
184	что они	8	7
185	и ее	7	7
186	все равно	6	7
187	бы то	5	7
188	сказать что	24	7
189	кажется что	2	7
190	что она	5	7
191	отличается от	8	7
192	т д	20	7
193	сама по	11	7
194	во всех	4	7
195	на этот	4	7
196	если же	4	7
197	но на	2	7
198	не было	6	7
199	все те	2	6
200	как он	2	6
201	и вы	2	6
202	отличие от	3	6
203	а с	2	6
204	по существу	2	6
205	не менее	24	6
206	в художественном	5	6
207	у тургенева	2	6
208	себя в	4	6
209	и во	5	6
210	во время	3	6
211	и здесь	8	6
212	для этого	9	6
213	как же	3	6
214	и нет	2	6
215	с этим	5	6
216	в начале	3	6
217	можно было	7	6
218	за ним	2	6
219	во всем	2	6
220	зависимости от	3	6
221	кроме того	5	6
222	но ведь	2	6
223	но для	3	6
224	друг друга	5	6
