N	2gram	Losev_Vlad	formyVre
1	и в	56	148
2	в этом	30	73
3	то есть	5	70
4	в нем	7	51
5	прежде всего	5	46
6	и т	3	40
7	и не	33	37
8	в его	18	36
9	и его	12	36
10	вовсе не	8	35
11	но и	26	33
12	то же	10	32
13	не только	35	32
14	но в	19	31
15	жизни и	8	31
16	так и	11	29
17	времени в	2	27
18	может быть	12	27
19	не в	12	26
20	как мы	17	26
21	как и	7	25
22	как бы	5	25
23	мы уже	8	24
24	точки зрения	4	24
25	в то	15	23
26	только в	11	23
27	то что	30	22
28	в том	26	22
29	жизни в	3	21
30	все эти	6	21
31	связи с	7	21
32	во всех	4	21
33	же время	7	21
34	в основном	5	19
35	в своем	10	19
36	и для	4	19
37	и на	7	19
38	у него	28	18
39	и все	8	18
40	по существу	4	18
41	еще не	2	18
42	таким образом	6	18
43	с этим	3	17
44	те же	2	17
45	при этом	5	17
46	так как	11	17
47	в особенности	4	17
48	все же	11	16
49	того же	11	16
50	и во	3	16
51	в связи	9	16
52	не может	12	16
53	никогда не	15	15
54	в них	5	15
55	лишь в	3	15
56	так сказать	2	15
57	в дальнейшем	10	15
58	в одном	2	15
59	с его	15	15
60	вместе с	9	15
61	так же	4	14
62	его жизни	12	14
63	все это	7	14
64	всех этих	3	14
65	и как	7	14
66	в конце	22	14
67	и с	27	14
68	как раз	7	14
69	а не	5	14
70	в их	2	13
71	в частности	4	13
72	а в	20	13
73	здесь в	2	13
74	того чтобы	4	13
75	же в	3	13
76	во время	4	13
77	для того	4	13
78	как в	6	13
79	в котором	10	13
80	в самом	3	13
81	с ним	10	13
82	ничего не	4	12
83	отнюдь не	3	12
84	в истории	4	12
85	не было	12	12
86	время в	4	12
87	и до	4	12
88	конечно не	5	12
89	и наконец	2	12
90	но не	5	12
91	потому что	16	12
92	это время	7	12
93	он не	13	12
94	что в	24	12
95	его в	3	11
96	и у	4	11
97	между ними	2	11
98	в ней	5	11
99	хотя и	9	11
100	ни в	4	11
101	из них	3	11
102	уже в	9	11
103	здесь не	6	10
104	тот же	7	10
105	кроме того	12	10
106	и другие	2	10
107	также и	13	10
108	уже не	6	10
109	к себе	2	9
110	и других	2	9
111	жизнь и	3	9
112	том что	22	9
113	и даже	23	9
114	и это	4	9
115	с другой	3	9
116	для него	16	9
117	но все	3	9
118	их в	3	9
119	отношения к	4	9
120	до конца	8	8
121	это не	3	8
122	для себя	6	8
123	и потому	8	8
124	этого времени	3	8
125	в произведении	2	8
126	к тому	5	8
127	отношение к	7	8
128	в целом	3	8
129	один из	4	8
130	что и	6	8
131	во всяком	8	8
132	здесь мы	4	8
133	и то	13	8
134	а также	12	8
135	время как	3	8
136	в результате	6	8
137	в этот	5	8
138	и по	10	8
139	если бы	2	8
140	в этих	5	8
141	в жизни	4	8
142	и к	10	8
143	для всех	2	7
144	в себе	5	7
145	том же	4	7
146	у них	2	7
147	того что	6	7
148	в той	2	7
149	место в	2	7
150	было бы	7	7
151	к этому	11	7
152	из этих	5	7
153	и он	7	7
154	в которой	8	7
155	т д	3	7
156	этом отношении	2	7
157	не могло	2	7
158	еще более	3	7
159	то время	6	7
160	но он	7	7
161	в отношении	5	6
162	не могут	2	6
163	но эта	2	6
164	с самим	2	6
