N	2gram	Bakhtin_Pr	Narrotol
1	не только	26	62
2	и не	66	50
3	при этом	5	47
4	но и	22	45
5	а не	30	38
6	в частности	2	31
7	может быть	38	30
8	и в	59	30
9	в том	17	29
10	том что	15	28
11	в этом	40	28
12	а в	9	27
13	только в	15	25
14	в данном	3	24
15	как и	21	24
16	не в	10	23
17	то что	21	23
18	то есть	64	22
19	не может	31	20
20	в рассказе	3	18
21	данном случае	3	17
22	в себе	9	17
23	так и	13	17
24	со стороны	6	16
25	в его	44	16
26	но в	7	15
27	можно сказать	3	15
28	и т.п	8	15
29	в жизни	7	14
30	и его	21	14
31	в своем	12	13
32	в своей	17	13
33	то же	15	13
34	у него	9	13
35	о том	5	13
36	уже не	14	13
37	перед нами	8	12
38	все же	9	12
39	прежде всего	17	12
40	как в	10	12
41	на протяжении	3	12
42	как бы	40	12
43	тем самым	3	11
44	по отношению	17	11
45	к себе	2	11
46	и тем	2	11
47	героя в	9	11
48	отличие от	3	11
49	об этом	4	11
50	в нем	38	11
51	в этой	5	11
52	если бы	12	11
53	жизни в	3	11
54	отношению к	17	11
55	в отличие	3	11
56	в мире	10	11
57	никогда не	19	10
58	в то	15	10
59	и т.д	2	10
60	ничего не	8	10
61	как это	2	10
62	один из	4	10
63	точки зрения	36	10
64	того что	4	10
65	не является	2	10
66	и все	4	10
67	но не	13	10
68	жизни и	21	10
69	между тем	5	10
70	с его	14	10
71	во времени	4	9
72	еще не	11	9
73	что он	16	9
74	что в	14	9
75	в рамках	2	9
76	той или	3	9
77	для него	23	9
78	далеко не	3	9
79	потому что	20	9
80	с ним	13	9
81	как раз	9	9
82	или иной	3	8
83	самом деле	9	8
84	не менее	3	8
85	того чтобы	5	8
86	одна из	4	8
87	мы имеем	2	8
88	и он	3	8
89	мира в	6	8
90	этом отношении	7	8
91	у нас	2	8
92	в литературе	7	8
93	и для	5	8
94	в самом	19	8
95	и к	5	8
96	в той	9	8
97	же время	10	8
98	в таком	2	8
99	он не	11	8
100	это не	13	7
101	в конце	9	7
102	в чем	2	7
103	в ней	8	7
104	на себя	3	7
105	в целом	8	7
106	в ее	4	7
107	же в	3	7
108	с другой	3	7
109	в котором	6	7
110	и на	15	7
111	или в	2	7
112	в форме	8	7
113	о нем	16	6
114	в сознании	4	6
115	они не	5	6
116	ответ на	2	6
117	однако в	2	6
118	что и	10	6
119	например в	5	6
120	сказать что	9	6
121	никак не	3	6
122	то и	2	6
123	из этих	2	6
124	здесь не	2	6
125	в результате	6	6
126	на него	4	6
127	героя и	11	6
128	как у	4	6
129	не по	3	6
130	что у	5	6
131	в нашем	3	6
132	слова в	4	6
133	все что	6	6
134	таким образом	22	6
135	двух или	2	6
136	на самом	5	5
137	и у	6	5
138	а именно	4	5
139	точку зрения	9	5
140	и о	5	5
141	к нему	13	5
142	место в	2	5
143	точка зрения	14	5
144	мира и	8	5
145	человеческой жизни	4	5
146	не столько	3	5
147	было бы	10	5
148	мы не	3	5
149	я не	7	5
150	и здесь	5	5
151	себе самому	3	5
152	да и	3	5
153	по поводу	2	5
154	и от	3	5
155	или не	2	5
156	с ними	3	5
157	так сказать	8	5
158	в начале	3	5
159	тем более	2	5
160	бы и	6	5
161	себя в	5	5
162	с ее	5	5
163	и даже	4	5
164	стало быть	2	5
165	только что	3	5
166	подобно тому	5	5
167	для того	3	5
168	вследствие этого	2	5
169	в пределах	13	5
170	в какой	2	5
171	его жизни	2	5
172	за пределами	2	5
173	их в	8	5
174	именно в	8	5
175	человек в	2	5
176	в своих	5	5
177	в русской	3	5
178	о них	2	5
179	но для	2	5
180	если не	2	5
181	из них	8	5
182	тому как	5	5
183	в одном	14	5
184	не было	5	5
185	он сам	9	5
186	и уже	3	5
187	и сам	5	5
188	как будто	4	5
189	начала и	3	5
190	даже в	7	4
191	не о	3	4
192	бытия в	3	4
193	еще раз	3	4
194	и ее	5	4
195	но именно	5	4
196	в произведениях	5	4
197	роль в	2	4
198	в виду	2	4
199	как он	5	4
200	в области	3	4
201	друг друга	10	4
202	в них	5	4
203	тому что	3	4
204	она не	9	4
205	все его	4	4
206	на ее	2	4
207	не все	2	4
208	и по	4	4
209	не на	6	4
210	что они	3	4
211	в первом	3	4
212	который в	2	4
213	как мы	10	4
214	в основе	6	4
