N	2gram	Ircho_Kome	Dialekti
1	т е	18	159
2	и не	28	120
3	и т	5	82
4	а не	5	78
5	и в	37	77
6	точки зрения	8	72
7	может быть	14	71
8	не только	13	66
9	то что	5	59
10	и есть	3	55
11	ничего не	6	54
12	не может	9	53
13	и даже	6	47
14	так как	16	46
15	с точки	6	46
16	потому что	19	45
17	стало быть	2	44
18	как бы	7	43
19	ни в	14	42
20	и что	8	42
21	не имеет	6	41
22	вовсе не	6	41
23	в том	24	40
24	в этом	18	39
25	то же	14	39
26	в себе	4	38
27	что она	10	38
28	том что	22	37
29	что он	15	37
30	прежде всего	7	37
31	это не	3	36
32	так что	7	36
33	что в	11	34
34	в нем	8	34
35	и все	6	33
36	но и	18	32
37	все это	7	31
38	ясно что	12	31
39	и как	3	30
40	отнюдь не	5	30
41	сказать что	4	30
42	так и	4	29
43	было бы	7	29
44	как и	10	28
45	никогда не	5	27
46	в виду	3	26
47	не в	7	26
48	говорить о	6	25
49	если бы	18	24
50	и вот	3	23
51	в то	14	23
52	таким образом	16	23
53	я не	4	22
54	она не	3	21
55	что не	5	21
56	должна быть	2	21
57	в чем	7	21
58	только в	3	20
59	как раз	9	20
60	что и	12	20
61	совершенно не	2	20
62	о том	21	20
63	и с	5	20
64	в таком	2	20
65	как же	2	19
66	в своем	9	19
67	что мы	4	19
68	как это	5	19
69	не менее	9	19
70	и это	4	19
71	в самом	17	19
72	и его	10	19
73	что же	2	18
74	с другой	5	18
75	хотя бы	5	18
76	же время	12	18
77	но если	3	17
78	в основе	3	17
79	в сущности	3	17
80	в своей	6	16
81	мы не	6	16
82	нет ничего	4	16
83	к нему	8	16
84	да и	3	16
85	то это	5	16
86	об этом	12	16
87	тем не	3	16
88	конечно не	4	16
89	и о	3	15
90	не мешает	3	15
91	только что	11	15
92	все же	9	15
93	так же	8	15
94	самом деле	13	15
95	хотя и	6	15
96	и мы	5	15
97	же и	2	15
98	на то	3	15
99	несмотря на	7	15
100	и потому	2	14
101	и ее	3	14
102	с ним	10	14
103	на свете	2	14
104	не было	6	14
