N	2gram	Medvedev_U	StatiiOP
1	и в	14	103
2	в том	2	89
3	том что	2	77
4	в этом	7	76
5	не только	10	60
6	но и	4	46
7	то что	7	44
8	что он	2	42
9	в его	2	42
10	и не	8	41
11	может быть	6	38
12	было бы	3	32
13	в этой	4	31
14	все это	5	29
15	тем что	2	29
16	таким образом	2	28
17	а не	10	27
18	но в	3	26
19	этом отношении	2	24
20	все же	3	23
21	не в	2	23
22	в области	3	22
23	прежде всего	8	22
24	у нас	3	22
25	это не	3	20
26	до сих	2	20
27	в то	3	19
28	сих пор	2	19
29	в своей	3	19
30	только в	2	19
31	не может	7	18
32	с другой	4	18
33	самом деле	2	17
34	в россии	4	17
35	в самом	2	17
36	если бы	2	16
37	как и	3	15
38	для него	3	15
39	другой стороны	3	15
40	как раз	2	15
41	между тем	2	14
42	то же	5	14
43	в конце	2	13
44	но это	2	13
45	хотя бы	5	12
46	и с	2	11
47	должна была	2	11
48	это было	2	11
49	а как	2	10
50	в частности	3	10
51	ничего не	2	10
52	не столько	2	10
53	что и	2	10
54	но не	2	10
55	что такое	4	10
56	же время	3	10
57	вряд ли	3	9
58	и для	2	9
59	что мы	2	9
60	могут быть	2	8
61	в их	4	8
62	к сожалению	3	8
63	что она	2	8
64	одним из	2	8
65	о чем	2	7
66	конце концов	2	7
67	что все	2	7
68	не все	2	7
69	и то	3	7
70	материал для	2	7
71	по себе	2	7
72	этой области	3	7
73	в себе	2	6
74	по существу	2	6
75	по крайней	2	6
76	с его	2	6
77	крайней мере	2	6
78	мы не	2	6
79	этом смысле	2	6
80	в некоторых	2	6
81	не о	3	5
82	на эту	2	5
83	не приходится	2	5
84	в сторону	2	5
85	должна быть	2	5
86	всех этих	2	5
87	не как	3	5
88	если не	2	5
89	конечно не	4	5
90	и только	5	5
91	очевидно что	3	4
92	не могут	2	4
93	и у	2	4
94	смысле этого	2	4
95	этого термина	2	4
96	литературы и	2	4
97	для этого	3	4
98	бы и	2	4
99	все они	2	4
100	материала и	2	4
101	более чем	2	4
102	вопроса о	2	3
103	это уже	2	3
104	даже и	2	3
105	неудивительно что	2	3
106	бы то	3	3
107	при таком	2	3
108	формы в	3	3
109	является в	2	3
110	то ни	3	3
111	в системе	2	3
112	для всех	2	2
113	пишет он	2	2
114	истории литературы	3	2
115	вот почему	7	2
116	только к	3	2
117	фактов и	2	2
118	очевидно не	2	2
119	превращается в	2	2
120	ни было	3	2
121	не случайно	2	2
122	а между	2	2
123	их и	2	2
124	же самое	2	2
125	мы и	2	2
126	художественного творчества	5	2
