N	3gram	Ircho_Kome	Tvorches
1	в то же	11	25
2	то же время	11	24
3	в том что	15	11
4	о том что	7	8
5	и в то	2	7
6	в конечном счете	2	6
7	и т п	4	5
8	по отношению к	4	5
9	в том же	2	5
10	в самом деле	13	5
11	с точки зрения	6	4
12	с самого начала	5	4
13	до сих пор	12	4
14	чуть ли не	2	3
15	с полным правом	2	3
16	и все же	2	3
17	хотя и не	2	3
18	едва ли не	4	3
19	в этой связи	3	3
20	с другой стороны	2	3
21	во всяком случае	3	3
22	в отличие от	3	3
23	что он не	3	2
24	тем не менее	3	2
25	для того чтобы	8	2
26	в связи с	3	2
27	в первую очередь	2	2
28	том числе и	2	2
29	так как он	2	2
30	вместе с тем	5	2
31	в конце концов	3	2
32	в том числе	2	2
33	в высшей степени	2	2
34	и в самом	7	2
35	к тому же	9	2
36	в свою очередь	10	2
37	таким образом и	2	2
