N	2gram	Berdyaev_N	PoTuStor
1	может быть	7	17
2	и в	16	16
3	и пр	3	12
4	в этом	7	9
5	прежде всего	4	9
6	и с	2	8
7	не может	16	8
8	сказать что	3	7
9	не только	5	7
10	с его	6	7
11	и это	2	6
12	конечно не	3	6
13	и к	5	6
14	ни в	6	5
15	все эти	2	5
16	что такое	3	5
17	еще не	3	5
18	и на	2	4
19	все это	5	4
20	но и	3	4
21	и не	11	4
22	и все	4	4
23	но в	2	4
24	с ее	5	4
25	в нем	5	4
26	хотя бы	2	4
27	так и	2	4
28	мысли и	2	4
29	и даже	2	4
30	что в	9	3
31	жизни и	8	3
32	и потому	4	3
33	а в	2	3
34	в том	8	3
35	и есть	10	3
36	с их	2	3
37	как это	2	3
38	то что	4	3
39	во всех	3	3
40	мира и	2	3
41	могут быть	2	3
42	вместе с	2	3
43	этом смысле	2	3
44	том что	2	3
45	в основе	3	3
46	никогда не	6	2
47	по своему	4	2
48	в них	4	2
49	в жизни	5	2
50	к ним	3	2
51	для этого	2	2
52	же как	2	2
53	и для	4	2
54	совсем не	12	2
55	нашего времени	2	2
56	не менее	4	2
57	не существует	3	2
58	и мы	4	2
59	как не	8	2
60	о том	4	2
61	можно назвать	2	2
62	с этим	2	2
63	как и	7	2
64	так же	2	2
65	в своей	3	2
66	мы не	2	2
67	он не	8	2
68	у него	2	2
69	не есть	3	2
70	за пределы	3	2
71	нем нет	2	2
72	нет и	2	2
73	не знает	6	2
74	и т.п	2	2
75	быть может	4	2
76	есть в	2	2
77	не будет	7	2
78	на протяжении	2	2
79	но это	6	2
