N	3gram	Losev_Prob	Mirosoze
1	не может быть	2	28
2	в том что	13	9
3	это и есть	2	9
4	для того чтобы	3	7
5	о том что	14	6
6	вместе с тем	5	6
7	но и в	2	5
8	после того как	3	5
9	и вместе с	3	5
10	до сих пор	3	5
11	по отношению к	2	4
12	в конце концов	7	4
13	на то что	2	4
14	не что иное	3	4
15	то время как	4	4
16	потому что он	2	4
17	не в силах	3	4
18	можно было бы	2	4
19	в то время	4	4
20	что иное как	3	4
21	во всяком случае	6	3
22	том что он	3	3
23	это значит что	2	3
24	и никогда не	2	3
25	также и в	2	3
26	как будто бы	3	3
27	в чем не	2	2
28	бросается в глаза	2	2
29	в этом отношении	4	2
30	не только в	5	2
31	ни в чем	2	2
32	в том смысле	2	2
