N	2gram	Potebnia_M	SlovoVZh
1	не может	30	16
2	точки зрения	8	14
3	может быть	47	14
4	и его	7	13
5	как бы	12	13
6	и в	58	12
7	таким образом	21	12
8	в нашем	2	11
9	отношению к	13	11
10	по отношению	15	11
11	и не	34	10
12	так как	29	9
13	если бы	23	9
14	прежде всего	8	8
15	для нас	29	7
16	сказать что	5	7
17	слова и	7	6
18	при этом	17	6
19	в том	38	6
20	в нем	26	6
21	только в	36	6
22	в ней	9	6
23	никогда не	7	5
24	как в	18	5
25	что мы	11	5
26	в жизни	5	5
27	в виду	2	5
28	но в	12	5
29	том что	21	5
30	то же	13	5
31	как и	16	5
32	и следовательно	4	5
33	должна быть	4	5
34	хотя бы	4	5
35	а не	38	5
36	то что	24	5
37	в самом	5	4
38	в этом	18	4
39	не только	32	4
40	на самом	2	4
41	что не	15	4
42	его в	3	4
43	жизни и	3	4
44	не в	23	4
45	ни было	4	4
46	с другой	13	4
47	все же	11	4
48	дело в	3	4
49	к нему	2	4
50	за пределы	4	4
51	так и	17	4
52	и на	8	4
53	уже не	4	4
54	от того	9	4
55	в них	7	3
56	по себе	24	3
57	в каком	7	3
58	и вообще	5	3
59	о том	6	3
60	и для	8	3
61	слово в	2	3
62	или не	3	3
63	и проч	11	3
64	он должен	2	3
65	из этого	2	3
66	и уже	6	3
67	ни в	2	3
68	все эти	3	3
69	в котором	5	3
70	бы то	2	3
71	то ни	3	3
72	так же	7	3
73	в своей	3	3
74	мы не	17	3
75	в себе	22	3
76	нуждается в	2	3
77	еще не	9	3
78	здесь не	2	3
79	все это	3	3
80	только на	4	3
81	в некоторых	4	3
82	между тем	7	3
83	и с	3	3
84	этой точки	2	3
85	не менее	10	3
86	сих пор	5	3
87	с ним	7	3
88	до сих	5	3
89	и по	8	3
90	в такой	2	3
91	самом деле	2	3
92	того что	15	3
93	тем не	11	3
94	и более	3	3
95	но и	26	3
96	для него	13	3
97	и то	4	2
98	мы в	2	2
99	тем как	3	2
100	в его	7	2
101	которые мы	7	2
102	допустим что	2	2
103	имеет место	4	2
104	что в	34	2
105	к ним	3	2
106	остаются вне	2	2
107	не так	6	2
108	стороны и	3	2
109	в душе	28	2
110	но тем	6	2
111	не есть	13	2
112	и притом	6	2
113	место в	3	2
114	для других	2	2
115	слова так	3	2
116	ничего не	2	2
117	общего с	3	2
118	словом и	2	2
119	с его	3	2
120	как не	4	2
121	что и	16	2
122	это не	10	2
123	и все	6	2
124	там где	8	2
125	слова но	4	2
126	с точки	4	2
127	она не	3	2
128	но все	4	2
129	в своем	3	2
130	на все	5	2
131	дело с	2	2
132	бы не	11	2
133	и вполне	2	2
134	все они	3	2
135	его к	3	2
136	но мы	3	2
137	с другими	3	2
138	независимо от	15	2
139	ко всем	4	2
140	из него	3	2
141	зависит от	6	2
142	и что	13	2
143	в то	6	2
144	себя и	3	2
145	перестает быть	3	2
146	те же	4	2
147	уже в	5	2
148	вместе со	3	2
149	с этой	3	2
150	в этих	10	2
151	одной стороны	6	2
152	влияние на	4	2
153	связь с	2	2
154	но это	7	2
155	он не	4	2
156	в какой	2	2
157	в формах	3	2
158	есть уже	4	2
159	такой же	4	2
160	как на	5	2
161	и потому	7	2
162	может стать	3	2
163	оно не	4	2
164	но не	19	2
165	на это	2	2
166	если же	5	2
167	в себя	2	2
168	мы можем	10	2
169	была бы	3	2
170	что слово	5	2
171	могут быть	17	2
172	они ни	2	2
173	в чем	6	2
174	нет ничего	2	2
175	быть только	7	2
176	со словом	4	2
177	с одной	7	2
178	и самое	3	2
179	относится к	5	2
180	к этому	3	2
181	между ними	2	2
182	тогда когда	15	2
183	и слово	2	2
184	бы даже	2	2
185	но что	2	2
186	другой стороны	7	2
187	вместе с	12	2
188	на него	6	2
189	и совершенно	2	2
