N	2gram	Propp_Isto	VeschiIm
1	т е	34	81
2	и не	12	57
3	не только	30	48
4	то что	12	48
5	не может	19	46
6	и в	41	45
7	и есть	2	40
8	может быть	19	39
9	и т	29	39
10	т д	25	38
11	а не	9	37
12	значит что	3	32
13	это значит	3	30
14	что я	2	26
15	потому что	13	25
16	было бы	4	24
17	не просто	3	24
18	в себе	3	23
19	что она	6	23
20	по себе	2	23
21	только в	10	23
22	сказать что	5	22
23	и что	15	22
24	что такое	2	20
25	как бы	8	20
26	и ее	6	19
27	что это	6	19
28	но и	20	19
29	что же	2	19
30	все же	14	18
31	в этом	19	18
32	и это	9	17
33	прежде всего	6	17
34	так как	21	17
35	что мы	3	17
36	оно есть	2	16
37	того что	7	16
38	таким образом	15	16
39	в том	14	15
40	как и	8	15
41	в ней	4	15
42	уже не	8	15
43	не в	12	14
44	и то	3	14
45	но это	5	14
46	том что	18	13
47	есть и	6	13
48	не будет	6	13
49	и больше	3	13
50	в самом	2	13
51	ничего не	7	12
52	но если	2	12
53	что в	21	12
54	точки зрения	4	12
55	что и	13	12
56	что они	5	12
57	и как	3	12
58	то же	12	12
59	еще не	13	12
60	что иное	2	12
61	и даже	3	12
62	о том	15	12
63	и с	4	12
64	в то	6	11
65	не менее	5	11
66	что не	3	11
67	вовсе не	6	11
68	тем не	4	11
69	и пр	2	11
70	ни в	4	11
71	и только	4	11
72	в чем	5	10
73	ясно что	2	10
74	есть явление	2	9
75	это не	14	9
76	со стороны	3	9
77	так что	6	9
78	в своем	3	9
79	то и	6	9
80	она не	3	9
81	другими словами	3	9
82	у нас	4	9
83	явление и	2	9
84	на то	5	9
85	но не	8	9
86	ни с	2	9
87	но что	2	9
88	и его	11	9
89	с ним	9	9
90	его в	7	8
91	что он	29	8
92	но в	7	8
93	в ее	3	8
94	мы не	10	8
95	все это	9	8
96	должна быть	3	8
97	можно сказать	3	8
98	мы имеем	27	8
99	отличается от	4	8
100	в свете	4	8
101	если бы	3	8
102	с тем	8	8
103	не с	2	8
