N	3gram	Bakhtin_Pr	Psycholo
1	в том что	3	78
2	для того чтобы	2	70
3	в самом деле	3	51
4	и т п	13	37
5	то же самое	2	31
6	с точки зрения	6	29
7	с одной стороны	3	28
8	все то что	3	23
9	не может быть	11	23
10	с другой стороны	4	20
11	на самом деле	3	17
12	в этом отношении	2	14
13	можно было бы	3	13
14	в художественном произведении	4	11
15	в конечном счете	4	11
16	в данном случае	4	9
17	в отличие от	5	9
18	можно сказать что	2	7
19	в какой мере	2	7
20	в этом смысле	3	7
21	тем не менее	3	6
22	того или иного	2	6
23	никогда не может	2	6
24	не только в	2	6
25	в лучшем случае	2	5
26	приходится иметь дело	2	5
27	и во всех	2	5
28	и в частности	2	5
29	в применении к	3	4
30	и не может	2	4
31	имеет дело с	4	4
32	формы и содержания	2	4
33	то или иное	2	4
34	в основе своей	3	4
35	бы то ни	3	3
36	не могут быть	2	3
37	в то же	3	3
38	не может и	2	3
39	по отношению к	19	3
40	то же время	3	3
41	в высшей степени	5	3
42	той или иной	2	2
43	том же самом	2	2
44	так и в	2	2
45	как и для	2	2
46	то ни было	2	2
47	к нему и	2	2
48	но и в	2	2
49	имеет место в	2	2
50	на первый план	2	2
51	не совпадает с	2	2
52	как мы увидим	3	2
53	между тем как	5	2
54	и тем самым	2	2
55	может быть только	3	2
56	мы имеем дело	2	2
57	может и не	2	2
