N	2gram	Berdyaev_O	Hudozhes
1	и в	19	23
2	не только	11	20
3	в том	5	20
4	может быть	11	19
5	и не	13	16
6	но и	13	14
7	а в	5	13
8	в себе	3	13
9	а не	11	13
10	в этом	12	12
11	и его	4	12
12	так и	2	12
13	как бы	3	11
14	в его	7	11
15	но в	2	10
16	не в	11	9
17	в душе	2	9
18	том что	2	9
19	не может	4	9
20	в самом	5	7
21	отношение к	5	7
22	лишь в	7	7
23	в своей	2	7
24	что в	4	7
25	в нем	10	6
26	в ее	2	6
27	с его	4	6
28	могут быть	3	5
29	как к	2	5
30	для того	3	5
31	того чтобы	4	5
32	что он	3	5
33	то что	5	5
34	прежде всего	9	5
35	того что	3	5
36	для него	5	5
37	и то	2	4
38	сказать что	2	4
39	его в	2	4
40	это не	3	4
41	в другом	2	4
42	еще не	3	4
43	в этих	3	4
44	он не	7	4
45	и о	2	4
46	в своем	2	4
47	хотя и	2	4
48	к нему	3	3
49	и для	2	3
50	и ее	3	3
51	как и	6	3
52	потому что	9	3
53	в русской	3	3
54	и к	2	3
55	личности и	2	3
56	и на	2	3
57	в которой	2	3
58	никто не	3	3
59	человека к	2	3
60	но он	7	3
61	никогда не	9	2
62	о том	3	2
63	не могли	2	2
64	одно из	2	2
65	ее в	2	2
66	и потому	2	2
67	в самой	9	2
68	жизни в	2	2
69	все эти	4	2
70	человека и	10	2
71	не все	2	2
72	только и	4	2
73	по себе	2	2
74	с чем	2	2
75	все это	6	2
76	о его	5	2
77	что и	2	2
78	своей жизни	2	2
79	в этой	5	2
80	этом мире	2	2
81	человеческих отношений	4	2
82	с ним	3	2
83	у него	22	2
84	при чтении	2	2
