N	3gram	Bakhtin_fo	EvropaiC
1	в том что	4	16
2	до сих пор	4	15
3	по отношению к	3	11
4	друг с другом	5	9
5	с точки зрения	9	8
6	для того чтобы	11	7
7	друг от друга	2	6
8	по сравнению с	3	5
9	к тому же	2	5
10	может быть и	4	4
11	о том что	2	4
12	не может быть	4	4
13	вместе с тем	3	3
14	так же как	2	3
15	в данном случае	2	3
16	в том же	3	3
17	и того же	6	3
18	одного и того	6	3
19	в связи с	12	3
20	с одной стороны	3	2
21	между этими двумя	3	2
22	но все же	3	2
23	в то время	3	2
24	во всех этих	2	2
25	то же время	13	2
26	как и в	3	2
27	в то же	10	2
28	друг к другу	2	2
29	а следовательно и	3	2
30	друг на друга	4	2
