N	2gram	Trubetskoy	VrazhdaK
1	не только	10	9
2	и что	4	8
3	в этом	15	8
4	и в	26	8
5	что в	9	7
6	но и	9	7
7	и все	2	7
8	то что	7	7
9	но в	7	6
10	в котором	4	6
11	в начале	2	6
12	в нем	4	6
13	и с	10	6
14	все же	6	6
15	и даже	3	6
16	и не	8	5
17	не было	2	5
18	в россии	2	5
19	то же	4	5
20	в то	4	5
21	же время	2	5
22	между тем	2	5
23	уже в	2	4
24	целый ряд	4	4
25	несмотря на	6	4
26	в виду	2	4
27	все это	6	4
28	при этом	3	4
29	о том	6	4
30	как бы	12	4
31	так же	5	4
32	что он	4	4
33	может быть	10	4
34	и у	8	3
35	в том	11	3
36	одним из	2	3
37	далеко не	4	3
38	в своем	3	3
39	том что	7	3
40	в его	5	3
41	в связи	3	3
42	и о	3	3
43	и как	3	3
44	он не	4	3
45	связи с	9	3
46	к этому	3	3
47	на то	2	3
48	в конце	6	3
49	с его	2	3
50	никогда не	5	2
51	в них	2	2
52	уже не	3	2
53	в мире	5	2
54	к ним	3	2
55	начиная с	2	2
56	для него	3	2
57	и это	2	2
58	с точки	6	2
59	а в	4	2
60	а также	2	2
61	в этой	4	2
62	в себе	6	2
63	еще не	2	2
64	точки зрения	13	2
65	же как	3	2
66	таким образом	22	2
67	в русских	2	2
68	во время	4	2
69	в свою	2	2
70	после смерти	10	2
71	в эту	2	2
72	не может	4	2
73	из них	7	2
74	не менее	3	2
75	в среде	2	2
76	в глазах	2	2
77	а с	7	2
78	время он	2	2
79	вместе с	15	2
80	отношение к	5	2
