N	3gram	Tiupa_Disk	Problema
1	о том что	8	39
2	в том что	18	37
3	то же самое	2	30
4	в данном случае	6	28
5	той или иной	6	26
6	по крайней мере	3	26
7	во всяком случае	2	25
8	с точки зрения	3	25
9	с другой стороны	4	25
10	содержит в себе	3	23
11	и то что	2	20
12	то есть в	2	17
13	в то же	7	17
14	в этом случае	3	14
15	как будто бы	2	14
16	сами по себе	2	13
17	того или иного	2	13
18	не может быть	5	12
19	можно сказать что	3	12
20	дело в том	3	11
21	с одной стороны	12	11
22	более или менее	2	10
23	только то что	2	10
24	не только в	2	10
25	что же касается	4	9
26	не говоря уже	2	9
27	только в том	2	8
28	говоря уже о	2	7
29	с самого начала	2	7
30	к тому же	4	7
31	тот или иной	2	7
32	обратить внимание на	2	7
33	и то же	2	6
34	но отнюдь не	2	6
35	так и в	4	6
36	и как бы	5	6
37	в этом отношении	4	6
38	сказать и о	2	5
39	с той или	2	5
40	и прежде всего	2	5
41	в первую очередь	3	5
42	одно и то	2	5
43	в том числе	3	5
44	пока еще не	3	5
45	а с другой	4	4
46	не то чтобы	2	4
47	в себе не	2	4
48	подобно тому как	4	4
49	том числе и	3	4
50	мы имеем дело	3	4
51	в том чтобы	2	4
52	в русской литературе	2	3
53	хотя и в	2	3
54	и в то	2	3
55	как и в	3	3
56	одного и того	4	3
57	то что и	2	3
58	и может быть	3	3
59	в отличие от	12	3
60	одной стороны и	3	3
61	том что в	3	3
62	и того же	4	3
63	тем что он	2	3
64	а не только	2	2
65	по отношению к	13	2
66	в основе своей	4	2
67	а не в	2	2
68	и все же	3	2
69	и не только	2	2
70	и не может	3	2
71	в свою очередь	3	2
72	в частности в	2	2
73	а в том	2	2
