N	2gram	Vygotskiy_	StatiiOP
1	и в	55	103
2	в том	55	89
3	том что	30	77
4	в этом	21	76
5	что в	39	74
6	не только	25	60
7	и т	36	51
8	о том	11	47
9	у пушкина	4	46
10	но и	12	46
11	то что	47	44
12	что он	17	42
13	в его	8	42
14	и не	24	41
15	может быть	35	38
16	т е	3	33
17	было бы	14	32
18	т д	10	32
19	в этой	5	31
20	вовсе не	7	31
21	все это	11	29
22	тем что	7	29
23	таким образом	38	28
24	а в	10	27
25	а не	18	27
26	но в	5	26
27	что это	12	25
28	так и	6	25
29	этом отношении	7	24
30	и его	14	24
31	все же	9	23
32	не в	19	23
33	так что	8	23
34	точки зрения	32	23
35	потому что	27	23
36	того что	15	22
37	в области	12	22
38	прежде всего	5	22
39	для того	12	22
40	у нас	4	22
41	в которой	6	22
42	как в	17	22
43	того чтобы	13	21
44	до сих	8	20
45	т п	24	19
46	в то	8	19
47	сих пор	8	19
48	в своей	6	19
49	только в	18	19
50	об этом	3	18
51	не может	30	18
52	с другой	7	18
53	в котором	5	18
54	он не	8	18
55	самом деле	19	17
56	как на	6	17
57	в самом	18	17
58	как бы	11	17
59	с этим	7	16
60	сказать что	12	16
61	в ней	3	16
62	можно было	4	16
63	если бы	10	16
64	в этих	6	16
65	в отношении	3	15
66	с тем	11	15
67	как и	25	15
68	например в	5	15
69	по поводу	3	15
70	другой стороны	7	15
71	из этих	6	15
72	также и	2	15
73	и на	6	15
74	у него	4	15
75	как раз	4	15
76	была бы	2	14
77	к тому	8	14
78	между тем	6	14
79	то же	17	14
80	я думаю	2	14
81	с точки	12	14
82	и что	28	14
83	в своем	3	13
84	в конце	6	13
85	со стороны	5	13
86	а с	2	13
87	тому что	7	13
88	но это	3	13
89	в качестве	3	13
90	в нем	5	13
91	во всяком	9	13
92	дело в	2	13
93	в языке	3	13
94	из них	4	13
95	всяком случае	7	13
96	в той	2	13
97	жизни и	5	13
98	вместе с	10	13
99	не менее	9	12
100	что они	7	12
101	так как	28	12
102	как например	2	12
103	хотя бы	4	12
104	что у	8	12
105	ни в	9	12
106	в своих	12	12
107	никогда не	13	11
108	вопрос о	3	11
109	и с	5	11
110	у шекспира	2	11
111	должна была	3	11
112	в них	4	11
113	все эти	7	11
114	и по	7	11
115	из его	4	11
116	того как	5	11
117	на то	17	11
118	не было	5	11
119	ясно что	22	11
120	на самом	6	10
121	в каком	3	10
122	так же	29	10
123	ответ на	2	10
124	в виду	6	10
125	а как	2	10
126	в частности	6	10
127	на вопрос	4	10
128	ничего не	4	10
129	речь идет	4	10
130	в целом	8	10
131	что и	27	10
132	отметить что	2	10
133	во всех	4	10
134	на эти	2	10
135	но не	5	10
136	что такое	2	10
137	же время	2	10
138	но он	3	10
139	в каждом	5	9
140	в чем	5	9
141	что же	4	9
142	несмотря на	8	9
143	по этому	3	9
144	там где	5	9
145	можно сказать	2	9
146	в одном	4	9
147	говорит что	10	9
148	не является	5	9
149	с этой	8	9
150	времени и	2	9
151	его жизни	3	9
152	и для	9	9
153	и к	5	9
154	для нас	5	9
155	что мы	9	9
156	говорит о	4	9
157	что эта	4	9
158	и тем	5	9
159	и это	6	9
160	до конца	9	8
161	при помощи	27	8
162	и об	2	8
163	могут быть	15	8
164	евгения онегина	4	8
165	отношение к	3	8
166	в их	4	8
167	той же	9	8
168	в общем	2	8
169	в какой	6	8
170	по мнению	2	8
171	связи с	2	8
172	к этому	5	8
173	мы имеем	7	8
174	это в	4	8
175	что она	11	8
176	в результате	4	8
177	тем не	6	8
178	и даже	11	8
179	совершенно не	7	8
180	такой же	9	8
181	п в	2	8
182	и о	4	8
183	действующих лиц	3	8
184	заключается в	15	8
185	и более	3	8
186	не имеет	3	8
187	еще более	2	8
188	в которых	5	8
189	том как	2	7
190	о чем	2	7
191	вплоть до	3	7
192	уже в	3	7
193	что здесь	2	7
194	конце концов	6	7
195	и очень	2	7
196	что все	10	7
197	гораздо более	2	7
198	и сейчас	4	7
199	того же	3	7
200	точка зрения	6	7
201	что этот	3	7
202	этому поводу	3	7
203	как это	8	7
204	в ее	7	7
205	и то	4	7
206	то в	2	7
207	отличается от	4	7
208	мы находим	2	7
209	материал для	4	7
210	еще не	2	7
211	на этот	2	7
212	что для	5	7
213	по себе	21	7
214	из этого	5	7
215	то время	6	7
216	этой области	4	7
217	на почве	3	7
218	представление о	6	7
219	даже в	2	6
220	идет о	2	6
221	случае в	3	6
222	в себе	6	6
223	в одной	3	6
224	вот что	2	6
225	одном из	2	6
226	должен быть	2	6
227	из которых	5	6
228	говорил что	2	6
229	его не	3	6
230	по существу	6	6
231	к нему	3	6
232	и все	8	6
233	что на	4	6
234	в известном	2	6
235	на его	3	6
236	и во	3	6
237	же как	8	6
238	и вообще	3	6
239	с его	3	6
240	одно из	2	6
241	в стихах	2	6
242	что с	5	6
243	независимо от	3	6
244	мы не	15	6
245	и здесь	3	6
246	в особенности	3	6
247	же и	2	6
248	что я	4	6
249	и сам	3	6
250	время как	6	6
251	в жизни	5	6
252	ни на	3	6
253	этот вопрос	2	6
254	этом смысле	3	6
255	этих двух	4	6
256	только не	4	6
257	тем же	4	6
258	материала для	2	5
259	в очень	2	5
260	его в	3	5
261	но если	2	5
262	для себя	2	5
263	оба эти	2	5
264	и далее	2	5
