N	2gram	Vygotskiy_	Otkroven
1	о человеке	2	29
2	у него	2	22
3	и в	47	19
4	но и	19	13
5	и не	27	13
6	в этом	47	12
7	не только	36	11
8	не в	7	11
9	а не	7	11
10	может быть	20	11
11	и все	5	10
12	в нем	6	10
13	вопрос о	9	10
14	никогда не	7	9
15	в самой	3	9
16	потому что	26	9
17	прежде всего	9	9
18	и он	4	8
19	лишь в	3	7
20	в его	7	7
21	до конца	8	7
22	он не	5	7
23	но он	3	7
24	как и	19	6
25	все это	5	6
26	для него	6	5
27	а в	3	5
28	в том	38	5
29	о его	3	5
30	в самом	15	5
31	то что	40	5
32	в этой	7	5
33	отношение к	8	5
34	его мысли	5	4
35	и его	14	4
36	что в	23	4
37	он сам	2	4
38	только и	5	4
39	того чтобы	26	4
40	все эти	7	4
41	не может	23	4
42	что не	2	4
43	в себе	14	3
44	и от	6	3
45	о том	5	3
46	это не	6	3
47	к нему	5	3
48	не могут	9	3
49	что он	13	3
50	о природе	9	3
51	было бы	12	3
52	для того	24	3
53	еще не	5	3
54	и есть	4	3
55	все что	7	3
56	в этих	2	3
57	в своих	2	3
58	когда он	2	3
59	и ее	3	3
60	только одно	2	3
61	никто не	2	3
62	как бы	13	3
63	могут быть	7	3
64	это было	2	3
65	с ним	5	3
66	мысли и	13	3
67	того что	27	3
68	как к	4	2
69	одно из	6	2
70	и то	10	2
71	сказать что	18	2
72	можно ли	2	2
73	и на	4	2
74	с тем	8	2
75	уже в	3	2
76	что же	3	2
77	и для	5	2
78	совсем не	2	2
79	и там	3	2
80	что все	6	2
81	не имеет	6	2
82	не могли	5	2
83	ничего не	2	2
84	и с	5	2
85	что и	4	2
86	ее в	11	2
87	и бесконечно	2	2
88	и потому	3	2
89	в ее	7	2
90	вместо того	2	2
91	в других	2	2
92	в своем	3	2
93	тем что	14	2
94	но в	9	2
95	том что	28	2
96	к этой	2	2
97	что для	3	2
98	все же	7	2
99	ко всем	6	2
100	о которой	2	2
101	в своей	4	2
102	ведь это	2	2
103	так как	25	2
104	по себе	5	2
105	что у	4	2
106	должен был	2	2
107	что они	11	2
108	так что	8	2
109	должно быть	3	2
110	и о	4	2
111	не есть	4	2
112	к этому	2	2
113	и к	11	2
114	так и	8	2
115	в которой	16	2
116	к ней	2	2
117	хотя и	4	2
118	и из	2	2
119	момент в	3	2
120	всего в	2	2
121	учение о	3	2
122	в другом	3	2
123	что есть	2	2
124	в этот	3	2
125	движение в	3	2
126	одного только	2	2
127	и против	2	2
128	чем в	5	2
129	его в	7	2
