N	2gram	Ircho_Kome	OGranits
1	и в	40	13
2	и его	17	12
3	прежде всего	8	9
4	и не	19	8
5	не может	3	8
6	может быть	16	8
7	в его	8	7
8	и их	3	7
9	точки зрения	7	7
10	не только	12	6
11	как бы	3	6
12	таким образом	13	6
13	только в	6	6
14	то что	8	6
15	все же	7	5
16	хотя бы	2	5
17	мы можем	6	4
18	еще и	2	4
19	но в	6	4
20	то же	7	4
21	в сознании	4	4
22	тех пор	2	4
23	не является	2	4
24	в своей	3	4
25	все это	7	4
26	было бы	8	4
27	в двух	6	4
28	мы не	4	4
29	в каждом	2	4
30	да и	5	3
31	и для	4	3
32	и все	4	3
33	в ее	2	3
34	с этим	5	3
35	отношению к	5	3
36	и уже	2	3
37	как и	12	3
38	не в	8	3
39	в их	6	3
40	говорить о	3	3
41	так как	6	3
42	в себе	3	3
43	что в	12	3
44	по отношению	5	3
45	г в	5	3
46	за пределы	2	3
47	так и	17	3
48	что же	2	3
49	в которой	9	3
50	в одном	10	3
51	здесь мы	3	3
52	но и	14	3
53	в самом	5	2
54	могут быть	3	2
55	в этом	9	2
56	в них	7	2
57	для себя	2	2
58	в руках	4	2
59	уже в	9	2
60	в том	19	2
61	тем что	5	2
62	в отношении	6	2
63	несмотря на	5	2
64	в целом	6	2
65	если бы	4	2
66	с г	2	2
67	от этого	2	2
68	с одной	5	2
69	роль в	2	2
70	ее в	2	2
71	в действительности	4	2
72	с другой	7	2
73	а в	9	2
74	и тем	2	2
75	том что	19	2
76	а также	5	2
77	в г	28	2
78	и к	2	2
79	в связи	3	2
80	в общем	2	2
81	не менее	6	2
82	и следовательно	2	2
83	с ними	2	2
84	в области	3	2
85	связанные с	2	2
86	так же	4	2
87	что они	4	2
88	нуждается в	2	2
89	для исследования	2	2
90	с этой	3	2
91	в своих	2	2
92	в полном	2	2
93	в нем	8	2
94	в тех	5	2
95	при этом	5	2
96	и ее	5	2
97	в ней	2	2
98	вслед за	4	2
99	на две	3	2
100	еще в	9	2
101	в течение	5	2
102	как в	8	2
103	другой стороны	6	2
104	мог бы	3	2
105	чем же	2	2
106	одной стороны	5	2
107	бы в	3	2
108	между тем	9	2
109	в чем	3	2
110	связанных с	2	2
111	соответствии с	2	2
112	тот же	5	2
113	в другом	5	2
114	самого начала	2	2
115	вовсе не	3	2
116	к сожалению	2	2
117	с самого	3	2
118	к тому	15	2
119	не мог	4	2
120	наконец в	3	2
