N	2gram	Tiupa_Narr	Analitik
1	не только	50	71
2	тогда как	23	67
3	и в	22	66
4	в качестве	27	61
5	но и	39	57
6	в том	20	52
7	может быть	24	52
8	в частности	23	51
9	в этом	23	51
10	как и	15	50
11	и не	34	48
12	в тексте	17	42
13	а не	27	42
14	том что	15	40
15	при этом	31	40
16	так и	12	35
17	то есть	15	35
18	в мире	8	31
19	своего рода	17	30
20	состоит в	19	30
21	коммуникативного события	9	30
22	представляет собой	21	30
23	не может	16	29
24	как бы	11	29
25	отнюдь не	6	29
26	а в	19	28
27	в его	12	27
28	и его	12	27
29	не в	12	26
30	но не	7	26
31	текста в	4	26
32	всего лишь	8	24
33	в себе	14	24
34	не случайно	2	24
35	художественного целого	2	24
36	иначе говоря	14	23
37	к тому	13	22
38	и даже	4	22
39	в этой	8	22
40	что в	6	22
41	лишь в	3	21
42	и т.п	11	20
43	о том	5	20
44	я в	7	20
45	по отношению	5	19
46	но в	10	19
47	в своей	8	19
48	то же	12	19
49	в самом	8	19
50	с его	6	19
51	в то	9	18
52	в данном	17	18
53	отношению к	5	18
54	тем самым	9	17
55	или иной	6	17
56	с другой	6	17
57	со стороны	14	17
58	такого рода	17	17
59	в целом	5	17
60	только в	23	17
61	то что	14	16
62	в пределах	2	16
63	что и	3	16
64	прежде всего	7	15
65	в сущности	2	15
66	в рамках	6	15
67	уже не	11	15
68	и на	5	15
69	между тем	5	15
70	данном случае	12	14
71	в принципе	6	14
72	отличие от	6	14
73	не менее	6	14
74	того же	2	14
75	той или	7	14
76	мы имеем	6	14
77	себя в	4	14
78	в отличие	6	14
79	далеко не	6	14
80	столь же	6	14
81	же время	7	14
82	в себя	3	14
83	по себе	4	13
84	ничего не	8	13
85	точки зрения	8	13
86	в начале	4	13
87	как раз	9	13
88	для него	8	13
89	а также	11	13
90	как правило	8	13
91	внутреннего зрения	2	13
92	в случае	4	13
93	он не	8	13
94	тому же	9	13
95	никогда не	8	12
96	и к	7	12
97	как это	7	12
98	в первой	3	12
99	еще не	6	12
100	в эпизоде	4	12
101	как в	9	12
102	внутренней речи	3	12
103	в конечном	6	12
104	сводится к	10	12
105	и сам	4	12
106	в свою	4	11
107	это не	6	11
108	во второй	2	11
109	по своей	3	11
110	конечном счете	4	11
111	и как	4	11
112	можно сказать	11	11
113	той же	2	11
114	в той	4	11
115	имеем дело	4	11
116	не следует	3	11
117	в конце	4	10
118	едва ли	5	10
119	все же	10	10
120	текста и	3	10
121	в произведении	2	10
122	на себя	5	10
123	однако в	4	10
124	один из	8	10
125	было бы	2	10
126	и самого	3	10
127	того или	3	10
128	особенно в	3	10
129	подобно тому	4	10
130	с одной	5	10
131	именно в	5	10
132	со своей	3	10
133	здесь не	4	10
134	в своем	7	9
135	того что	7	9
136	не столько	2	9
137	одной стороны	5	9
