N	3gram	Ircho_Kome	KulturaY
1	и т п	4	93
2	для того чтобы	8	38
3	с точки зрения	6	36
4	в том что	15	33
5	в самом деле	13	29
6	во всяком случае	3	19
7	тем не менее	3	19
8	то обстоятельство что	3	19
9	с другой стороны	2	17
10	до сих пор	12	14
11	по отношению к	4	13
12	в связи с	3	12
13	в этом отношении	2	11
14	и в самом	7	11
15	о том что	7	10
16	вместе с тем	5	9
17	в этом случае	2	8
18	чуть ли не	2	7
19	после того как	3	7
20	с одной стороны	4	7
21	до тех пор	5	7
22	в свою очередь	10	7
23	в то же	11	6
24	к тому же	9	6
25	в первую очередь	2	6
26	то же время	11	6
27	не говоря уже	2	6
28	в отличие от	3	6
29	речь идет о	3	5
30	но все же	3	5
31	т е в	2	5
32	более или менее	2	5
33	говоря уже о	2	5
34	на мой взгляд	2	5
35	в конечном счете	2	4
36	состоит в том	2	4
37	так или иначе	3	4
38	на себя внимание	3	3
39	в то время	3	3
40	о том как	5	3
41	в конце концов	3	3
42	в какой мере	2	3
43	что и в	2	3
44	только для того	2	3
45	что он не	3	2
46	бы то ни	3	2
47	мы имеем в	2	2
48	потому что в	2	2
49	и с этой	2	2
50	и тот же	3	2
51	хотя и не	2	2
52	так как он	2	2
53	в том числе	2	2
54	один и тот	3	2
55	едва ли не	4	2
56	в тех же	2	2
57	в каждом из	2	2
58	обращает на себя	3	2
59	и в то	2	2
60	по сравнению с	3	2
