N	3gram	Tiupa_Hudo	Mirosoze
1	не может быть	5	28
2	в том что	15	9
3	для того чтобы	2	7
4	о том что	14	6
5	и в этом	3	6
6	до сих пор	3	5
7	по отношению к	15	4
8	что он не	3	4
9	на то что	2	4
10	и в самом	4	4
11	можно было бы	5	4
12	в значительной степени	3	3
13	как и в	5	3
14	же как и	2	3
15	к тому что	8	3
16	так же как	2	3
17	как будто бы	3	3
18	и быть может	3	3
19	что она не	2	2
20	в этих словах	2	2
21	как бы в	2	2
22	по своей природе	2	2
23	на то чтобы	2	2
24	подобно тому как	4	2
25	в этом отношении	4	2
26	не только в	4	2
27	так и не	3	2
28	том что в	4	2
29	человека а не	2	2
30	и тот и	2	2
31	друг для друга	3	2
