N	2gram	Bakhtin_sl	PoTuStor
1	может быть	40	17
2	и в	69	16
3	и проч	4	9
4	в этом	21	9
5	и только	2	9
6	таким образом	16	9
7	прежде всего	14	9
8	и с	10	8
9	точки зрения	24	8
10	совершенно не	2	8
11	не может	27	8
12	и его	45	8
13	сказать что	4	7
14	не только	37	7
15	с его	8	7
16	с точки	11	6
17	конечно не	7	6
18	и к	9	6
19	для него	8	6
20	при этом	12	6
21	ни в	4	5
22	все эти	15	5
23	как бы	16	5
24	нуждается в	3	5
25	еще не	9	5
26	в чем	2	5
27	в него	9	5
28	сознание и	4	5
29	отношение к	8	5
30	как мы	15	4
31	и на	17	4
32	все это	14	4
33	на самом	2	4
34	его в	7	4
35	в его	19	4
36	и ее	3	4
37	но и	37	4
38	и не	32	4
39	и все	9	4
40	но в	13	4
41	но мы	2	4
42	с ее	6	4
43	и наконец	9	4
44	так как	7	4
45	и их	6	4
46	и может	4	4
47	только в	9	4
48	в нем	44	4
49	хотя бы	6	4
50	с ними	8	4
51	можно сказать	2	4
52	так и	22	4
53	в один	2	4
54	для всех	2	4
55	и даже	11	4
56	и она	2	3
57	что в	3	3
58	жизни и	5	3
59	и оно	2	3
60	и как	3	3
61	и потому	9	3
62	а в	10	3
63	в том	7	3
64	с другими	8	3
65	между ними	2	3
66	те же	3	3
67	для сознания	2	3
68	до сих	4	3
69	в основном	7	3
70	только на	3	3
71	и есть	2	3
72	но оно	5	3
73	большинстве случаев	11	3
74	в большинстве	16	3
75	в этих	8	3
76	отношения к	3	3
77	как это	3	3
78	то что	2	3
79	только как	2	3
80	во всех	25	3
81	мира и	4	3
82	могут быть	25	3
83	сих пор	4	3
84	на язык	2	3
85	всяком случае	7	3
86	вместе с	3	3
87	в одном	4	3
88	и др	17	3
89	на этом	4	3
90	во всяком	9	3
91	том что	6	3
92	в основе	8	3
93	один из	9	2
94	никогда не	9	2
95	для нас	7	2
96	может иметь	3	2
97	по своему	2	2
98	мы видим	2	2
99	на них	2	2
100	в них	11	2
101	к ним	2	2
102	в одно	2	2
103	для этого	4	2
104	и вообще	2	2
105	же как	2	2
106	и для	7	2
107	все то	2	2
108	оно и	4	2
109	и по	3	2
110	вообще не	4	2
111	а на	3	2
112	что и	2	2
113	не менее	4	2
114	было бы	3	2
115	не могут	7	2
116	и других	5	2
117	о том	5	2
118	то же	17	2
119	они не	3	2
120	с этим	5	2
121	как и	8	2
122	что он	2	2
123	так же	2	2
124	говорить о	2	2
125	того же	7	2
126	в своей	8	2
127	мы не	4	2
128	себя и	2	2
129	ни было	2	2
130	из этих	3	2
131	но как	2	2
132	в самом	6	2
133	с этой	3	2
134	в свое	3	2
135	не на	6	2
136	в частности	3	2
137	войти в	2	2
138	и вся	2	2
139	связанные с	7	2
140	он не	5	2
141	у него	5	2
142	ту же	5	2
143	если мы	2	2
144	со всеми	3	2
145	как с	2	2
146	и о	3	2
147	оно не	12	2
148	не есть	2	2
149	всех его	9	2
150	за пределы	6	2
151	к этому	3	2
152	только и	3	2
153	поэтому и	7	2
154	с помощью	5	2
155	связанных с	4	2
156	не знает	3	2
157	в пределах	27	2
158	что оно	4	2
159	момент в	2	2
160	и этим	3	2
161	мы уже	4	2
162	с ним	12	2
163	на протяжении	3	2
164	между собой	3	2
165	но это	3	2
