N	2gram	Trubetskoy	VerxiiNi
1	и в	24	26
2	таким образом	34	22
3	с тем	4	18
4	в этом	13	15
5	вместе с	7	15
6	точки зрения	14	13
7	как бы	10	12
8	в том	31	11
9	не только	10	10
10	из этих	8	10
11	и с	5	10
12	может быть	17	10
13	что в	9	9
14	так как	7	9
15	в области	4	9
16	связи с	4	9
17	но и	11	9
18	но не	3	8
19	с другой	6	8
20	в общем	6	8
21	и у	4	8
22	и не	9	8
23	как на	6	8
24	но все	5	7
25	к нему	2	7
26	потому что	9	7
27	одной стороны	2	7
28	из них	5	7
29	то что	18	7
30	с одной	3	7
31	но в	5	7
32	том что	20	7
33	а с	4	7
34	представление о	3	6
35	все же	15	6
36	к тому	8	6
37	о том	7	6
38	мы должны	4	6
39	того же	9	6
40	в себе	5	6
41	в конце	4	6
42	несмотря на	6	6
43	всяком случае	2	6
44	что и	7	6
45	с точки	8	6
46	и т.д	4	6
47	все эти	19	6
48	все это	13	6
49	и потому	3	6
50	так и	10	6
51	во всяком	2	6
52	никогда не	4	5
53	в мире	6	5
54	и для	6	5
55	не имеет	2	5
56	более или	8	5
57	так же	8	5
58	и к	5	5
59	в силу	7	5
60	друг с	9	5
61	отношение к	4	5
62	того чтобы	8	5
63	лишь в	5	5
64	в его	5	5
65	тем чтобы	2	5
66	для того	8	5
67	с другом	9	5
68	тому же	6	5
69	образом в	3	5
70	сих пор	15	5
71	до сих	15	5
72	или менее	8	5
73	и от	5	4
74	что все	5	4
75	далеко не	5	4
76	очень мало	2	4
77	а в	3	4
78	в котором	2	4
79	в самом	8	4
80	в нем	3	4
81	не может	18	4
82	культурных ценностей	20	4
83	к своим	2	4
84	в которых	2	4
85	что оно	3	4
86	то есть	2	4
87	из которых	4	4
88	целый ряд	4	4
89	в виде	4	4
90	то же	4	4
91	и что	9	4
92	и по	3	4
93	в этих	3	4
94	только в	6	4
95	что он	7	4
96	и только	2	4
97	он не	4	4
98	ничем не	5	4
99	в течение	4	4
100	в этой	7	4
101	в то	6	4
102	что это	5	3
103	культура в	2	3
104	на нее	2	3
105	в своем	12	3
106	из всех	5	3
107	европейской культуры	8	3
108	так или	5	3
109	но с	2	3
110	оказывается что	5	3
111	не вполне	3	3
112	к ним	2	3
113	или иначе	5	3
114	и если	6	3
115	течением времени	4	3
116	хотя бы	4	3
117	к этому	5	3
118	в результате	9	3
119	в которой	5	3
120	тем не	4	3
121	что эти	2	3
122	если бы	8	3
123	и те	2	3
124	же как	3	3
125	при этом	9	3
126	с течением	4	3
127	конце концов	4	3
128	не менее	7	3
129	то с	2	3
130	у них	6	3
131	и при	6	3
132	с этой	3	3
133	в связи	3	3
134	в таком	4	3
135	так что	6	3
136	ясно что	8	3
137	но по	3	3
138	отношению к	11	3
139	того что	7	3
140	для него	2	3
141	культуры и	11	3
142	по своему	5	2
143	мы видели	2	2
144	одно из	3	2
145	от них	2	2
146	но вместе	2	2
147	для этого	7	2
148	эти черты	2	2
149	о котором	7	2
150	смотреть на	2	2
151	в эту	2	2
152	из этого	7	2
153	по сравнению	5	2
154	общего с	2	2
155	и это	3	2
156	не могут	4	2
157	и проч	4	2
158	на то	9	2
159	в самой	2	2
160	творить в	2	2
161	и сейчас	4	2
162	тех пор	2	2
163	ни один	4	2
164	ко всему	2	2
165	в процессе	2	2
166	мы можем	6	2
167	из этой	2	2
168	между этими	2	2
169	в начале	3	2
170	эта культура	4	2
171	между тем	12	2
172	не потому	2	2
173	одним из	4	2
174	только что	3	2
175	в свою	2	2
176	основано на	5	2
177	при таком	2	2
178	из себя	10	2
179	большею частью	5	2
180	именно в	5	2
181	конечно не	3	2
182	отличается от	6	2
183	значительная часть	4	2
184	тогда когда	3	2
185	поэтому что	4	2
186	но если	2	2
187	первое время	5	2
188	те же	2	2
189	что мы	4	2
190	в них	2	2
191	только не	2	2
192	и особенно	2	2
193	очень много	3	2
194	и на	6	2
195	еще не	6	2
196	к другу	2	2
197	по своей	7	2
198	все что	10	2
199	так чтобы	2	2
200	этого последнего	2	2
201	время после	2	2
202	жизни и	2	2
203	не было	2	2
204	можно назвать	3	2
205	различия между	3	2
206	не в	9	2
207	из него	2	2
208	и наконец	3	2
209	то ни	4	2
210	ничего общего	3	2
211	ни было	3	2
212	в одно	2	2
213	на все	5	2
214	и все	9	2
215	на друга	2	2
216	же время	2	2
217	в виду	2	2
218	гораздо менее	2	2
219	заключает в	2	2
220	сравнению с	5	2
221	друг на	2	2
222	совершенно иной	2	2
223	том виде	2	2
224	к культуре	14	2
225	в пользу	5	2
226	прежде всего	3	2
227	признать что	4	2
228	бы то	3	2
229	исторического развития	2	2
230	и из	2	2
231	в среде	2	2
232	тот же	3	2
233	в глазах	2	2
234	этими двумя	2	2
235	во всех	10	2
236	всех других	2	2
237	в разных	3	2
238	то ясно	4	2
239	быть и	5	2
240	по существу	7	2
