N	2gram	Bakhtin_Fr	Problemy
1	и в	73	106
2	и не	13	90
3	как бы	15	70
4	может быть	5	66
5	в его	18	56
6	в этом	21	52
7	в нем	18	51
8	не может	4	49
9	что он	8	44
10	как и	19	44
11	но и	15	40
12	точки зрения	6	40
13	для него	7	39
14	и его	18	39
15	а не	2	38
16	не только	11	36
17	то же	16	36
18	то что	12	33
19	но в	12	33
20	прежде всего	18	32
21	в то	14	29
22	все это	19	29
23	он не	4	29
24	и все	19	28
25	не в	12	27
26	в одном	5	27
27	к себе	3	26
28	же время	12	26
29	к нему	7	25
30	в сущности	8	25
31	с точки	4	25
32	в самом	9	25
33	и с	17	25
34	самом деле	4	24
35	не как	2	24
36	вовсе не	11	24
37	рядом с	9	23
38	слова и	2	23
39	и на	12	23
40	таким образом	34	22
41	по себе	2	22
42	как мы	19	21
43	никогда не	6	20
44	все же	2	20
45	потому что	9	20
46	только в	7	20
47	что в	14	19
48	с его	5	19
49	отношению к	3	19
50	на самом	2	18
51	в себе	16	18
52	по отношению	3	18
53	о нем	3	18
54	все эти	24	18
55	уже не	2	18
56	еще не	3	18
57	это не	7	17
58	в том	13	17
59	так и	13	17
60	себе самом	2	17
61	а в	10	17
62	и к	6	17
63	с ним	6	17
64	так же	11	16
65	в другом	4	16
66	в своей	4	16
67	до конца	5	15
68	и наконец	6	15
69	и для	8	15
70	у него	13	15
71	в отношении	6	14
72	так как	9	14
73	в своем	13	14
74	в конце	9	14
75	я не	3	14
76	лишь в	2	14
77	и сам	2	14
78	он и	2	14
79	как раз	3	14
80	его в	3	13
81	перед нами	5	13
82	героя в	2	13
83	в романе	10	13
84	и это	6	13
85	большинстве случаев	9	13
86	в мире	3	13
87	на него	2	13
88	но все	5	13
89	в большинстве	9	13
90	точка зрения	2	13
91	том что	8	12
92	в одной	5	12
93	даже в	4	12
94	в плане	7	12
95	ничего не	4	12
96	так что	2	12
97	к тому	2	12
98	между тем	2	12
99	не знает	4	12
100	что и	6	12
101	при этом	5	12
102	было бы	5	12
103	во всяком	2	12
104	так сказать	5	12
105	но это	3	12
106	и даже	4	12
107	и как	5	12
108	как в	9	12
109	себе и	2	12
110	в котором	4	12
