N	2gram	Bakhtin_Fr	Poddanst
1	не только	21	17
2	и в	68	14
3	и не	25	12
4	в области	5	11
5	в этом	28	10
6	в отношении	3	10
7	но в	20	9
8	то же	14	9
9	в том	12	9
10	в качестве	2	9
11	хотя бы	2	8
12	в то	14	7
13	только в	9	7
14	же время	13	7
15	быть может	2	6
16	но и	17	6
17	было бы	4	6
18	в ней	6	6
19	xix века	5	6
20	с другой	8	5
21	не в	2	5
22	и о	5	5
23	может быть	10	5
24	что в	14	4
25	если бы	3	4
26	и потому	6	4
27	тех кто	2	4
28	в своем	11	4
29	том что	6	4
30	а также	6	4
31	в котором	3	4
32	и к	4	4
33	как бы	7	4
34	и если	2	4
35	то что	11	4
36	не может	5	4
37	а в	3	4
38	же в	2	4
39	и как	5	3
40	но не	4	3
41	это не	5	3
42	с точки	4	3
43	мы не	3	3
44	для того	5	3
45	в себе	5	3
46	точки зрения	8	3
47	потому что	3	3
48	одной стороны	4	3
49	в нем	12	3
50	между тем	3	3
51	прежде всего	23	3
52	хотя и	2	3
53	тот же	4	3
54	с одной	5	3
55	с ними	4	3
56	переход от	2	2
57	да и	2	2
58	что из	2	2
59	г и	2	2
60	в них	19	2
61	в мире	6	2
62	было в	2	2
63	одна из	3	2
64	отношения к	2	2
65	не к	2	2
66	никак не	3	2
67	в эту	7	2
68	стороны и	2	2
69	и мы	2	2
70	и это	5	2
71	и других	7	2
72	в его	21	2
73	с этим	2	2
74	по сравнению	2	2
75	и вот	4	2
76	в xix	3	2
77	в общем	2	2
78	не менее	2	2
79	со стороны	2	2
80	культуры в	3	2
81	именно в	5	2
82	в начале	5	2
83	в виде	2	2
84	еще более	5	2
85	все это	6	2
86	в частности	4	2
87	том числе	4	2
88	как на	3	2
89	начала и	8	2
90	а не	6	2
91	во всей	3	2
92	не было	7	2
93	и есть	5	2
94	например в	2	2
95	из важнейших	2	2
96	и с	15	2
97	во всех	8	2
98	в ее	5	2
99	xix веке	3	2
100	как раз	8	2
101	в значительной	3	2
102	того что	3	2
103	думать что	2	2
104	главным образом	3	2
105	так называемые	2	2
106	из них	8	2
107	и мучеников	2	2
