N	2gram	Tiupa_Hudo	Problemy
1	и в	34	106
2	и не	15	90
3	как бы	11	70
4	может быть	12	66
5	т е	6	59
6	в его	17	56
7	в этом	22	52
8	в нем	5	51
9	не может	10	49
10	что он	14	44
11	как и	16	44
12	но и	13	40
13	точки зрения	7	40
14	для него	15	39
15	и его	8	39
16	а не	23	38
17	о себе	3	37
18	не только	22	36
19	то же	14	36
20	в пределах	4	35
21	то что	13	33
22	но в	6	33
23	прежде всего	12	32
24	в то	12	29
25	все это	2	29
26	он не	8	29
27	и все	10	28
28	не в	16	27
29	в одном	3	27
30	к другому	5	27
31	к себе	8	26
32	же время	11	26
33	к нему	2	25
34	в сущности	2	25
35	с точки	5	25
36	и т	15	25
37	в самом	7	25
38	и с	10	25
39	себе самому	4	25
40	самом деле	6	24
41	не как	3	24
42	с самим	2	24
43	героя и	5	24
44	вовсе не	2	24
45	рядом с	5	23
46	и на	6	23
47	что я	4	22
48	по себе	3	22
49	как мы	5	21
50	там где	2	21
51	никогда не	8	20
52	все же	5	20
53	потому что	7	20
54	только в	8	20
55	что в	8	19
56	с его	9	19
57	отношению к	15	19
58	слова в	2	19
59	что же	4	19
60	на самом	2	18
61	в себе	19	18
62	по отношению	15	18
63	т п	10	18
64	о нем	4	18
65	все эти	4	18
66	уже не	12	18
67	еще не	10	18
68	но не	7	18
69	это не	12	17
70	в том	24	17
71	так и	19	17
72	а в	11	17
73	самим собою	2	17
74	и к	6	17
75	с ним	6	17
76	так же	3	16
77	в другом	3	16
78	если бы	7	16
79	в своей	15	16
80	до конца	3	15
81	и для	5	15
82	у него	13	15
83	так как	2	14
84	другого человека	2	14
85	в своем	9	14
86	в конце	5	14
87	я не	8	14
88	лишь в	5	14
89	и сам	3	14
90	с другим	2	14
91	он и	2	14
92	как раз	7	14
93	а как	2	14
94	его в	5	13
95	перед нами	13	13
96	героя в	2	13
97	и это	7	13
98	в целом	2	13
99	себя и	4	13
100	с другими	2	13
101	в мире	10	13
102	на него	3	13
103	но все	2	13
104	том что	31	12
105	в одной	3	12
106	даже в	4	12
107	ничего не	11	12
108	так что	3	12
109	к тому	11	12
110	между тем	14	12
111	не знает	2	12
112	что и	3	12
113	при этом	21	12
114	было бы	8	12
115	так сказать	3	12
116	но это	2	12
117	и даже	4	12
118	как в	11	12
119	себе и	3	12
120	в котором	5	12
121	к чужому	4	12
122	и что	3	12
123	в форме	2	11
124	она не	6	11
125	бы и	2	11
126	он сам	3	11
127	рассказа в	9	11
128	должно быть	2	11
129	бы в	2	11
130	тем что	6	11
131	с другой	4	11
132	их в	2	11
133	мы уже	7	11
134	как будто	7	11
135	отношение к	3	10
136	для себя	9	10
137	в него	2	10
138	что не	4	10
139	слово не	2	10
140	я сам	2	10
141	до сих	3	10
142	сих пор	3	10
143	в самой	2	10
144	в творчестве	4	10
145	приводит к	5	10
146	той же	3	10
147	и потому	3	9
148	или в	3	9
149	в них	3	9
150	раз и	2	9
151	хотя и	3	9
152	да и	5	9
153	хотя бы	2	9
154	человека в	10	9
155	что у	4	9
156	ни в	5	9
157	зрения на	2	9
158	но он	3	9
159	но как	3	8
160	уже в	2	8
161	наконец в	2	8
162	никак не	3	8
163	как к	4	8
164	в произведениях	2	8
165	это и	2	8
166	и о	8	8
167	того что	5	8
168	здесь не	2	8
169	несмотря на	7	8
170	же не	3	8
171	с ними	3	8
172	и от	6	8
173	что это	2	8
174	все время	2	8
175	и он	6	8
176	в человеке	5	8
177	в результате	2	8
178	о том	21	8
179	и у	3	8
180	и так	3	8
181	из них	5	8
182	же и	3	8
183	не о	3	7
184	вопрос о	2	7
185	от него	3	7
186	в этих	7	7
187	в их	2	7
188	в виде	2	7
189	к своему	2	7
190	от себя	3	7
191	его и	2	7
192	тем как	2	7
193	он в	2	7
194	все его	3	7
195	только на	6	7
196	на свой	3	7
197	между ними	2	7
198	что все	3	7
199	то ни	2	7
200	что они	4	7
201	и ее	3	7
202	все равно	2	7
203	например в	3	7
204	сказать что	3	7
205	в жизни	9	7
206	что она	10	7
207	мысли и	2	7
208	т д	5	7
209	такой же	3	7
210	во всех	2	7
211	автора и	4	7
212	не было	8	7
213	как его	3	7
214	в себя	3	7
215	он все	2	6
216	идет о	3	6
217	героя не	4	6
218	как он	4	6
219	на вопрос	2	6
220	а с	5	6
221	не менее	9	6
222	в художественном	6	6
223	на его	2	6
224	он говорил	2	6
225	себя в	11	6
226	о герое	2	6
227	на них	2	6
228	одна из	4	6
229	с этим	3	6
230	в начале	3	6
231	можно было	6	6
232	за ним	3	6
233	превращается в	6	6
234	художественного мира	3	6
235	него в	2	6
236	но ведь	2	6
237	друг друга	5	6
238	и только	2	6
239	слова как	2	6
240	в этой	11	6
241	на то	4	6
242	я в	2	6
243	в своих	4	6
244	в другой	2	6
245	его героев	3	6
246	на этом	5	6
247	и внутренне	3	6
248	жизни и	10	6
249	что было	3	6
250	в основе	3	6
251	как на	2	6
252	на фоне	5	6
253	но с	3	6
254	и то	2	5
255	или иной	2	5
256	не во	3	5
257	есть и	3	5
258	для других	5	5
259	но именно	3	5
260	была бы	3	5
261	по своему	3	5
262	тому что	8	5
263	они не	2	5
264	на себя	3	5
265	я теперь	2	5
266	однако в	4	5
267	один из	6	5
268	в такой	2	5
269	ибо в	2	5
270	мы не	2	5
271	в ее	16	5
272	но при	3	5
273	другого и	2	5
274	про себя	2	5
275	по своим	2	5
276	та же	5	5
277	но у	2	5
278	в речи	2	5
279	авторского сознания	2	5
280	нет и	2	5
281	ни на	2	5
282	установки на	2	5
283	подобно тому	4	5
284	о своей	3	5
285	именно в	9	5
286	когда он	2	5
287	а между	4	5
288	не могу	3	5
289	тому как	4	5
290	поэтому и	2	5
291	с собой	2	5
292	высшей степени	2	5
293	я и	7	5
294	в ней	6	5
295	вместе с	2	5
