N	2gram	Propp_Morf	Problema
1	и в	17	182
2	и не	16	152
3	вовсе не	6	145
4	то что	10	144
5	не только	8	104
6	потому что	7	89
7	в этом	18	88
8	может быть	61	82
9	том что	7	81
10	в том	10	81
11	только в	3	73
12	сказать что	4	72
13	но и	9	70
14	в виде	3	69
15	у нас	3	68
16	также и	6	68
17	и даже	2	66
18	не менее	7	58
19	о том	6	57
20	так и	10	56
21	тем не	7	56
22	а не	11	56
23	но в	4	55
24	ни в	3	51
25	для нас	2	50
26	при помощи	12	47
27	смысле слова	4	47
28	было бы	5	46
29	прежде всего	14	45
30	что в	10	44
31	все эти	5	43
32	не в	3	43
33	таким образом	26	42
34	то же	10	42
35	если мы	6	42
36	так как	20	40
37	что мы	2	40
38	что он	5	40
39	и что	3	40
40	не может	19	39
41	в этой	3	39
42	и тем	3	39
43	во всяком	2	39
44	как бы	6	39
45	в данном	2	38
46	хотя бы	5	37
47	того что	3	37
48	еще не	4	36
49	есть нечто	3	36
50	точки зрения	7	36
51	и т	62	35
52	как и	4	34
53	уже не	4	34
54	не является	4	33
55	т д	60	33
56	в то	4	32
57	здесь не	3	32
58	но не	8	32
59	связи с	12	31
60	все это	2	31
61	что такое	3	31
62	так же	4	31
63	но это	6	31
64	ясно что	5	30
65	с другой	9	30
66	и для	4	30
67	в настоящее	3	30
68	настоящее время	3	30
69	как мы	8	29
70	перед нами	14	29
71	все же	9	29
72	об этом	5	29
73	в связи	10	29
74	можно сказать	2	29
75	данном случае	2	28
76	что же	2	28
77	мы не	8	28
78	а в	8	28
79	и как	6	27
80	ничего не	5	27
81	хотя и	5	27
82	в результате	8	26
83	как будто	2	26
84	это не	6	26
85	другой стороны	5	26
86	и его	3	26
87	с точки	6	25
88	мы можем	5	25
89	всяком случае	2	25
90	на самом	4	24
91	не имеет	2	24
92	с тем	2	24
93	в нашем	6	24
94	на то	3	23
95	в качестве	8	23
96	по своему	2	23
97	его в	4	22
98	и есть	3	22
99	значит что	4	22
100	что и	10	22
101	и к	4	22
102	мы должны	3	21
103	и ее	5	21
104	а также	7	21
105	говорить о	4	21
106	и только	3	21
107	но как	3	20
108	для того	3	20
109	можно было	4	20
110	несмотря на	4	20
111	или в	6	20
112	тем что	4	20
113	в каком	2	19
114	но если	10	19
115	то в	3	19
116	если бы	3	19
117	кроме того	3	19
118	то это	5	19
119	он не	5	19
120	самом деле	4	19
121	как в	5	19
122	того чтобы	4	18
123	в этих	17	18
124	не существует	3	18
125	мы уже	4	17
126	значение и	3	17
127	и здесь	7	17
128	без всякого	2	17
129	это и	3	17
130	совсем не	3	17
131	что они	5	17
132	во всех	6	17
133	к тому	5	16
134	но все	4	16
135	же в	3	16
136	между собою	2	16
137	далеко не	5	16
138	как это	7	16
139	точно так	2	16
140	случае не	4	16
141	что она	2	16
142	в чем	2	15
143	и более	2	15
144	в частности	2	15
145	у него	2	15
146	с этим	14	15
147	не что	2	14
148	не так	2	14
149	иное как	2	14
150	что иное	2	14
151	этом случае	10	14
152	с другими	2	14
153	то ни	3	14
154	который в	2	13
155	или другой	2	13
156	здесь только	2	13
157	в других	5	13
158	тому что	5	13
159	мы имеем	19	13
160	из них	4	13
161	учение о	5	13
162	что этот	2	12
163	не будем	5	12
164	в которой	3	12
165	на первый	3	12
166	в другом	2	12
167	с одной	2	12
168	или по	2	12
169	в целом	5	12
170	что это	3	12
171	в начале	3	12
172	время как	3	12
173	то время	3	12
174	могли бы	2	11
175	вообще не	2	11
176	в таких	3	11
177	не могут	7	11
178	одной стороны	2	11
179	и у	3	11
180	и тогда	3	11
181	бы то	3	11
182	и их	3	11
183	без всякой	2	11
184	к нему	3	11
185	что его	4	11
186	состоит из	3	10
187	все еще	3	10
188	один из	7	10
189	однако в	2	10
190	быть и	2	10
191	очень много	2	10
192	в одном	2	10
193	или менее	2	10
194	более или	2	10
195	из которых	5	10
196	вопрос о	10	9
197	как же	3	9
198	здесь мы	3	9
199	она не	2	9
200	то с	3	9
201	в тех	8	9
202	имеется в	3	9
203	только для	2	9
204	в своих	2	9
205	с собой	3	9
206	их в	2	9
207	в которых	2	9
208	того как	2	9
209	бы в	2	9
210	это было	3	9
211	и другие	6	9
212	д и	2	9
213	а потом	2	8
214	между собой	5	8
215	а если	4	8
216	на его	5	8
217	и по	3	8
218	никто не	4	8
219	для него	2	8
220	если в	7	8
221	не все	6	8
222	только что	3	8
223	с этой	3	8
224	входит в	4	8
225	если же	5	8
226	тем же	2	8
227	том как	2	8
228	является в	2	8
229	а то	3	8
230	из этих	2	8
231	и больше	2	8
232	заметим что	3	8
233	и этот	2	8
234	как они	2	8
235	и при	3	8
236	ни было	2	8
237	это уже	3	8
238	не значит	3	8
239	но для	3	8
240	мы будем	3	8
241	что при	3	8
242	друг друга	3	7
243	а с	2	7
244	одной из	2	7
245	а а	2	7
246	но вот	2	7
247	в основе	2	7
248	в какой	3	7
249	оно не	2	7
250	не на	2	7
251	даже не	3	7
252	или вообще	2	7
253	к другому	2	7
254	или иные	2	7
255	на этот	2	7
256	ее в	3	7
257	перейти к	2	7
258	большей частью	6	7
259	первый взгляд	3	6
260	то мы	5	6
261	или не	3	6
262	на него	4	6
263	сказать о	2	6
264	ни к	2	6
265	имеем в	8	6
266	этот вопрос	4	6
267	как таковой	2	6
268	если он	2	6
269	входить в	2	6
270	что именно	2	6
271	не знает	2	6
272	но с	2	6
273	самого себя	2	6
274	есть и	4	6
275	не всегда	10	6
276	видно что	5	6
277	по существу	13	6
278	могут быть	21	6
279	во время	6	6
280	с его	3	6
281	независимо от	4	6
282	к другой	2	6
283	дело не	2	6
284	к ней	3	6
285	прежде чем	5	6
286	этом отношении	2	6
287	но оно	2	6
288	в нее	2	5
