N	3gram	Tiupa_Teor	VeschiIm
1	не может быть	5	24
2	то ни было	2	12
3	бы то ни	2	12
4	тем не менее	3	11
5	в том что	10	9
6	в самом деле	2	7
7	сама по себе	2	7
8	с точки зрения	3	6
9	так или иначе	5	6
10	одно и то	2	5
11	и то же	2	5
12	в то же	8	5
13	подобно тому как	3	5
14	в свою очередь	3	5
15	с этой точки	2	4
16	не только не	2	4
17	более или менее	6	4
18	этой точки зрения	2	4
19	то же время	8	4
20	можно сказать что	3	3
21	ту или иную	2	3
22	с одной стороны	3	3
23	с другой стороны	6	3
24	и в то	2	3
25	в основе своей	2	2
26	для того чтобы	5	2
27	том что он	2	2
28	к тому что	2	2
29	в отношении к	2	2
30	в связи с	3	2
31	в данном случае	5	2
32	в этом смысле	3	2
33	мы имеем дело	2	2
34	тех или иных	3	2
