N	2gram	Trubetskoy	NovoeSre
1	и в	24	16
2	не может	18	16
3	во имя	3	15
4	и не	9	11
5	что в	9	9
6	жизни и	2	8
7	как не	2	8
8	в том	31	8
9	он не	4	8
10	не будет	5	7
11	может быть	17	7
12	как и	10	7
13	в этом	13	7
14	это есть	4	7
15	культуры и	11	7
16	никогда не	4	6
17	в высшей	2	6
18	лишь в	5	6
19	не в	9	6
20	высшей степени	2	6
21	не знает	2	6
22	не только	10	5
23	в жизни	3	5
24	должен быть	2	5
25	все это	13	5
26	в нем	3	5
27	с ее	2	5
28	в ней	3	5
29	и к	5	5
30	культуры в	10	5
31	должно быть	5	4
32	по своему	5	4
33	в них	2	4
34	и для	6	4
35	не имеет	2	4
36	прежде всего	3	4
37	не менее	7	4
38	не было	2	4
39	и потому	3	4
40	то что	18	4
41	о том	7	4
42	это не	3	4
43	потому что	9	4
44	и все	9	4
45	в мире	6	3
46	но и	11	3
47	с другой	6	3
48	она не	2	3
49	к тому	8	3
50	еще не	6	3
51	к ним	2	3
52	в истории	3	3
53	должна быть	6	3
54	конечно не	3	3
55	не есть	4	3
56	во всех	10	3
57	вопрос о	3	3
58	в основе	2	3
59	и начало	2	3
60	с тем	4	3
61	приобщиться к	2	2
62	в одну	4	2
63	в себе	5	2
64	что она	2	2
65	как будто	5	2
66	все они	6	2
67	и с	5	2
68	одна из	2	2
69	том чтобы	2	2
70	для этого	7	2
71	но не	3	2
72	что все	5	2
73	и от	5	2
74	общества и	2	2
75	истории все	2	2
76	того чтобы	8	2
77	и это	3	2
78	хотя бы	4	2
79	не будут	2	2
80	и весь	2	2
81	же как	3	2
82	а в	3	2
83	но в	5	2
84	том что	20	2
85	можно назвать	3	2
86	и на	6	2
87	с этим	12	2
88	есть в	2	2
89	и что	9	2
90	все эти	19	2
91	каждого человека	2	2
92	у него	5	2
93	и культуры	4	2
94	по существу	7	2
95	другой стороны	5	2
96	так же	8	2
97	так и	10	2
98	помнить что	2	2
99	но для	2	2
100	одной стороны	2	2
101	такой же	2	2
102	в то	6	2
103	хотя и	4	2
104	с одной	3	2
105	том и	2	2
106	вместе с	7	2
107	я не	2	2
