N	3gram	Tiupa_Teor	Literetu
1	в то же	8	21
2	то же время	8	21
3	в том что	10	21
4	по отношению к	10	12
5	с одной стороны	3	12
6	в данном случае	5	11
7	в отличие от	7	11
8	не может быть	5	11
9	состоит в том	6	11
10	в конечном счете	6	10
11	так или иначе	5	10
12	присутствия в мире	6	8
13	с точки зрения	3	8
14	с другой стороны	6	7
15	в том числе	3	6
16	подобно тому как	3	6
17	в русской литературе	2	5
18	тем не менее	3	5
19	этой точки зрения	2	5
20	в соответствии с	2	5
21	с этой точки	2	5
22	в связи с	3	5
23	бы то ни	2	4
24	тогда как в	2	4
25	в силу своей	4	4
26	то ни было	2	4
27	читателя зрителя слушателя	3	4
28	и тем самым	2	4
29	я в мире	8	4
30	факторов художественного впечатления	4	3
31	той или иной	3	3
32	в самом деле	2	3
33	художественная деятельность мыслится	2	3
34	по большей части	2	3
35	не сводится к	9	3
36	в области искусства	2	3
37	художественного мышления и	2	3
38	по сути своей	2	3
39	субъект художественной деятельности	3	3
40	как совокупность факторов	2	3
41	ту или иную	2	3
42	совокупность факторов художественного	2	3
43	в знаковом материале	3	3
44	том числе и	2	3
45	в равной степени	3	3
46	в свою очередь	3	3
47	начинает восприниматься как	2	2
48	одно и то	2	2
49	в этой системе	2	2
50	для того чтобы	5	2
51	художественности состоит в	2	2
52	и то же	2	2
53	на воспринимающее сознание	2	2
54	креативного и рецептивного	2	2
55	в отношении к	2	2
56	мы имеем дело	2	2
57	в виду не	3	2
58	так и не	5	2
59	с легкой руки	2	2
60	в общественном сознании	2	2
61	не только не	2	2
62	и в самом	2	2
63	новой парадигмы художественности	2	2
64	а с другой	2	2
65	к тому что	2	2
66	в русской поэзии	2	2
67	в своем составе	3	2
68	несет в себе	3	2
69	не могло быть	2	2
70	в самом начале	2	2
71	деятельностью направленной на	2	2
72	в сочетании с	2	2
73	в значительной степени	2	2
74	тех или иных	3	2
75	определяющим отношением художественности	2	2
