N	3gram	Potebnia_M	StatiiOP
1	в том что	22	47
2	и т д	5	32
3	о том что	5	29
4	в этом отношении	2	24
5	для того чтобы	5	19
6	и т п	7	19
7	до сих пор	4	19
8	с точки зрения	2	14
9	во всяком случае	3	13
10	с другой стороны	4	13
11	не может быть	7	11
12	в то же	8	9
13	то же время	8	9
14	на то что	3	9
15	вместе с тем	5	9
16	на самом деле	4	8
17	тем не менее	7	8
18	не только в	4	8
19	к тому что	3	8
20	том что он	2	7
21	в данном случае	3	7
22	не в том	6	7
23	в то время	7	7
24	по крайней мере	8	6
25	по отношению к	10	6
26	так и в	2	6
27	не только не	4	6
28	в том смысле	6	6
29	в этом смысле	2	6
30	после того как	2	5
31	что он не	3	5
32	то время как	3	5
33	в том же	2	5
34	но и в	4	5
35	то что в	2	5
36	в том чтобы	4	5
37	сами по себе	3	4
38	и в самом	3	4
39	с одной стороны	4	4
40	что и в	4	4
41	и в том	3	4
42	можно сказать что	3	3
43	что в ней	2	3
44	в том как	3	3
45	только в том	5	3
46	одним и тем	4	3
47	том смысле что	2	3
48	в этом случае	2	3
49	и тем же	4	3
50	более или менее	6	3
51	потому что он	3	3
52	только потому что	5	3
53	но вместе с	2	2
54	то же самое	3	2
55	тех пор пока	2	2
56	сам по себе	9	2
57	что если бы	3	2
58	то что я	2	2
59	так что в	2	2
60	только тогда когда	11	2
61	не только по	3	2
62	как и в	3	2
63	нельзя сказать что	2	2
64	а между тем	6	2
65	в одно целое	3	2
66	между тем как	4	2
67	может быть назван	3	2
68	или лучше сказать	3	2
69	далеко не все	3	2
70	как бы ни	4	2
71	до тех пор	5	2
72	ответ на это	2	2
73	и то что	3	2
74	в свою очередь	6	2
