N	3gram	Voloshinov	Problemy
1	то же время	7	26
2	в то же	7	26
3	с точки зрения	31	25
4	по отношению к	9	18
5	в этом смысле	2	16
6	на самом деле	5	15
7	не может быть	23	14
8	на чужое слово	2	13
9	в большинстве случаев	7	12
10	в пределах одного	2	11
11	но в то	6	11
12	в конце концов	3	11
13	до сих пор	10	10
14	в отношении к	7	10
15	с самого начала	9	9
16	в самом деле	13	9
17	во всяком случае	4	9
18	с другой стороны	6	9
19	и не может	11	8
20	в его целом	2	8
21	друг с другом	2	8
22	в том что	9	8
23	бы то ни	11	7
24	сама по себе	2	7
25	том что он	3	6
26	как и все	2	6
27	в отличие от	7	6
28	то ни было	11	6
29	той или иной	5	5
30	к тому же	2	5
31	в зависимости от	2	5
32	можно было бы	2	5
33	в высшей степени	5	5
34	но все же	4	5
35	в той или	3	5
36	и прежде всего	4	4
37	тем не менее	3	4
38	и не в	3	4
39	более или менее	3	4
40	как если бы	6	4
41	может быть и	8	4
42	о том что	2	4
43	так и в	2	4
44	само по себе	2	4
45	как мы сказали	4	4
46	слова и его	2	4
47	в этом отношении	4	4
48	вполне понятно что	4	4
49	смысле этого слова	6	4
50	но при этом	2	3
51	и то же	3	3
52	как мы видели	4	3
53	как мы знаем	6	3
54	как мы уже	3	3
55	на то что	2	3
56	как мы увидим	2	3
57	все без исключения	3	3
58	одно и то	3	3
59	в узком смысле	4	3
60	на этот вопрос	3	3
61	в настоящее время	6	3
62	в этом случае	3	3
63	к одному знаменателю	2	3
64	можно сказать что	4	3
65	то же самое	8	2
66	же как и	2	2
67	до настоящего времени	7	2
68	в разрезе данного	4	2
69	а не в	3	2
70	рано или поздно	2	2
71	если бы он	3	2
72	неразрывной связи с	3	2
73	или иной степени	2	2
74	точки зрения своего	2	2
75	какой бы то	3	2
76	не только в	2	2
77	сводится к тому	2	2
78	к тому что	4	2
79	а следовательно и	2	2
80	в этом последнем	2	2
81	между этими двумя	2	2
82	для того чтобы	7	2
83	внутреннего и внешнего	4	2
84	лишь там где	3	2
85	мы можем сказать	2	2
86	в значительной степени	3	2
87	в свою очередь	5	2
