N	2gram	Bakhtin_KF	Poddanst
1	не только	5	17
2	и в	28	14
3	и не	28	12
4	в области	2	11
5	в этом	15	10
6	но в	5	9
7	то же	5	9
8	в том	6	9
9	в качестве	2	9
10	хотя бы	5	8
11	в то	3	7
12	только в	18	7
13	же время	2	7
14	но и	9	6
15	было бы	8	6
16	в смысле	6	6
17	в ней	3	6
18	не в	13	5
19	отношении к	2	5
20	и пр	3	5
21	может быть	45	5
22	по себе	2	4
23	что в	4	4
24	если бы	8	4
25	и потому	2	4
26	в своем	17	4
27	том что	4	4
28	в котором	24	4
29	как бы	9	4
30	то что	7	4
31	не может	29	4
32	а в	5	4
33	и как	2	3
34	с тем	2	3
35	но не	12	3
36	тем самым	4	3
37	это не	10	3
38	с точки	10	3
39	сводится к	2	3
40	мы не	3	3
41	я и	5	3
42	для того	3	3
43	в себе	21	3
44	точки зрения	13	3
45	потому что	2	3
46	в нем	32	3
47	между тем	4	3
48	могут быть	3	3
49	прежде всего	4	3
50	тот же	3	3
51	с ними	4	3
52	для нас	4	2
53	должно быть	6	2
54	не о	2	2
55	в жизни	2	2
56	в мире	8	2
57	и мы	2	2
58	только это	2	2
59	и это	12	2
60	и тем	3	2
61	и других	2	2
62	в его	42	2
63	не менее	3	2
64	говорить о	2	2
65	со стороны	8	2
66	именно в	5	2
67	знать что	2	2
68	в виде	2	2
69	еще более	2	2
70	все это	10	2
71	а не	17	2
72	во всей	4	2
73	не было	8	2
74	и есть	10	2
75	во всех	11	2
76	в ее	17	2
77	не нужно	2	2
78	к чему	3	2
79	того что	3	2
80	думать что	2	2
81	отнюдь не	7	2
