N	2gram	Vinokur_Vv	VeschiIm
1	т е	40	81
2	не есть	5	79
3	и не	13	57
4	не только	26	48
5	то что	19	48
6	не может	19	46
7	и в	35	45
8	и есть	3	40
9	может быть	30	39
10	и т	45	39
11	т д	39	38
12	а не	5	37
13	потому что	18	25
14	было бы	7	24
15	не просто	5	24
16	в себе	4	23
17	что она	3	23
18	по себе	11	23
19	только в	16	23
20	сказать что	6	22
21	и что	6	22
22	что такое	12	20
23	как бы	7	20
24	и ее	4	19
25	что это	3	19
26	но и	7	19
27	что же	3	19
28	есть только	2	18
29	все же	9	18
30	в этом	35	18
31	есть не	5	17
32	и это	6	17
33	прежде всего	10	17
34	так как	15	17
35	что мы	2	17
36	того что	12	16
37	таким образом	21	16
38	как раз	4	16
39	в том	38	15
40	как и	7	15
41	в ней	3	15
42	уже не	6	15
43	не в	10	14
44	и то	7	14
45	но это	2	14
46	том что	30	13
47	есть и	5	13
48	и для	4	13
49	в самом	13	13
50	ничего не	2	12
51	иное как	6	12
52	но если	6	12
53	что в	13	12
54	точки зрения	12	12
55	она есть	5	12
56	что и	5	12
57	что они	2	12
58	и как	9	12
59	не что	5	12
60	то же	11	12
61	еще не	4	12
62	что иное	5	12
63	и даже	6	12
64	о том	16	12
65	и с	2	12
66	еще и	4	11
67	в то	6	11
68	не менее	9	11
69	что не	5	11
70	вовсе не	6	11
71	себя в	2	11
72	тем не	9	11
73	также и	20	11
74	крайней мере	4	10
75	в чем	4	10
76	что оно	2	10
77	по крайней	4	10
78	ясно что	11	10
79	это не	8	9
80	нисколько не	3	9
81	со стороны	16	9
82	так что	5	9
83	в своем	3	9
84	бы и	3	9
85	должно быть	2	9
86	хотя бы	6	9
87	бы в	2	9
88	в результате	4	9
89	у нас	2	9
90	на то	2	9
91	но не	9	9
92	ни с	2	9
93	но что	3	9
94	говорить о	5	9
95	и его	6	9
96	в отношении	3	8
97	его в	6	8
98	и потому	2	8
99	что он	5	8
100	но в	10	8
101	в ее	11	8
102	мы не	2	8
103	все это	6	8
104	это есть	2	8
105	должна быть	2	8
106	можно сказать	4	8
107	по сравнению	4	8
108	мы имеем	4	8
109	если бы	3	8
110	с тем	6	8
111	не с	3	8
112	с другой	8	8
113	с чем	2	7
114	от того	3	7
115	и тем	5	7
116	из них	4	7
117	самом деле	7	7
118	а в	6	7
119	все эти	3	7
120	в сущности	3	7
121	е в	4	7
122	можно только	2	7
123	сама по	3	7
124	тем что	6	7
125	вообще не	3	7
126	с этой	5	7
127	мог бы	2	7
128	и тогда	3	7
129	сравнению с	4	7
130	никогда не	3	6
131	в каком	3	6
132	вопрос о	10	6
133	независимо от	5	6
134	когда мы	2	6
135	так или	4	6
136	а если	2	6
137	в нем	13	6
138	между ними	3	6
139	в разных	7	6
140	и до	2	6
141	в своей	4	6
142	тех или	3	6
143	как мы	11	6
144	одно и	2	6
145	одна из	3	6
146	и вообще	3	6
147	в данном	11	6
148	можно было	8	6
149	дело в	5	6
150	с полной	2	6
151	все равно	2	6
152	на почве	5	6
153	или иначе	4	6
154	этот вопрос	7	6
155	мы говорим	3	6
156	несмотря на	2	6
157	в той	10	6
158	жизни и	2	6
159	с точки	4	6
160	как только	2	6
161	в одном	4	6
162	да и	4	5
163	мы должны	2	5
164	должен быть	4	5
165	свою очередь	2	5
166	вместе с	6	5
167	как это	5	5
168	того же	3	5
169	даже и	4	5
170	и без	2	5
171	тогда когда	4	5
172	то это	3	5
173	один из	6	5
174	в его	12	5
175	хотя и	5	5
176	быть и	2	5
177	для этого	3	5
178	е не	2	5
179	в чисто	4	5
180	же это	2	5
181	во всех	2	5
182	мысли и	2	5
183	об этом	6	5
184	и здесь	3	5
185	как о	4	5
186	или как	3	5
187	подобно тому	2	5
188	знания и	3	5
189	в свою	2	5
190	вообще и	3	5
191	как она	4	5
192	тому как	2	5
193	если же	2	5
194	чем же	3	5
195	о них	2	4
196	так же	3	4
197	и сама	2	4
198	в силу	3	4
199	в конце	3	4
200	отношение к	3	4
201	об отношении	3	4
202	что именно	2	4
203	при помощи	3	4
204	в их	12	4
205	и чем	2	4
206	так и	2	4
207	из истории	2	4
208	в этой	3	4
209	этой точки	2	4
210	так чтобы	3	4
211	того чтобы	22	4
212	в качестве	8	4
213	не было	2	4
214	во всяком	5	4
215	само по	4	4
216	с этим	3	4
217	как оно	3	4
218	дело не	5	4
219	мы можем	2	4
220	в особенности	4	4
221	и вот	3	4
222	в и	4	4
223	отношении к	2	4
224	в котором	4	4
225	если это	2	4
226	на этом	3	4
227	не существует	2	4
228	смысле и	2	4
229	говорит о	3	4
230	сам по	2	4
231	же время	6	4
232	и сам	3	4
233	о которой	2	4
234	собственном смысле	3	4
235	однако не	4	4
236	из того	2	3
237	и этого	3	3
238	но как	2	3
239	понять ее	2	3
240	это однако	2	3
241	в подлинном	2	3
242	в другом	3	3
243	казалось бы	2	3
244	в виде	4	3
245	только на	3	3
246	в частности	3	3
247	а с	2	3
248	по существу	2	3
249	мы видели	3	3
250	это может	2	3
251	к нему	3	3
252	только с	4	3
253	к тому	4	3
254	а только	8	3
255	одной стороны	4	3
256	другой стороны	5	3
257	есть еще	3	3
258	в целом	5	3
259	же как	3	3
260	вот почему	3	3
261	тогда как	2	3
262	заключается в	4	3
263	той или	3	3
264	в истории	9	3
265	из его	2	3
266	тем более	2	3
267	в собственном	3	3
268	от этого	5	3
269	действительности в	2	3
270	не нужно	2	3
271	применении к	6	3
272	те кто	2	3
273	но уже	2	3
274	только что	4	3
275	для того	23	3
276	себе что	3	3
277	как в	3	3
278	ни к	2	3
279	свое выражение	3	3
280	с одной	4	3
281	случае не	2	3
282	не мог	2	3
283	но все	4	3
284	не имеет	4	3
285	в своих	2	3
286	выражение в	2	3
287	из которых	3	3
288	с прочими	2	3
289	однако в	3	3
290	как нечто	8	3
291	не к	2	3
292	этих двух	2	3
293	мы уже	2	3
294	а так	2	3
295	данном случае	5	2
296	свое время	3	2
297	следовательно и	2	2
298	к действительности	2	2
299	тому что	2	2
300	понимать в	3	2
301	о чем	4	2
302	для нее	2	2
303	еще раз	2	2
