N	3gram	Losev_Dial	Marksizm
1	с точки зрения	18	46
2	не может быть	4	25
3	в самом деле	3	19
4	в то же	7	15
5	то же время	8	15
6	в связи с	3	14
7	в том что	12	14
8	до сих пор	4	11
9	с самого начала	2	10
10	то же самое	3	8
11	может быть и	6	8
12	с другой стороны	7	7
13	во всяком случае	3	6
14	на самом деле	3	6
15	на то что	4	6
16	с одной стороны	3	6
17	той или иной	4	5
18	в таком случае	2	5
19	в этом отношении	2	5
20	к тому что	3	5
21	на самом же	2	5
22	самом же деле	2	5
23	внутреннего и внешнего	8	4
24	мы уже знаем	4	4
25	можно сказать что	6	4
26	о том что	6	4
27	в нем нет	3	4
28	в зависимости от	2	4
29	но все же	2	4
30	и то же	8	3
31	тем не менее	3	3
32	более или менее	5	3
33	в конце концов	4	3
34	друг с другом	2	3
35	можно было бы	4	3
36	или хотя бы	2	3
37	одно и то	8	3
38	одной стороны и	3	3
39	точки зрения самого	2	3
40	не только в	2	3
41	ни в какой	3	3
42	не было бы	2	3
43	лежащая в основе	2	3
44	и в этом	4	3
45	связи с этим	2	3
46	в той или	3	3
47	и та же	5	2
48	по крайней мере	11	2
49	само по себе	7	2
50	в широком смысле	2	2
51	одна и та	5	2
52	ничего общего с	3	2
53	несмотря на то	2	2
54	что он не	2	2
55	сами по себе	4	2
56	к тому же	2	2
57	сама по себе	12	2
58	мы можем сказать	3	2
59	– все это	3	2
60	в нем и	2	2
61	так или иначе	3	2
62	в этом смысле	4	2
63	это и есть	3	2
