N	2gram	Losev_Prob	DiskursI
1	в качестве	3	72
2	а не	21	60
3	может быть	29	56
4	не только	37	49
5	и в	64	49
6	как и	7	47
7	при этом	8	46
8	в том	19	44
9	и не	63	44
10	то есть	61	41
11	представляет собой	2	41
12	том что	26	40
13	в этом	30	38
14	в себе	16	37
15	в частности	5	36
16	но и	23	35
17	но не	13	31
18	со стороны	2	28
19	так и	17	28
20	но в	19	28
21	не может	18	27
22	как в	5	25
23	такого рода	20	24
24	еще не	18	23
25	отнюдь не	15	23
26	а также	6	20
27	все же	7	19
28	прежде всего	17	19
29	в нем	14	19
30	в своей	8	19
31	в основе	4	18
32	далеко не	9	18
33	в данном	16	17
34	то же	10	17
35	с другой	8	17
36	точки зрения	5	16
37	только в	19	16
38	роль в	2	15
39	в его	12	15
40	то что	72	15
41	о том	25	15
42	это не	7	14
43	или иной	8	14
44	не в	6	14
45	не менее	26	14
46	одной стороны	4	14
47	можно сказать	9	14
48	не является	12	14
49	с одной	4	14
50	для него	2	13
51	как бы	18	13
52	данном случае	10	12
53	в своем	7	12
54	и все	9	12
55	того же	3	12
56	в своих	3	12
57	и на	11	12
58	что в	21	11
59	с его	3	11
60	и как	10	11
61	не было	7	11
62	для себя	9	10
63	а в	7	10
64	той или	10	10
65	также и	22	10
66	тем самым	11	9
67	в то	7	9
68	в силу	2	9
69	между тем	3	9
70	в них	8	9
71	уже не	9	9
72	еще в	2	9
73	внимание на	4	9
74	сводится к	3	9
75	пока еще	12	9
76	этом отношении	2	8
77	и о	11	8
78	к тому	5	8
79	потому что	24	8
80	не на	4	8
81	хотя и	8	8
82	если в	2	8
83	и даже	19	8
84	в этих	7	8
85	в котором	5	8
86	из них	3	8
87	совпадает с	2	8
88	он не	5	8
89	перед нами	7	7
90	его в	9	7
91	о чем	11	7
92	могут быть	2	7
93	и ее	9	7
94	и для	10	7
95	но это	11	7
96	что и	2	7
97	например в	2	7
98	в этой	14	7
99	другой стороны	7	7
100	мира в	2	7
101	лишь в	4	7
102	в пределах	2	7
103	ни в	13	7
104	той же	2	7
105	и его	3	7
106	таким образом	9	7
107	никогда не	8	6
108	к его	2	6
109	не как	2	6
110	что он	11	6
111	не знает	4	6
112	одно из	2	6
113	именно в	5	6
114	тому как	3	6
115	времени в	2	6
116	одного из	2	6
117	однако в	2	6
118	что же	18	6
119	здесь не	9	6
120	крайней мере	8	6
121	и может	2	6
122	в сущности	2	6
123	в истории	6	6
124	в ее	3	6
125	и то	15	6
126	одна из	4	6
127	то в	6	6
128	дело в	3	6
129	во всех	9	6
130	сказать и	3	6
131	по крайней	8	6
132	в которых	4	6
133	с точки	3	6
134	и того	5	6
135	ничего не	20	5
136	в другом	2	5
137	в виду	10	5
