N	2gram	Vygotskiy_	VelikijI
1	и не	16	20
2	и в	38	16
3	так как	19	9
4	то что	27	9
5	еще не	6	8
6	в истории	9	8
7	и потому	2	7
8	что они	23	7
9	а не	7	7
10	не есть	5	6
11	человека и	6	6
12	в мире	2	5
13	как бы	17	5
14	на себя	2	5
15	но и	9	5
16	все это	8	5
17	по пути	5	5
18	хотя и	2	5
19	того что	17	5
20	что все	2	4
21	и все	5	4
22	как и	20	4
23	в котором	3	4
24	потому что	14	4
25	все что	4	4
26	в нем	4	4
27	в ней	3	4
28	что мы	18	4
29	в его	22	4
30	в этом	35	4
31	что он	13	4
32	так и	11	4
33	никогда не	11	3
34	в жизни	3	3
35	что в	31	3
36	в том	59	3
37	и для	4	3
38	от этого	6	3
39	не имеет	3	3
40	тому что	3	3
41	но в	4	3
42	к тому	8	3
43	ни в	12	3
44	их в	6	3
45	но это	7	3
46	бы и	2	3
47	должно быть	3	3
48	оно не	3	3
49	хотя бы	2	3
50	в своей	9	3
51	во всех	3	3
52	по этому	6	3
53	в них	3	3
54	в первый	2	3
55	что и	14	3
56	и мы	2	3
57	и что	15	3
58	не в	10	3
59	все эти	9	3
60	в этих	4	3
61	в чем	2	3
62	тот же	10	3
63	с его	3	3
64	когда в	3	2
65	которой они	2	2
66	под этим	3	2
67	и то	9	2
68	с тем	18	2
69	самого себя	2	2
70	одна из	2	2
71	но не	7	2
72	не могли	3	2
73	по которым	2	2
74	от этих	2	2
75	и это	7	2
76	это не	5	2
77	ее в	2	2
78	не только	16	2
79	не могут	5	2
80	является в	4	2
81	а в	7	2
82	том что	44	2
83	для человека	2	2
84	на том	3	2
85	его к	6	2
86	и во	4	2
87	не создает	3	2
88	во всяком	10	2
89	и тогда	2	2
90	вслед за	4	2
91	уже не	3	2
92	могут быть	9	2
93	которые не	5	2
94	значения и	6	2
95	один из	8	2
96	не будет	2	2
97	для них	3	2
98	того чтобы	15	2
99	тем что	12	2
100	мы не	14	2
101	можно было	10	2
102	только в	16	2
103	и сам	4	2
104	в форме	2	2
105	все равно	4	2
106	для нас	6	2
107	в себя	3	2
108	прежде всего	6	2
109	с ним	4	2
110	это мы	3	2
111	между тем	10	2
112	мы и	4	2
113	а с	4	2
114	для него	6	2
