N	3gram	Trubetskoy	slovoVRo
1	не может быть	4	19
2	в то же	2	18
3	то же время	2	18
4	с точки зрения	8	15
5	с одной стороны	2	11
6	более или менее	8	9
7	в этом случае	4	9
8	во всяком случае	2	8
9	не может не	3	6
10	с другой стороны	4	6
11	но все же	2	6
12	в том что	16	5
13	может быть и	4	5
14	по отношению к	11	5
15	в каждый данный	4	5
16	для того чтобы	7	4
17	друг с другом	9	4
18	таким образом в	3	4
19	до сих пор	15	4
20	каждый данный момент	3	4
21	в свою очередь	2	4
22	лишь тогда когда	2	4
23	как и в	2	3
24	между этими двумя	2	3
25	в данном случае	3	3
26	в связи с	3	3
27	которых мы говорили	4	2
28	во всех этих	2	2
29	а следовательно и	2	2
30	сих пор не	5	2
31	в таком же	2	2
32	о том что	4	2
33	в то время	2	2
34	и в том	2	2
35	в том и	2	2
36	тот факт что	4	2
37	рано или поздно	2	2
38	так и для	2	2
39	тем не менее	4	2
40	о которых мы	4	2
41	а между тем	8	2
