N	3gram	Losev_Vesc	Literetu
1	в то же	5	21
2	то же время	4	21
3	в том что	9	21
4	с одной стороны	3	12
5	в данном случае	2	11
6	не может быть	22	11
7	о том что	4	10
8	так или иначе	5	10
9	в этом отношении	2	10
10	с точки зрения	6	8
11	с другой стороны	3	7
12	из того что	3	6
13	подобно тому как	5	6
14	не только в	5	6
15	тем не менее	11	5
16	этой точки зрения	3	5
17	с этой точки	3	5
18	в том чтобы	2	5
19	бы то ни	12	4
20	то ни было	12	4
21	и то что	5	4
22	во всяком случае	2	3
23	по крайней мере	10	3
24	то что я	2	3
25	в самом деле	7	3
26	на то что	7	3
27	какого бы то	2	3
28	ту или иную	3	3
29	и в частности	2	3
30	в свою очередь	5	3
31	а не только	2	2
32	одно и то	5	2
33	для того чтобы	2	2
34	и то же	5	2
35	в отношении к	2	2
36	мы имеем дело	2	2
37	только то что	3	2
38	в свое время	2	2
39	не только не	4	2
40	не мог бы	2	2
41	к тому что	2	2
42	можно было бы	3	2
43	а и в	9	2
44	и не только	6	2
45	вместе с тем	3	2
46	дело в том	4	2
47	тех или иных	2	2
