N	2gram	Losev_Dial	EvropaiC
1	таким образом	14	34
2	в том	17	31
3	и в	34	24
4	том что	18	20
5	все эти	4	19
6	не может	29	18
7	то что	25	18
8	может быть	30	17
9	все же	4	15
10	точки зрения	43	14
11	в этом	14	13
12	все это	13	13
13	в своем	7	12
14	с этим	4	12
15	самом деле	7	12
16	но и	14	11
17	культуры и	2	11
18	не только	35	10
19	так и	11	10
20	во всех	2	10
21	мы знаем	3	10
22	как и	14	10
23	все что	3	10
24	как бы	19	10
25	из себя	3	10
26	в результате	7	9
27	и не	50	9
28	не в	11	9
29	что в	12	9
30	и все	17	9
31	на то	5	9
32	потому что	21	9
33	при этом	7	9
34	и что	21	9
35	так же	7	8
36	из этих	5	8
37	если бы	10	8
38	для того	4	8
39	идет речь	4	8
40	к тому	4	8
41	в самом	9	8
42	с точки	25	8
43	ясно что	16	8
44	на самом	2	7
45	для этого	3	7
46	так как	12	7
47	в силу	5	7
48	что он	18	7
49	того что	22	7
50	о котором	4	7
51	не менее	11	7
52	о том	11	7
53	из этого	3	7
54	что и	8	7
55	в этой	3	7
56	по существу	2	7
57	вместе с	3	7
58	в мире	2	6
59	отличается от	9	6
60	только в	10	6
61	еще не	7	6
62	и при	4	6
63	так что	11	6
64	в то	9	6
65	должна быть	11	6
66	и для	5	6
67	с другой	5	6
68	и если	5	6
69	и на	6	6
70	мы можем	3	6
71	несмотря на	2	6
72	начало и	2	6
73	что с	2	6
74	как на	6	6
75	тому же	2	6
76	с ним	3	6
77	и от	4	5
78	его в	2	5
79	в себе	8	5
80	должно быть	7	5
81	к этому	3	5
82	оказывается что	5	5
83	как к	2	5
84	ничем не	7	5
85	между собою	3	5
86	из них	4	5
87	что это	20	5
88	так или	2	5
89	по своему	2	5
90	у него	2	5
91	что все	16	5
92	но в	3	5
93	именно в	5	5
94	или иначе	2	5
95	и истории	4	5
96	и без	4	5
97	основано на	2	5
98	и с	10	5
99	и к	5	5
100	другой стороны	4	5
101	не будет	5	5
102	в его	6	5
103	как будто	3	5
104	быть и	7	5
105	никогда не	9	4
106	и то	7	4
107	не могут	6	4
108	из того	2	4
109	для меня	2	4
110	что эта	2	4
111	всех этих	3	4
112	хотя бы	9	4
113	то ни	4	4
114	тем не	10	4
115	в конце	2	4
116	мало того	2	4
117	и у	3	4
118	целый ряд	3	4
119	состоит из	2	4
120	ее и	2	4
121	та же	5	4
122	то же	9	4
123	в их	2	4
124	выше и	2	4
125	в виде	11	4
126	совершенно не	6	4
127	что его	5	4
128	в течение	4	4
129	отличалась от	2	4
130	что для	5	4
131	с тем	4	4
132	ни один	2	4
133	без того	3	4
134	не есть	95	4
135	из которых	4	4
136	что мы	10	4
137	данный момент	2	4
138	связи с	3	4
139	в таком	15	4
140	он не	8	4
141	это есть	19	4
142	если мы	5	4
143	хотя и	9	4
144	мы уже	6	4
145	то ясно	3	4
146	данном случае	3	3
147	представление о	3	3
148	и вообще	7	3
149	вопрос о	9	3
150	что их	2	3
151	тем самым	3	3
152	при помощи	6	3
153	это не	13	3
154	что если	5	3
155	и потому	6	3
156	от него	2	3
157	и говорить	3	3
158	тем более	5	3
159	бы в	5	3
160	но даже	4	3
161	от того	9	3
162	даже если	3	3
163	только что	7	3
164	с этой	7	3
165	в этих	3	3
166	но тогда	11	3
167	конечно не	6	3
168	в связи	3	3
169	и наконец	2	3
170	не надо	3	3
171	у нас	7	3
172	прежде всего	20	3
173	отличие от	2	3
174	жизнь и	9	3
175	с одной	4	3
176	в разных	2	3
177	одно из	8	3
178	в жизни	4	3
179	но не	3	3
180	очень много	3	3
181	и это	12	3
182	в данном	6	3
183	а в	3	3
184	бы то	3	3
185	не вполне	2	3
186	в нем	7	3
187	в ней	4	3
188	что оно	9	3
189	тогда когда	9	3
190	не то	3	3
191	для нас	2	3
192	сказали что	3	3
193	может не	4	3
194	можно назвать	3	3
195	должны быть	7	3
196	по одному	3	3
197	было бы	13	3
198	и по	2	3
199	и может	2	3
200	ничего общего	2	3
201	в истории	7	3
202	только одно	4	3
203	во всем	5	3
204	если же	8	3
205	же как	4	3
206	заключается в	3	3
207	уже и	3	3
208	говорить что	4	3
209	как мы	4	3
210	двух или	5	3
211	чем в	2	3
212	только мы	3	2
213	одна из	4	2
214	веры в	2	2
215	другими словами	8	2
216	не от	2	2
217	этого явления	2	2
218	очень мало	2	2
219	помнить что	2	2
220	меньше чем	2	2
221	тех же	2	2
222	то в	5	2
223	то и	5	2
224	независимо от	3	2
225	только то	2	2
226	в процессе	2	2
227	но как	3	2
228	надо чтобы	4	2
229	и ее	8	2
230	есть только	13	2
231	чтобы быть	5	2
232	не потому	2	2
233	то время	6	2
234	что она	13	2
235	при таком	2	2
236	из нее	2	2
237	а это	2	2
238	но если	11	2
239	для себя	2	2
240	друг друга	3	2
241	однако это	2	2
242	теперь мы	4	2
243	зависимости от	4	2
244	как не	4	2
245	на первый	4	2
246	в виду	12	2
247	не было	6	2
248	сил и	2	2
249	следовательно и	2	2
250	он должен	3	2
251	из двух	4	2
252	в частности	3	2
253	по его	2	2
254	что они	2	2
255	от себя	5	2
256	и где	2	2
257	одной и	4	2
258	а для	2	2
259	в один	2	2
260	никто не	4	2
261	не знает	4	2
262	и из	2	2
263	это конечно	2	2
264	для него	4	2
265	только тогда	7	2
266	есть в	4	2
267	и так	2	2
268	не имеет	18	2
269	но так	2	2
270	также и	6	2
271	что у	2	2
272	тому что	5	2
273	к нему	4	2
274	она не	10	2
275	они не	3	2
276	в котором	2	2
277	тех пор	3	2
278	если это	2	2
279	их в	2	2
280	на себе	4	2
281	все его	2	2
282	в своих	3	2
283	что на	3	2
284	одной стороны	3	2
285	но для	3	2
286	но на	2	2
287	на этом	3	2
288	отнюдь не	16	2
289	если он	2	2
290	в них	6	2
291	только не	10	2
292	можно ли	6	2
293	что же	12	2
294	так чтобы	4	2
295	совершенно ясно	2	2
296	всяком случае	3	2
297	жизни и	8	2
298	в вопросе	2	2
299	с ними	3	2
300	от нее	3	2
301	во всяком	5	2
302	и уже	5	2
303	во внимание	5	2
304	говорить о	13	2
305	себя и	3	2
306	и его	8	2
307	в сущности	10	2
308	же время	5	2
309	вопросе о	2	2
310	и только	6	2
311	с ее	10	2
312	в себя	4	2
313	той же	6	2
314	все в	3	2
315	я не	11	2
316	вовсе не	18	2
317	мы и	4	2
318	в основе	6	2
319	при условии	5	2
