N	3gram	Potebnia_M	slovoVRo
1	и т п	4	72
2	не может быть	11	19
3	в то же	3	18
4	то же время	3	18
5	с точки зрения	3	15
6	с одной стороны	6	11
7	и т д	6	10
8	более или менее	6	9
9	во всяком случае	7	8
10	так и в	5	6
11	с другой стороны	7	6
12	но все же	2	6
13	в том что	18	5
14	не только в	3	5
15	языка то есть	2	5
16	по отношению к	13	5
17	одной стороны и	2	4
18	для того чтобы	4	4
19	таким образом в	3	4
20	до сих пор	5	4
21	в свою очередь	8	4
22	не могут быть	5	4
23	к тому что	2	3
24	как и в	3	3
25	в собственном смысле	2	3
26	по всей вероятности	2	3
27	может быть только	2	3
28	в связи с	2	3
29	сама по себе	4	3
30	не только не	2	2
31	мы не можем	2	2
32	в то время	3	2
33	с самого начала	5	2
34	и в том	3	2
35	в том и	2	2
36	как бы ни	4	2
37	бы они ни	2	2
38	они ни были	2	2
39	и во всех	2	2
40	но и в	4	2
41	и в этом	7	2
42	с этой точки	2	2
43	и связанное с	2	2
44	между человеком и	3	2
45	то есть не	3	2
46	имеет дело с	2	2
47	тем не менее	10	2
48	а между тем	5	2
