N	2gram	Trubetskoy	NovoeSre
1	а не	2	17
2	и в	14	16
3	не может	22	16
4	во имя	5	15
5	и не	19	11
6	и есть	2	10
7	что в	4	9
8	жизни и	4	8
9	в том	17	8
10	он не	5	8
11	не будет	7	7
12	может быть	9	7
13	как и	4	7
14	в этом	17	7
15	это есть	2	7
16	культуры и	2	7
17	никогда не	5	6
18	лишь в	3	6
19	ни в	2	6
20	не в	4	6
21	общественной жизни	2	6
22	но это	2	6
23	не только	9	5
24	все это	6	5
25	в нем	5	5
26	в ней	2	5
27	и к	6	5
28	культуры в	3	5
29	должно быть	3	4
30	и для	6	4
31	прежде всего	8	4
32	не было	3	4
33	и потому	3	4
34	то что	13	4
35	о том	7	4
36	потому что	5	4
37	в мире	4	3
38	но и	10	3
39	она не	2	3
40	к тому	7	3
41	в россии	6	3
42	что такое	2	3
43	жизни в	5	3
44	в своей	5	3
45	еще не	3	3
46	будут не	2	3
47	должна быть	2	3
48	конечно не	5	3
49	не есть	3	3
50	во всех	5	3
51	вопрос о	5	3
52	с тем	6	3
53	зависит от	2	2
54	в себе	9	2
55	и должно	2	2
56	к богу	7	2
57	как будто	2	2
58	все они	3	2
59	и с	7	2
60	одна из	3	2
61	том чтобы	3	2
62	для этого	3	2
63	себя в	4	2
64	но не	4	2
65	что все	3	2
66	и от	2	2
67	того чтобы	8	2
68	хотя бы	5	2
69	а в	5	2
70	но в	2	2
71	том что	9	2
72	не к	2	2
73	и на	5	2
74	с этим	2	2
75	и что	2	2
76	ли это	4	2
77	все эти	2	2
78	церкви не	5	2
79	стремиться к	2	2
80	в будущем	3	2
81	стремление к	7	2
82	можно было	4	2
83	ни одна	3	2
84	у него	2	2
85	центр тяжести	2	2
86	уже не	2	2
87	по существу	5	2
88	так же	2	2
89	ни к	7	2
90	помнить что	2	2
91	но для	2	2
92	но она	2	2
93	в то	10	2
94	том и	2	2
95	место в	2	2
96	и даже	2	2
97	вместе с	4	2
