N	2gram	Voloshinov	slovoVRo
1	и в	16	92
2	в нем	4	59
3	может быть	17	59
4	и его	8	59
5	и не	4	51
6	не только	7	44
7	не может	8	41
8	но и	4	39
9	в этом	9	36
10	во всех	3	32
11	так и	4	30
12	точки зрения	8	30
13	могут быть	3	29
14	и др	3	29
15	в пределах	2	29
16	в его	4	27
17	все это	4	25
18	как бы	5	24
19	то же	2	23
20	и на	4	22
21	прежде всего	9	19
22	как мы	4	19
23	как и	2	18
24	с ним	2	18
25	оно не	2	17
26	все эти	5	17
27	в основе	3	17
28	и даже	4	17
29	в большинстве	3	17
30	таким образом	9	17
31	при этом	6	16
32	в них	2	16
33	но в	4	16
34	и с	8	15
35	с точки	6	15
36	только в	4	14
37	с его	7	13
38	и для	2	13
39	никогда не	2	12
40	и потому	3	12
41	отношение к	5	12
42	а в	3	12
43	во всяком	3	12
44	и наконец	4	12
45	еще не	5	12
46	и к	6	12
47	один из	2	11
48	большинстве случаев	3	11
49	с ними	4	11
50	в этих	3	11
51	всех его	2	11
52	для него	6	11
53	и их	4	10
54	в том	3	10
55	и все	4	10
56	с другими	3	10
57	в него	5	10
58	его в	4	9
59	и других	2	9
60	в основном	3	9
61	в своей	2	9
62	сказать что	7	9
63	так как	4	9
64	поэтому и	2	9
65	с ее	4	9
66	конечно не	6	9
67	он не	2	9
68	не могут	2	8
69	не на	2	8
70	с этим	2	8
71	в самом	2	8
72	для нас	2	8
73	всяком случае	3	8
74	том что	3	7
75	того же	2	7
76	ту же	2	7
77	у него	2	7
78	за пределы	2	7
79	связанные с	2	7
80	жизни и	3	7
81	мы уже	2	7
82	на этом	3	6
83	что в	3	6
84	ни в	5	6
85	можно сказать	4	6
86	говорить о	2	6
87	хотя бы	4	6
88	себя и	2	6
89	в одном	3	6
90	мира и	3	6
91	только на	3	5
92	не знает	2	5
93	не менее	2	5
94	и проч	9	5
95	но оно	3	5
96	мы не	2	5
97	и по	2	5
98	для этого	2	5
99	с их	3	5
100	связанных с	2	5
101	и может	4	5
102	на протяжении	2	5
103	они не	2	5
104	о том	2	5
105	и этим	2	5
106	с помощью	2	5
107	вместе с	3	5
108	оно и	2	4
109	для всех	4	4
110	так же	2	4
111	но как	2	4
112	и ее	4	4
113	а на	2	4
114	что и	2	4
115	что он	2	4
116	в частности	2	4
117	может иметь	2	4
118	до сих	3	4
119	те же	3	4
120	в чем	5	4
121	сознание и	5	4
122	что оно	2	4
123	же как	2	4
124	только и	2	4
125	но это	2	4
126	и как	3	4
127	вообще не	2	4
128	с этой	2	4
129	со всеми	2	4
130	и о	2	4
131	сих пор	3	4
132	отношения к	3	4
133	на первый	2	4
134	нуждается в	5	3
135	в одно	2	3
136	в свое	2	3
137	как это	3	3
138	между собой	2	3
139	было бы	2	3
140	и вообще	2	3
141	на границе	2	3
142	к этому	2	3
143	из этих	2	3
144	не есть	2	3
145	в этой	4	3
146	все что	4	3
147	если мы	2	3
148	и это	6	3
149	по ту	4	3
150	ту сторону	5	3
151	на самом	4	2
152	но мы	4	2
153	к себе	3	2
154	и есть	3	2
155	для сознания	3	2
156	и вся	2	2
157	в один	4	2
158	есть в	2	2
159	самого начала	4	2
160	то что	3	2
161	по своему	2	2
162	и оно	3	2
163	с самого	4	2
164	к ним	2	2
165	и т.п	2	2
166	между ними	3	2
167	цели и	2	2
168	на них	2	2
169	что не	2	2
170	мы видим	2	2
171	только как	3	2
172	войти в	2	2
173	во всей	2	2
174	все то	2	2
175	нашего времени	2	2
176	в области	3	2
177	ни было	2	2
178	в жизни	2	2
179	совершенно не	8	2
180	чем не	3	2
181	мы можем	9	2
182	не можем	2	2
183	нет и	2	2
184	как с	2	2
185	в начале	2	2
186	момент в	2	2
187	и она	3	2
188	на язык	3	2
189	и только	9	2
