N	2gram	Voloshinov	Narrotol
1	не только	7	62
2	и не	4	50
3	при этом	6	47
4	но и	4	45
5	в частности	2	31
6	может быть	17	30
7	и в	16	30
8	в том	3	29
9	том что	3	28
10	в этом	9	28
11	а в	3	27
12	только в	4	25
13	как и	2	24
14	то что	3	23
15	не может	8	20
16	так и	4	17
17	в его	4	16
18	но в	4	15
19	можно сказать	4	15
20	и т.п	2	15
21	в жизни	2	14
22	и его	8	14
23	в своей	2	13
24	то же	2	13
25	у него	2	13
26	о том	2	13
27	прежде всего	9	12
28	на протяжении	2	12
29	как бы	5	12
30	сводится к	2	12
31	к себе	3	11
32	в нем	4	11
33	в этой	4	11
34	никогда не	2	10
35	как это	3	10
36	один из	2	10
37	точки зрения	8	10
38	и все	4	10
39	жизни и	3	10
40	с его	7	10
41	еще не	5	9
42	что он	2	9
43	что в	3	9
44	отнюдь не	4	9
45	для него	6	9
46	с ним	2	9
47	матери и	3	8
48	самом деле	6	8
49	не менее	2	8
50	и для	2	8
51	в самом	2	8
52	и к	6	8
53	он не	2	8
54	при всей	2	7
55	едва ли	3	7
56	в чем	5	7
57	и на	4	7
58	они не	2	6
59	что и	2	6
60	сказать что	7	6
61	из этих	2	6
62	в конечном	3	6
63	все что	4	6
64	таким образом	9	6
65	на самом	4	5
66	и о	2	5
67	мира и	3	5
68	между собой	2	5
69	было бы	2	5
70	мы не	2	5
71	что это	2	5
72	с ними	4	5
73	в начале	2	5
74	с ее	4	5
75	и даже	4	5
76	в пределах	2	5
77	их в	3	5
78	в одном	3	5
79	и ее	4	4
80	а на	2	4
81	в области	3	4
82	только на	3	4
83	по своему	2	4
84	в душе	2	4
85	в них	2	4
86	что на	2	4
87	не будет	2	4
88	и по	2	4
89	не на	2	4
90	как мы	4	4
91	в основе	3	4
92	но зато	2	4
93	хотя бы	4	4
94	к этому	2	4
95	конечном счете	2	4
96	и как	3	4
97	со всеми	2	4
98	во сне	2	4
99	моей жизни	2	4
100	и притом	3	4
101	оно не	2	4
102	и с	8	4
103	не существует	2	4
104	в итоге	2	4
105	для нас	2	4
106	всяком случае	3	4
107	во всяком	3	4
108	вместе с	3	4
109	и потому	3	3
110	так же	2	3
111	но как	2	3
112	с этой	2	3
113	на друга	2	3
114	и вот	3	3
115	не знает	2	3
116	к ним	2	3
117	в него	5	3
118	и это	6	3
119	своей жизни	2	3
120	между ними	3	3
121	что не	2	3
122	же как	2	3
123	все эти	5	3
124	во время	3	3
125	но это	2	3
126	и лишь	2	3
127	в этих	3	3
128	всех его	2	3
129	сих пор	3	3
130	друг на	2	3
131	что мы	2	3
132	с точки	6	3
133	говорить о	2	3
134	и только	9	3
135	до сих	3	3
136	в каком	2	2
137	даже не	3	2
138	оно и	2	2
139	возникает в	2	2
140	на две	3	2
141	в детской	2	2
142	в общем	3	2
143	те же	3	2
144	могут быть	3	2
145	быть может	2	2
146	с нею	2	2
147	можно назвать	2	2
148	в мир	2	2
149	и вообще	2	2
150	все то	2	2
151	и мы	2	2
152	по аналогии	2	2
153	сознания и	2	2
154	и через	2	2
155	в этот	2	2
156	мы можем	9	2
157	на первый	2	2
158	все это	4	2
159	не есть	2	2
160	и наконец	4	2
161	и есть	3	2
162	во всех	3	2
163	отношение к	5	2
164	есть в	2	2
165	того же	2	2
166	в историю	2	2
167	не можем	2	2
168	с помощью	2	2
169	а потому	4	2
