N	2gram	Savitsky_P	Analitik
1	не только	17	71
2	и в	14	66
3	в качестве	9	61
4	но и	6	57
5	в том	9	52
6	может быть	5	52
7	в частности	2	51
8	в этом	10	51
9	и не	12	48
10	а не	2	42
11	том что	4	40
12	в мире	2	31
13	не может	4	29
14	как бы	4	29
15	отнюдь не	2	29
16	а в	4	28
17	в его	2	27
18	не в	5	26
19	но не	3	26
20	в себе	3	24
21	что в	4	22
22	но в	9	19
23	то же	9	19
24	в то	7	18
25	тем самым	3	17
26	с другой	5	17
27	со стороны	2	17
28	только в	7	17
29	могут быть	3	16
30	то что	4	16
31	в пределах	8	16
32	прежде всего	3	15
33	между тем	3	15
34	не менее	2	14
35	я и	3	14
36	столь же	3	14
37	же время	7	14
38	по себе	4	13
39	точки зрения	3	13
40	в начале	2	13
41	как раз	2	13
42	а также	4	13
43	и к	4	12
44	есть не	2	12
45	сводится к	3	12
46	это не	3	11
47	в сочетании	2	11
48	и как	3	11
49	было бы	6	10
50	с одной	3	10
51	именно в	2	10
52	отношения к	2	10
53	в своем	4	9
54	того что	2	9
55	не столько	2	9
56	одной стороны	3	9
57	во всех	2	9
58	в русской	4	9
59	говорить о	2	9
60	хотя и	3	8
61	если бы	4	8
62	с точки	3	8
63	и тем	2	7
64	в ее	2	7
65	все это	2	7
66	одна из	2	7
67	если в	2	6
68	в силу	2	6
69	в нем	3	6
70	в полной	2	6
71	тем более	2	6
72	хотя бы	8	6
73	же в	4	6
74	более чем	2	6
75	полной мере	2	6
76	есть в	2	6
77	из них	2	6
78	не о	2	5
79	и потому	4	5
80	в эту	2	5
81	в общем	2	5
82	в них	2	5
83	мы не	3	5
84	тот же	3	5
85	да и	2	5
86	мысль о	2	5
87	для того	3	5
88	в котором	4	5
89	что мы	3	5
90	в отношении	10	4
91	в области	11	4
92	вслед за	3	4
93	и о	5	4
94	потому что	3	4
95	с ними	3	4
96	но о	2	4
97	и т	3	4
98	с этим	2	4
99	в значительной	2	4
100	сколько бы	2	4
101	и если	4	4
102	не было	2	4
103	и есть	2	4
104	мы должны	4	3
105	в ряду	2	3
106	н и	8	3
107	с тем	3	3
108	может и	2	3
109	том числе	2	3
110	в ней	6	3
111	быть может	6	3
112	заключается в	3	3
113	и е	4	3
114	никак не	2	3
115	например в	2	3
116	бы ни	2	3
117	должно быть	2	3
118	в жизни	2	3
119	сами по	3	3
120	м и	2	3
121	но к	2	3
122	и с	2	3
123	как на	2	3
124	не к	2	3
125	и без	3	3
126	о и	2	2
127	для нас	2	2
128	что из	2	2
129	является в	2	2
130	на пути	4	2
131	одних и	2	2
132	к чему	2	2
133	может ли	2	2
134	а ц	2	2
135	она есть	3	2
136	культуры в	2	2
137	ц и	2	2
138	о т	2	2
139	между прочим	2	2
140	и з	2	2
141	л и	4	2
142	во всей	2	2
143	о н	3	2
144	хх века	2	2
145	в которую	2	2
146	ей в	3	2
147	т е	3	2
148	не будем	2	2
149	церкви и	2	2
150	время в	2	2
151	думать что	2	2
152	в сравнении	3	2
153	творчества и	2	2
154	в статье	2	2
155	и вот	2	2
156	еще более	2	2
157	а л	4	2
158	о в	5	2
159	сравнении с	3	2
160	осуществляется в	2	2
