N	3gram	Propp_Isto	Morfolog
1	и т д	36	60
2	в этих случаях	7	14
3	мы видим что	4	11
4	в этом случае	13	10
5	не может быть	6	9
6	в связи с	6	9
7	таким образом мы	3	7
8	по отношению к	2	7
9	тем не менее	6	6
10	мы увидим ниже	4	6
11	в иное царство	7	6
12	подобно тому как	2	5
13	можно наблюдать что	3	5
14	наряду с этим	3	5
15	с другой стороны	10	5
16	как мы увидим	4	5
17	но все же	6	4
18	в том что	4	4
19	о том что	5	3
20	то время как	3	3
21	в то время	3	3
22	как и в	4	3
23	для того чтобы	3	3
24	на то что	3	3
25	мы имеем в	2	2
26	в таких случаях	2	2
27	в сказке о	2	2
28	со стороны их	2	2
29	в данном случае	2	2
30	во время боя	3	2
31	но так как	3	2
32	мы не будем	3	2
33	это еще не	2	2
34	и таким образом	2	2
35	при помощи которой	2	2
36	и тем не	2	2
37	мы уже видели	2	2
38	точно так же	3	2
39	о том как	4	2
40	с одной стороны	7	2
